Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 65 985
1 51 984
2 56 975
3 32 979
4 51 977
5 15 983
6 52 964
7 50 965
8 49 976
9 64 973
10 56 959
11 61 970
12 60 961
13 15 977
14 64 982
15 11 984
16 56 943
17 56 958
18 47 955
19 43 963
20 54 945
21 58 957
22 58 997
23 46 942
24 53 956
25 64 963
26 53 957
27 58 959
28 60 952
29 61 958
30 62 954
31 63 947
32 12 946
33 29 958
34 38 958
35 29 954
36 35 955
37 39 946
38 45 967
39 33 943
40 24 955
41 42 958
42 35 943
43 32 942
44 26 942
45 43 963
46 36 943
47 36 944
48 55 959
49 55 948
50 59 951
51 48 945
52 60 958
53 43 944
54 57 957
55 47 942
56 53 947
57 48 957
58 45 939
59 58 955
60 52 933
61 57 945
62 53 950
63 49 941
64 41 960
65 12 958
66 54 962
67 50 967
68 42 944
69 43 966
70 39 969
71 43 956
72 48 973
73 58 968
74 48 954
75 56 951
76 37 951
77 48 953
78 43 945
79 55 950
80 23 934
81 24 933
82 14 909
83 20 930
84 25 937
85 23 922
86 12 926
87 16 938
88 25 938
89 12 907
90 24 920
91 23 911
92 25 929
93 22 932
94 30 943
95 27 923
96 27 949
97 24 933
98 39 960
99 44 950
100 40 951
101 38 936
102 37 943
103 42 939
104 50 967
105 41 961
106 43 947
107 38 945
108 45 940
109 42 948
110 47 948
111 49 949
112 61 989
113 60 961
114 59 959
115 62 955
116 56 945
117 58 953
118 55 942
119 58 957
120 61 970
121 61 957
122 54 946
123 63 945
124 54 953
125 66 956
126 55 951
127 63 952
