Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 11 999
1 15 999
2 25 998
3 11 998
4 15 999
5 12 997
6 22 998
7 20 999
8 18 997
9 6 999
10 23 994
11 10 999
12 10 998
13 23 994
14 25 999
15 19 999
16 7 990
17 6 969
18 6 993
19 7 995
20 11 990
21 6 991
22 6 919
23 9 994
24 7 999
25 7 993
26 8 983
27 7 996
28 7 996
29 6 997
30 5 989
31 5 996
32 6 995
33 13 997
34 31 993
35 30 994
36 15 992
37 15 999
38 30 950
39 12 981
40 6 999
41 13 994
42 15 993
43 15 993
44 31 994
45 15 993
46 35 952
47 15 978
48 7 998
49 6 994
50 9 990
51 7 988
52 10 991
53 8 971
54 13 994
55 9 991
56 9 993
57 6 987
58 7 909
59 12 990
60 17 992
61 9 970
62 11 952
63 10 967
64 32 960
65 24 939
66 27 940
67 34 948
68 30 960
69 27 947
70 32 947
71 33 950
72 25 946
73 32 953
74 29 939
75 17 959
76 24 935
77 27 929
78 32 939
79 33 949
80 6 908
81 8 923
82 7 907
83 11 918
84 7 901
85 9 905
86 9 910
87 7 908
88 12 925
89 6 910
90 6 897
91 8 917
92 18 906
93 11 912
94 8 887
95 18 912
96 8 922
97 15 943
98 10 923
99 19 931
100 11 915
101 8 932
102 15 919
103 11 924
104 14 924
105 13 916
106 9 935
107 16 923
108 8 918
109 20 925
110 23 925
111 24 924
112 6 913
113 6 919
114 6 919
115 7 912
116 6 910
117 6 930
118 8 903
119 20 978
120 9 905
121 16 925
122 7 909
123 7 919
124 7 919
125 11 912
126 9 913
127 10 912
