Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 760
1 760
2 759
3 754
4 757
5 743
6 760
7 761
8 755
9 755
10 753
11 744
12 756
13 751
14 748
15 759
16 751
17 743
18 744
19 735
20 750
21 744
22 744
23 717
24 742
25 748
26 744
27 747
28 745
29 729
30 742
31 744
32 730
33 718
34 732
35 735
36 732
37 725
38 727
39 730
40 737
41 732
42 718
43 737
44 724
45 726
46 723
47 736
48 729
49 736
50 745
51 733
52 740
53 734
54 732
55 732
56 728
57 736
58 743
59 737
60 733
61 742
62 741
63 741
64 771
65 779
66 761
67 764
68 769
69 756
70 769
71 776
72 770
73 768
74 763
75 765
76 771
77 751
78 769
79 772
80 768
81 781
82 767
83 773
84 778
85 772
86 779
87 776
88 763
89 776
90 782
91 781
92 781
93 704
94 770
95 776
96 750
97 734
98 747
99 752
100 738
101 724
102 743
103 754
104 755
105 743
106 741
107 739
108 758
109 729
110 748
111 756
112 975
113 844
114 783
115 776
116 773
117 778
118 951
119 775
120 788
121 775
122 774
123 792
124 767
125 788
126 780
127 778
