Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 17 949
1 27 943
2 25 940
3 33 960
4 19 924
5 31 945
6 26 932
7 24 935
8 29 925
9 22 950
10 30 937
11 24 933
12 36 936
13 16 920
14 29 923
15 7 942
16 36 995
17 39 945
18 30 944
19 44 946
20 38 948
21 41 925
22 42 932
23 46 945
24 42 933
25 38 942
26 38 932
27 41 937
28 40 929
29 27 920
30 44 927
31 43 922
32 32 932
33 21 933
34 30 937
35 34 938
36 25 925
37 28 922
38 26 938
39 23 919
40 37 946
41 38 939
42 31 925
43 39 931
44 40 934
45 39 941
46 31 930
47 45 939
48 30 988
49 46 970
50 48 946
51 49 944
52 11 931
53 45 985
54 29 974
55 52 987
56 53 945
57 33 949
58 31 943
59 53 948
60 23 983
61 55 961
62 50 949
63 24 983
64 30 936
65 37 939
66 32 943
67 32 945
68 27 930
69 34 933
70 27 937
71 31 934
72 27 938
73 37 942
74 30 950
75 29 955
76 38 961
77 34 931
78 36 937
79 48 951
80 5 938
81 26 956
82 29 939
83 34 942
84 25 938
85 34 936
86 24 997
87 31 936
88 35 934
89 43 946
90 31 929
91 34 942
92 34 929
93 32 949
94 37 948
95 38 975
96 35 954
97 32 936
98 31 935
99 45 933
100 35 929
101 40 927
102 32 934
103 43 944
104 32 923
105 42 925
106 38 933
107 46 922
108 39 926
109 27 922
110 42 930
111 46 940
112 34 983
113 22 939
114 34 937
115 35 940
116 25 935
117 16 940
118 31 931
119 31 946
120 28 935
121 38 945
122 35 946
123 28 922
124 29 922
125 21 929
126 35 945
127 23 911
