Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  119.2  0.7  -3.7  0.7  3.1  126.4  1.7  -2.4  1.5  17.4  6054  14.708  6063  14.1454 
 1  119.2  2.4  -2.0  2.0  30.0  134.6  3.5  -6.6  2.3  15.4  3753  13.3965  3884  14.1005 
 2  113.9  2.3  6.3  1.9  30.9  111.1  3.0  2.3  2.5  46.4  789  13.1067  777  13.9814 
 3  123.8  2.0  -2.4  1.8  23.9  121.2  1.1  -1.4  1.0  7.9  4583  13.8459  4572  13.7258 
 4  121.7  3.2  -5.1  3.4  92.8  118.4  0.8  -2.4  0.8  5.3  6083  12.8329  6094  12.6483 
 5  121.4  2.9  3.2  2.0  32.8  118.7  1.1  -1.3  0.8  4.6  6064  13.4234  6075  13.5063 
 6  117.9  1.6  -0.8  1.3  13.2  121.5  2.1  -3.2  1.6  19.5  0 0 0 0
 7  123.7  1.6  -2.7  1.9  29.6  118.3  2.8  -0.8  2.9  38.3  386  12.8528  390  12.5138 
 8  127.0  2.9  -3.9  2.0  28.2  123.5  3.2  0.2  2.2  33.9  0 0 0 0
 9  123.9  2.0  -4.6  1.7  20.1  119.8  2.3  2.1  1.9  27.1  4987  14.1417  5014  14.6522 
 10  120.1  1.7  -4.7  1.9  17.4  125.6  3.7  -4.8  4.1  77.9  6133  14.3769  6145  14.429 
 11  118.8  3.2  -1.6  2.5  48.0  116.1  2.5  4.2  1.9  26.6  0 0 0 0
 12  124.3  4.3  -2.8  2.8  57.4  119.0  2.8  -0.6  1.8  23.8  0 0 0 0
 13  114.5  2.8  5.5  1.8  24.3  119.1  1.6  2.3  1.0  7.0  6079  14.6179  6061  14.5488 
 14  116.8  1.3  -0.5  1.1  8.4  121.0  3.9  -2.1  3.1  69.1  0 0 0 0
 15  119.8  5.1  0.0  4.7  169.9  120.0  1.2  1.3  1.1  9.7  1454  13.9283  1410  15.0798 
 16  118.7  3.8  3.8  4.6  177.2  112.7  3.4  0.2  4.3  147.9  4890  13.5257  4835  13.2815 
 17  120.6  2.5  -3.3  3.2  74.6  120.0  2.6  2.2  3.1  73.4  1171  13.4774  1177  13.0995 
 18  116.4  2.0  -1.2  2.1  33.4  122.0  2.2  -1.8  2.2  38.2  577  13.0441  601  12.8228 
 19  121.4  1.7  -0.4  1.6  18.6  120.2  1.1  1.9  1.1  8.5  0 0 0 0
 20  123.7  3.7  -0.5  2.9  67.8  124.1  3.3  -3.7  2.7  52.3  684  13.2817  633  12.5512 
 21  108.4  3.2  3.9  3.6  102.9  120.0  1.4  8.5  1.4  17.2  4290  14.0149  4305  13.8766 
 22  114.4  2.2  4.2  2.0  32.0  124.4  2.8  -0.2  2.4  46.2  319  12.4329  340  12.6663 
 23  116.5  2.8  2.0  2.0  31.8  120.3  2.1  -0.6  1.5  16.5  0 0 0 0
 24  121.5  4.2  -1.1  5.4  224.8  129.3  3.4  -4.0  4.3  137.1  6094  14.3481  6087  14.2074 
 25  115.9  2.5  4.9  3.4  94.9  121.7  1.0  -1.3  1.3  14.4  5931  14.7517  5919  14.289 
 26  116.2  2.1  0.9  2.1  32.6  116.2  2.5  3.7  2.4  44.7  283  12.41  269  13.5559 
 27  124.3  5.3  -4.5  4.5  143.8  119.4  3.8  -1.1  3.3  76.1  6076  14.3187  6066  14.2314 
 28  119.9  1.9  -1.8  2.3  40.7  117.8  0.9  -1.2  1.1  9.8  1499  13.2229  1515  12.7835 
 29  124.7  2.7  -0.9  1.9  26.1  125.4  4.4  2.1  3.0  64.4  0 0 0 0
 30  121.9  3.8  -3.7  2.7  53.1  118.9  3.8  0.3  2.6  43.8  0 0 0 0
 31  121.7  1.8  -1.4  1.7  22.0  120.0  3.1  -2.7  3.1  70.3  5102  14.2396  5119  13.5571 
 32  127.7  2.1  1.6  1.9  26.4  124.6  2.1  -0.6  1.9  25.3  0 0 0 0
 33  122.1  1.2  1.3  1.6  22.4  125.1  3.2  -0.7  4.3  146.8  0 0 0 0
 34  118.4  2.4  8.9  3.6  109.8  123.6  3.3  1.2  4.9  189.8  464  13.029  465  12.0331 
 35  128.5  7.8  -6.7  7.4  413.7  125.1  5.0  2.0  4.8  136.8  0 0 0 0
 36  121.5  2.6  1.3  3.9  73.0  121.7  5.9  7.9  10.9  985.7  1400  13.3106  1364  13.2167 
 37  120.7  3.4  4.9  6.0  303.4  133.5  2.5  -11.1  4.5  122.7  5999  14.6374  6004  14.2996 
 38  122.7  3.8  -1.0  6.1  176.6  123.9  3.3  -7.8  4.9  184.6  1247  12.7008  1282  12.78 
 39  118.6  2.5  4.7  2.8  63.8  123.5  2.3  -9.8  2.7  51.0  681  14.1167  644  12.1481 
 40  121.2  1.2  1.1  1.5  18.6  122.3  0.6  0.4  0.7  4.3  0 0 0 0
 41  131.7  2.9  -8.5  2.4  39.0  129.7  5.8  -2.3  4.5  143.7  0 0 0 0
 42  120.2  3.1  5.4  4.2  147.5  118.3  4.9  6.3  6.4  357.3  0 0 0 0
 43  124.8  2.3  1.3  2.9  67.5  123.6  1.7  1.2  2.2  36.7  0 0 0 0
 44  125.4  2.4  -3.4  2.5  48.7  117.2  4.2  3.1  4.4  156.4  0 0 0 0
 45  131.8  6.5  -7.8  8.7  585.7  124.8  2.4  -2.4  3.4  90.4  5988  15.1181  5963  14.457 
 46  124.8  1.6  -1.1  2.0  31.9  125.4  2.3  -0.7  2.8  63.4  5367  14.8458  5337  13.4078 
 47  126.2  3.7  1.2  5.0  202.4  130.9  3.1  -7.4  4.2  121.7  703  12.4591  685  13.5434 
 48  119.1  4.0  5.3  6.4  335.7  128.5  4.8  2.4  7.8  508.5  6006  14.7389  6026  15.2774 
 49  129.5  2.3  1.4  3.1  84.8  126.5  1.4  -0.5  1.9  30.3  3116  13.4548  3094  14.869 
 50  120.4  1.6  8.9  2.3  47.7  119.9  1.0  1.8  1.4  17.3  2656  14.5888  2613  14.0067 
 51  128.0  0.8  0.3  1.2  12.0  119.8  1.2  3.5  1.9  30.4  6105  12.2336  6092  12.123 
 52  126.0  1.7  -0.9  2.3  41.8  124.1  1.3  4.1  1.8  25.5  5311  15.0686  5343  14.4406 
 53  121.2  0.8  11.3  1.1  9.9  125.3  1.5  -0.0  2.1  34.3  491  14.3208  473  14.7588 
 54  119.0  1.0  3.4  1.1  9.6  124.3  0.8  -1.2  1.0  6.9  6062  14.5701  6071  15.021 
 55  128.8  2.6  2.5  3.3  92.6  121.5  2.6  0.8  3.5  100.6  233  14.7148  251  15.4935 
 56  121.5  4.0  6.0  6.6  371.7  130.7  3.0  -6.2  5.0  122.8  949  13.2163  1009  15.4528 
 57  121.2  1.0  1.3  1.3  13.2  118.2  3.3  2.3  2.7  15.2  6046  14.3143  6047  14.01 
 58  121.2  4.1  2.4  7.5  281.9  124.1  4.5  -2.7  7.9  310.9  6175  13.4521  6174  13.2684 
 59  126.4  1.8  1.7  2.5  54.3  124.6  2.2  -3.1  3.2  82.8  5634  15.2323  5660  14.2653 
 60  125.6  5.0  0.8  8.3  582.4  115.0  3.8  6.2  6.7  169.1  6065  14.6682  6062  14.7685 
 61  121.7  1.8  1.5  2.5  51.6  123.2  0.5  -0.9  0.7  3.4  0 0 0 0
 62  124.2  1.4  -2.6  1.9  27.9  123.2  1.7  2.1  2.2  39.1  628  14.3066  665  13.5881 
 63  127.8  1.1  -2.2  1.2  11.9  122.5  1.5  0.7  1.6  21.5  507  14.2792  547  13.6757 
 64  120.9  1.6  1.6  1.2  11.3  121.7  4.9  2.7  2.8  35.4  0 0 0 0
 65  119.2  2.3  2.8  1.7  23.7  112.3  3.2  3.6  2.4  48.2  3012  13.4378  3058  12.4775 
 66  112.5  1.0  2.6  0.6  3.2  117.9  1.2  3.7  0.8  5.5  0 0 0 0
 67  122.8  3.3  -1.1  2.5  51.3  117.5  3.0  1.7  2.2  36.0  0 0 0 0
 68  119.5  1.2  0.9  0.9  6.3  112.6  3.9  5.1  2.9  65.7  5752  14.1463  5797  13.7599 
 69  119.6  3.3  1.7  2.0  29.9  117.3  2.9  5.8  1.8  24.1  0 0 0 0
 70  119.0  1.0  3.2  0.6  2.5  120.4  2.2  6.9  1.3  12.7  6078  14.5911  6081  14.3576 
 71  122.8  1.9  0.9  1.4  16.5  119.6  1.4  2.2  1.1  9.2  6150  14.786  6147  15.0388 
 72  117.5  2.1  5.3  1.5  19.2  124.1  3.1  -0.4  2.2  37.3  1674  12.3625  1668  12.7109 
 73  119.5  1.6  0.0  1.0  8.2  122.6  5.8  1.2  3.8  108.5  6096  14.8523  6117  14.8855 
 74  121.4  1.9  1.7  1.2  12.0  122.5  5.1  2.4  3.3  85.4  0 0 0 0
 75  120.1  3.7  2.1  2.7  57.4  117.8  4.8  2.5  3.5  98.0  6109  13.4591  6119  13.2948 
 76  123.2  2.5  1.5  1.7  24.1  111.3  2.8  7.8  1.8  27.7  3371  13.4821  3287  13.6975 
 77  121.1  1.7  4.3  1.2  13.1  118.8  2.2  2.7  1.5  18.6  6138  12.803  6118  12.9557 
 78  124.0  2.4  1.8  1.1  9.6  110.3  6.2  4.2  3.1  68.2  6063  15.6993  6062  14.7622 
 79  122.6  1.5  1.0  1.0  7.7  119.0  5.0  -2.2  3.4  80.1  1934  12.7079  1947  13.8152 
 80  121.1  1.9  1.4  1.5  20.0  117.9  2.8  3.6  2.3  41.3  0 0 0 0
 81  120.4  1.6  0.6  1.1  10.2  124.0  3.4  -2.5  2.4  41.4  3804  14.0209  3746  13.4202 
 82  124.5  2.8  -0.4  2.2  38.6  125.1  6.6  1.6  5.1  209.5  244  12.9072  258  13.0776 
 83  122.0  2.6  1.3  2.4  51.0  120.7  1.0  -1.4  0.9  7.0  0  0  0  0 
 84  117.7  2.4  3.4  2.4  48.8  118.2  3.2  4.3  2.6  33.3  863  13.2423  862  13.7589 
 85  129.9  1.7  -0.8  1.6  22.2  120.8  4.2  3.7  3.2  49.4  0 0 0 0
 86  121.9  2.1  3.1  1.6  20.6  123.5  1.0  -4.9  0.8  5.0  6069  15.3086  6078  14.9185 
 87  123.2  1.2  0.1  1.3  14.5  120.2  1.9  4.2  2.1  36.3  0 0 0 0
 88  122.9  1.2  0.7  0.9  6.1  123.0  3.4  2.4  2.4  45.7  0 0 0 0
 89  123.8  2.0  1.6  1.9  30.2  123.5  1.3  0.7  1.3  13.0  4744  15.1033  4720  14.2422 
 90  124.9  2.1  1.2  2.0  31.7  123.9  0.9  -2.4  0.8  2.5  0 0 0 0
 91  134.3  3.7  -4.8  3.2  81.8  120.5  3.7  3.4  3.3  85.4  0 0 0 0
 92  122.7  1.7  -4.3  1.9  28.9  119.3  1.7  6.2  1.4  9.3  3533  15.2752  3515  13.104 
 93  125.3  6.2  -2.2  4.3  145.3  129.4  4.0  -1.9  2.3  20.2  0 0 0 0
 94  131.4  3.7  -1.9  3.1  72.2  123.9  2.0  -2.1  1.7  22.7  0 0 0 0
 95  119.1  3.0  7.0  2.8  66.6  133.0  3.0  -2.2  2.7  57.7  745  13.8142  741  14.2628 
 96  120.6  5.1  0.6  3.3  88.3  121.7  3.6  4.8  2.2  40.9  5985  14.2749  5931  14.0908 
 97  127.4  1.2  -5.0  0.8  4.3  118.5  4.4  4.8  2.7  59.3  0 0 0 0
 98  115.8  4.4  -0.5  2.6  54.8  117.5  2.6  3.2  1.5  18.3  0 0 0 0
 99  120.8  1.4  4.9  1.2  12.3  118.3  0.7  0.7  0.6  2.9  0 0 0 0
