Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 84.2 2.5 83.3 2.7 88.6 1.2 90.9 1.1 
1 80.7 2.4 83.2 2.4 96.5 1.1 91.3 1.5 
2 79.5 2.5 82.0 2.5 88.8 1.2 91.8 1.1 
3 82.1 2.5 84.3 2.3 89.5 1.3 94.0 1.6 
4 84.4 2.4 82.5 2.6 89.0 1.3 91.0 1.2 
5 84.1 2.4 80.2 2.4 87.0 1.1 87.3 1.1 
6 80.5 2.5 74.8 2.5 95.7 1.3 89.4 1.3 
7 79.5 2.6 82.8 2.4 91.6 1.2 88.1 1.0 
8 79.3 2.7 83.2 2.5 91.6 1.2 89.4 1.2 
9 82.7 2.5 79.7 2.5 95.0 1.2 92.6 1.1 
10 81.0 2.7 87.5 2.6 86.1 1.2 88.4 1.1 
11 85.3 2.4 79.4 2.7 93.4 1.2 84.6 1.3 
12 82.9 2.5 78.2 2.5 89.7 1.4 85.2 1.3 
13 88.0 2.4 85.2 2.5 88.6 1.1 92.3 1.1 
14 86.5 2.6 87.0 2.4 92.0 1.2 89.6 1.2 
15 82.5 2.5 84.5 2.4 86.9 1.2 92.5 1.2 
16 81.2 2.2 78.3 2.2 82.4 1.3 85.7 1.5 
17 76.7 2.1 79.8 2.4 89.0 1.4 84.3 1.1 
18 82.9 2.1 79.6 2.1 85.8 1.3 83.2 1.4 
19 80.7 2.1 80.5 2.2 90.1 1.3 83.0 1.3 
20 80.7 2.4 81.2 2.1 85.8 1.3 82.2 1.4 
21 77.3 2.2 80.2 2.4 84.6 1.1 85.1 1.5 
22 73.8 2.2 76.8 2.2 90.2 1.3 88.6 1.0 
23 82.2 2.3 75.4 2.2 86.2 1.2 84.2 1.3 
24 77.8 2.1 74.3 2.1 83.4 1.4 86.9 1.1 
25 71.0 2.3 73.1 2.1 93.7 1.4 90.3 1.4 
26 79.6 2.1 73.2 2.2 88.0 1.1 78.2 1.4 
27 79.6 2.2 74.9 2.2 81.4 1.2 84.7 1.3 
28 80.4 2.4 80.6 2.1 85.7 1.2 87.3 1.1 
29 74.6 2.2 77.4 2.2 85.5 1.2 87.0 1.1 
30 77.6 2.1 78.5 2.1 83.0 1.4 86.5 1.1 
31 74.1 2.2 75.7 2.2 87.3 1.1 84.5 1.0 
32 71.5 2.8 65.5 2.8 82.7 1.2 79.9 1.2 
33 74.2 2.5 71.7 2.5 79.0 1.2 76.8 1.1 
34 70.3 2.5 67.7 2.6 81.6 1.2 83.2 1.1 
35 74.6 2.4 78.2 2.4 75.0 1.3 80.2 1.1 
36 70.5 2.6 65.4 2.8 79.2 1.4 83.1 1.2 
37 69.0 2.4 75.6 2.2 74.9 1.2 72.3 1.0 
38 70.0 2.7 72.3 2.7 78.5 1.2 76.9 1.0 
39 72.4 2.2 69.7 2.2 82.8 1.2 80.4 1.2 
40 71.1 2.3 73.9 2.3 73.0 1.2 74.9 1.1 
41 63.2 2.7 69.0 2.7 71.1 1.2 76.1 1.1 
42 70.0 2.5 68.2 2.7 79.0 1.2 75.5 1.2 
43 65.1 2.6 67.9 2.5 76.5 1.1 80.5 1.0 
44 71.4 2.6 72.1 2.7 69.0 1.2 72.0 0.9 
45 67.0 2.3 63.9 2.3 68.5 1.1 65.8 1.1 
46 71.0 2.4 62.8 2.5 79.4 1.2 71.5 1.3 
47 66.0 2.5 66.5 2.2 76.4 1.3 74.9 1.5 
48 62.9 2.2 66.0 2.1 65.9 1.2 67.5 1.0 
49 60.2 2.1 59.5 2.2 71.7 1.1 67.8 1.1 
50 63.7 2.2 61.7 2.1 63.7 1.2 68.3 1.1 
51 64.9 2.2 64.1 2.5 72.0 1.1 67.3 1.3 
52 60.4 2.2 68.2 2.3 69.3 1.1 71.5 1.0 
53 69.0 2.1 68.7 2.5 69.8 1.2 72.0 1.0 
54 56.8 2.3 60.5 2.2 68.8 1.1 68.9 1.1 
55 65.8 2.1 70.9 2.3 71.7 1.2 78.8 1.3 
56 57.0 2.3 58.4 2.1 66.5 1.3 68.6 1.3 
57 59.9 2.1 61.2 2.5 74.6 1.3 66.1 1.4 
58 62.7 2.2 60.7 2.2 64.7 1.1 68.0 1.1 
59 57.2 2.3 56.4 2.5 64.4 1.1 67.3 1.2 
60 66.8 2.2 70.2 2.3 68.5 1.1 67.3 1.5 
61 63.2 2.5 64.0 2.5 69.5 1.2 72.2 1.0 
62 66.0 2.3 64.9 2.6 67.6 1.3 72.0 1.0 
63 65.0 2.4 64.3 2.5 64.0 1.1 66.3 1.2 
64 92.4 2.2 89.2 1.9 91.7 1.3 95.2 1.1 
65 85.8 2.0 78.8 2.1 91.7 1.2 89.6 1.1 
66 89.0 2.1 89.6 2.1 94.5 1.3 88.5 1.0 
67 85.7 1.9 88.5 2.0 89.1 1.2 93.0 1.4 
68 87.8 1.9 91.7 2.2 87.8 1.3 90.0 1.5 
69 86.0 2.1 80.9 2.0 89.6 1.4 88.3 1.0 
70 92.7 2.2 89.9 2.0 91.7 1.2 87.5 1.3 
71 89.9 2.0 91.6 1.9 87.4 1.1 85.3 1.1 
72 86.0 2.1 88.4 2.1 96.4 1.1 94.6 1.5 
73 86.5 2.0 84.7 2.1 91.3 1.3 95.6 1.1 
74 86.4 2.0 85.1 2.1 92.2 1.1 92.2 1.0 
75 82.6 2.2 88.5 2.0 91.0 1.3 88.3 1.1 
76 90.6 1.9 87.2 2.0 87.8 1.2 89.6 1.5 
77 86.4 2.1 81.7 2.0 92.6 1.3 88.5 1.0 
78 78.9 2.2 83.1 2.1 95.0 1.2 93.5 1.1 
79 89.6 2.1 85.2 2.2 87.5 1.1 86.9 1.4 
80 66.0 4.0 65.1 4.2 81.7 1.4 73.2 1.3 
81 70.4 2.6 74.3 2.5 75.9 1.1 76.0 1.0 
82 74.3 2.9 75.5 3.1 76.3 1.2 79.6 1.1 
83 73.1 2.4 74.3 2.3 77.1 1.2 79.0 1.1 
84 65.5 2.8 67.9 2.5 73.4 1.4 70.7 1.4 
85 71.0 2.3 75.6 2.1 77.2 1.3 72.2 1.1 
86 70.6 2.4 67.4 2.5 79.9 1.1 78.5 1.6 
87 74.3 2.1 78.0 2.2 80.6 1.1 76.5 1.0 
88 71.9 2.3 71.9 2.2 79.2 1.3 73.7 1.2 
89 68.8 2.4 71.3 2.4 80.5 1.1 74.9 1.4 
90 73.2 2.2 67.2 2.3 75.9 1.1 72.0 1.2 
91 66.6 2.3 71.8 2.1 75.9 1.1 70.4 1.3 
92 67.6 2.1 71.3 2.1 75.2 1.2 71.1 1.5 
93 66.0 2.3 68.8 2.1 74.8 1.3 76.2 1.0 
94 67.8 2.1 72.8 2.3 72.0 1.1 68.5 1.0 
