Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  121.3  3.7  -3.5  3.4  85.3  128.1  1.6  -2.3  1.4  14.8  6175  13.6069  6151  12.6468 
 1  120.0  4.2  -1.5  3.6  91.8  123.1  2.2  -3.3  1.4  6.3  3255  12.76  3277  13.6578 
 2  115.7  1.9  4.8  1.6  20.8  115.5  4.5  -1.0  3.9  108.9  652  13.8393  637  13.2584 
 3  121.9  3.5  -0.6  3.1  75.7  123.0  2.2  -3.5  2.0  31.5  4053  13.5658  3992  12.9038 
 4  125.5  3.6  -1.0  3.8  121.4  123.5  1.5  -1.7  1.6  19.7  6223  12.5691  6236  12.4005 
 5  118.6  3.6  2.5  2.5  50.2  120.0  2.0  0.7  1.5  14.5  6192  12.4846  6210  12.3721 
 6  118.9  1.6  -1.4  1.3  14.0  125.6  1.0  0.2  0.8  4.3  0 0 0 0
 7  133.8  3.6  -6.0  4.4  155.8  115.1  5.6  1.4  5.7  149.4  320  12.6114  386  12.6976 
 8  132.9  4.0  -4.9  2.7  53.5  125.6  3.4  -6.5  2.3  38.2  0 0 0 0
 9  123.4  2.9  -5.6  2.4  41.4  120.4  2.4  4.1  2.0  29.6  4686  13.1583  4692  13.5501 
 10  120.6  3.1  -2.7  3.3  83.9  121.6  1.5  -2.0  1.6  19.4  6293  12.8292  6267  12.8182 
 11  118.5  3.8  -3.9  3.0  69.5  118.6  1.6  6.6  1.2  11.2  0 0 0 0
 12  127.0  4.2  -4.3  2.7  53.7  118.1  3.1  4.3  2.0  29.0  0 0 0 0
 13  121.0  2.1  -1.4  1.3  13.6  128.5  1.6  -3.2  1.0  7.1  6192  13.4056  6187  13.1231 
 14  121.6  2.4  -5.3  2.0  27.0  116.9  2.6  0.7  2.0  29.8  0 0 0 0
 15  120.8  3.9  -3.1  3.7  102.0  117.6  2.2  0.1  2.1  33.0  1163  13.9891  1094  13.3125 
 16  117.5  3.9  10.0  4.7  185.1  110.3  5.3  5.5  6.9  372.9  4510  13.2829  4563  12.7693 
 17  125.1  2.0  -3.9  2.6  48.4  129.7  3.1  -0.4  3.6  104.5  1099  12.7094  1039  13.1953 
 18  119.2  2.3  -1.5  2.5  46.8  121.0  1.4  0.6  1.4  16.0  415  11.9792  402  12.8405 
 19  121.2  3.1  1.1  2.9  66.3  120.7  1.5  2.6  1.4  14.5  0 0 0 0
 20  122.2  2.7  -1.1  2.2  37.7  127.8  2.6  -6.7  2.2  33.0  575  12.4749  560  13.1372 
 21  113.6  2.9  0.9  3.2  82.4  118.2  6.3  13.9  6.1  330.6  4184  13.5287  4189  12.898 
 22  115.7  3.3  4.8  3.0  73.7  124.7  1.6  -0.7  1.4  15.3  0  0  0  0 
 23  122.8  6.0  1.7  4.3  139.4  119.0  2.4  -0.3  1.7  20.1  0 0 0 0
 24  126.3  4.8  -5.2  6.2  289.9  127.1  2.6  -1.6  3.3  79.0  6230  13.0443  6229  12.682 
 25  122.7  1.8  5.2  2.5  51.3  125.4  2.3  -0.5  3.2  84.0  5735  12.8176  5789  12.8125 
 26  121.0  1.7  -0.2  1.7  21.7  125.7  2.3  -1.3  2.2  37.5  219  11.5189  205  14.4337 
 27  121.4  1.0  -0.8  0.9  5.6  119.9  4.7  0.3  4.0  114.0  6198  13.2405  6192  13.0905 
 28  120.9  2.7  -0.5  3.3  83.1  119.2  1.5  1.4  1.8  25.2  1170  13.2357  1131  12.9687 
 29  117.2  3.5  1.5  2.4  43.4  120.1  3.6  3.2  2.4  43.4  0 0 0 0
 30  118.4  4.4  -1.1  3.2  71.8  117.2  4.3  1.2  3.0  55.9  0 0 0 0
 31  118.5  2.3  5.5  2.2  36.8  123.1  2.8  -0.9  2.8  57.2  4725  13.2528  4746  13.3937 
 32  121.3  1.6  -0.6  1.4  14.4  122.0  3.0  1.7  2.7  50.7  0 0 0 0
 33  121.6  1.5  1.1  2.0  34.1  120.0  2.3  -0.3  3.1  75.9  0 0 0 0
 34  121.3  3.0  4.6  4.6  177.4  127.3  3.0  -0.7  4.3  147.8  278  13.5488  296  11.8833 
 35  116.3  2.5  0.0  2.3  42.1  120.0  2.9  2.4  2.8  44.5  0 0 0 0
 36  122.1  2.8  4.0  4.3  85.7  121.5  2.5  6.5  4.7  180.2  1026  13.5717  1028  12.3104 
 37  129.2  6.3  -1.6  11.3  1052.3  127.7  3.6  -6.7  6.3  315.6  6022  13.6034  6054  13.5369 
 38  125.3  5.6  -1.2  6.9  203.2  133.5  6.0  -11.2  9.0  626.1  853  12.6785  863  13.2536 
 39  120.9  1.5  2.2  1.6  21.7  122.1  4.0  -7.4  4.7  155.9  439  12.4699  455  12.1187 
 40  119.5  0.4  3.8  0.5  1.9  118.7  1.8  0.0  2.3  41.6  0 0 0 0
 41  127.4  2.4  -3.2  1.9  25.6  122.6  3.8  4.6  2.9  62.0  0 0 0 0
 42  118.1  2.4  9.0  3.2  86.3  117.8  5.8  9.0  7.6  499.8  0 0 0 0
 43  121.5  1.2  2.8  1.5  19.4  125.7  2.1  -4.1  2.7  55.6  0 0 0 0
 44  122.8  2.2  1.1  2.3  40.1  117.5  3.1  4.4  3.3  88.1  0 0 0 0
 45  133.5  6.5  -6.4  8.7  589.1  124.0  1.5  -1.5  2.0  33.2  5934  13.8399  5977  13.8492 
 46  121.3  1.1  4.0  1.4  14.9  121.4  2.7  -0.9  3.3  87.9  4357  13.3201  4320  13.8386 
 47  116.0  2.8  7.4  3.7  111.6  129.8  4.3  -12.3  5.9  241.8  376  12.9572  384  12.8932 
 48  121.9  4.6  3.6  7.4  448.1  118.8  2.3  8.0  3.8  117.8  6108  13.2334  6111  13.2337 
 49  125.4  1.4  4.2  1.9  31.0  124.7  2.4  1.9  3.2  88.0  2765  12.3373  2746  13.4795 
 50  116.8  3.2  10.4  4.5  187.2  117.9  0.9  4.7  1.3  13.8  2498  14.0142  2501  13.126 
 51  121.6  1.8  3.1  2.8  63.3  119.8  1.8  0.8  2.8  65.7  6231  12.112  6232  12.0791 
 52  126.5  2.0  -3.5  2.7  55.3  121.8  1.6  4.3  2.1  36.8  5126  13.8131  5142  13.127 
 53  119.5  1.4  10.5  2.0  33.7  122.2  1.2  4.1  1.6  21.4  565  13.3776  574  13.009 
 54  121.1  0.8  1.7  0.9  6.4  123.0  1.1  0.7  1.3  12.6  6186  13.391  6182  13.6241 
 55  125.0  5.4  -2.5  7.0  414.8  122.2  1.3  -0.7  1.8  25.2  249  13.2707  276  13.4365 
 56  122.9  1.8  5.3  3.0  76.2  121.5  2.7  2.0  4.4  154.5  859  13.4723  857  13.3674 
 57  122.5  2.8  1.7  3.4  94.0  123.2  2.3  2.0  1.9  7.6  6173  12.699  6142  13.0719 
 58  117.6  1.5  4.3  2.5  53.6  129.9  1.6  -3.4  2.7  59.0  6385  13.0349  6391  12.9119 
 59  121.0  1.0  6.0  1.4  16.7  123.0  1.4  0.1  2.0  32.8  5439  13.988  5456  13.2786 
 60  121.8  5.3  3.0  7.1  231.2  117.7  2.6  0.7  4.6  182.3  6195  12.8836  6201  13.1532 
 61  121.2  2.2  3.4  3.1  80.8  127.4  1.3  -3.2  1.8  25.9  0 0 0 0
 62  120.7  1.3  -0.5  1.8  25.1  122.3  2.7  1.6  3.5  103.5  564  13.0189  569  12.4721 
 63  123.7  2.4  1.2  2.6  53.5  122.5  2.2  1.6  2.4  46.5  485  13.6017  471  13.0925 
 64  122.0  2.8  1.9  2.1  34.7  123.7  3.2  0.1  1.8  15.1  0 0 0 0
 65  118.6  1.9  2.4  1.4  16.8  113.2  3.6  7.2  2.7  61.6  1787  13.5132  1700  13.2867 
 66  129.2  1.9  -3.1  1.3  13.4  125.4  1.8  2.2  1.2  11.7  0 0 0 0
 67  123.8  2.2  -1.3  1.6  21.5  123.0  2.4  0.9  1.7  22.2  0 0 0 0
 68  126.1  1.1  -2.2  0.8  4.6  122.5  3.3  2.6  2.4  46.7  5587  13.6693  5558  13.1557 
 69  125.2  5.2  2.5  3.1  74.4  123.2  2.2  2.3  1.4  14.2  0 0 0 0
 70  124.6  3.1  -0.2  1.9  25.0  125.1  4.9  3.1  2.8  60.1  6211  13.8106  6219  13.6559 
 71  127.9  1.2  -0.9  0.9  6.7  118.3  2.8  3.2  2.1  36.9  6270  13.2948  6266  13.5915 
 72  118.9  1.6  5.2  1.2  12.1  128.6  4.2  -2.2  3.0  68.0  1092  13.2063  1056  12.7102 
 73  127.9  2.2  -3.3  1.5  16.1  126.7  5.1  0.4  3.3  83.5  6220  13.3916  6233  13.1835 
 74  132.0  2.0  -1.9  1.3  14.3  130.0  4.2  0.2  2.7  59.2  0 0 0 0
 75  127.9  3.0  -2.4  2.1  37.5  124.0  5.5  5.6  4.0  127.6  6262  13.5992  6236  13.4841 
 76  122.1  1.8  2.3  1.2  12.3  125.9  2.3  0.2  1.5  19.0  2206  13.5187  2192  13.7467 
 77  117.0  1.8  4.7  1.3  14.8  122.6  1.2  2.3  0.9  6.2  6244  13.4229  6265  13.7421 
 78  126.1  2.6  1.7  1.2  10.6  117.0  6.6  4.8  3.3  76.1  6186  14.4846  6186  13.6446 
 79  123.1  0.7  1.8  0.4  1.5  125.8  3.2  -5.3  2.2  33.2  957  12.8231  928  13.7082 
 80  117.2  1.6  4.3  1.3  14.1  120.6  1.5  4.3  1.2  12.4  0 0 0 0
 81  120.5  2.9  -0.3  2.0  33.1  113.2  2.4  2.1  1.7  20.3  2912  12.7028  2949  12.4447 
 82  121.4  2.2  1.0  1.7  23.3  121.7  5.5  2.6  4.2  143.1  0  0  0  0 
