Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 72.1 2.1 72.8 2.3 84.0 1.1 81.8 1.1 
1 76.9 2.3 80.4 2.0 79.9 1.2 82.5 1.1 
2 76.3 2.0 74.7 2.0 81.0 1.3 79.5 1.1 
3 74.2 2.2 78.2 2.1 78.7 1.4 79.1 1.1 
4 74.9 2.2 82.5 2.2 75.5 4.9 75.2 5.0 
5 79.0 1.9 77.1 1.9 77.7 1.2 79.8 1.4 
6 78.0 2.2 76.6 2.3 74.8 1.4 77.5 1.4 
7 80.0 2.1 82.4 2.1 77.8 1.2 79.3 1.1 
8 77.3 2.1 78.5 2.1 77.9 1.3 76.4 1.0 
9 72.9 2.1 76.5 2.1 80.7 1.2 77.9 1.0 
10 71.5 2.4 71.7 2.1 84.5 0.9 84.9 1.3 
11 73.0 2.4 76.4 2.2 83.6 1.2 84.5 0.9 
12 79.9 2.1 81.9 2.1 75.3 4.9 71.8 5.5 
13 73.0 2.1 76.7 2.1 76.0 1.3 73.8 1.1 
14 77.8 2.1 72.8 2.2 84.7 1.1 86.5 1.1 
15 72.1 2.1 75.4 2.1 83.5 1.4 82.4 1.0 
16 77.9 1.9 74.0 2.1 79.6 1.1 80.5 1.4 
17 66.6 2.2 72.4 2.1 83.4 1.1 82.1 1.1 
18 73.6 2.0 75.7 2.2 86.7 1.1 85.4 0.9 
19 79.2 2.0 75.9 2.3 83.7 1.1 80.9 1.4 
20 73.2 2.0 75.1 2.0 84.5 1.1 81.1 1.1 
21 70.0 2.4 74.9 2.3 85.9 1.1 85.5 1.0 
22 74.9 2.1 75.6 2.0 74.4 1.4 80.6 1.1 
23 72.5 2.0 74.4 2.0 79.9 1.2 83.3 1.1 
24 73.2 2.0 78.0 2.1 84.8 1.2 79.7 1.2 
25 75.1 2.2 78.3 2.1 78.2 1.3 80.7 1.5 
26 71.9 2.0 79.3 2.1 80.9 1.2 84.5 1.1 
27 75.2 2.1 74.9 2.3 87.3 1.1 84.7 1.0 
28 73.6 2.0 81.2 2.2 78.1 1.4 81.3 1.5 
29 72.4 2.2 76.1 2.1 75.4 1.4 79.2 1.1 
30 71.5 2.0 74.5 2.0 82.5 1.2 83.9 1.1 
31 71.9 2.1 69.0 2.0 82.6 1.3 75.2 1.2 
32 70.0 2.9 69.8 2.9 80.9 1.3 79.0 1.6 
33 73.3 2.6 76.6 2.7 76.1 1.1 74.2 1.1 
34 79.3 2.8 78.3 2.5 80.0 1.2 77.3 1.1 
35 73.4 2.5 73.8 2.3 82.4 1.3 78.7 1.4 
36 72.4 3.1 71.3 2.9 78.0 1.2 80.0 1.1 
37 77.0 2.2 76.4 2.4 78.7 1.3 82.8 1.1 
38 69.2 2.7 70.6 2.6 80.0 1.1 81.7 1.6 
39 76.9 2.3 72.4 2.2 77.5 1.2 80.0 1.1 
40 71.5 2.3 72.7 2.4 81.2 1.2 83.7 1.1 
41 75.7 2.5 75.4 2.8 88.8 1.3 82.3 1.3 
42 68.3 2.8 68.1 2.6 76.2 1.1 76.5 1.5 
43 73.6 2.4 73.7 2.4 73.0 1.3 81.2 1.3 
44 72.9 2.6 73.8 2.7 73.2 1.3 76.9 1.4 
45 71.6 2.4 70.1 2.3 72.3 1.2 80.2 1.2 
46 68.6 2.4 72.2 2.4 77.1 1.2 79.8 1.1 
47 68.1 2.4 72.9 2.3 79.2 1.2 76.9 1.1 
48 82.7 2.0 83.9 2.0 89.3 1.2 91.6 1.0 
49 83.7 2.0 84.0 2.0 89.3 1.3 88.0 1.0 
50 88.5 2.0 84.0 2.0 88.2 1.3 85.5 1.0 
51 84.7 2.2 81.2 2.1 91.4 1.1 86.9 1.2 
52 86.1 1.9 87.1 2.1 93.0 1.3 90.7 1.4 
53 83.0 2.1 85.5 2.2 90.0 1.2 88.6 1.1 
54 85.0 1.9 81.8 2.0 89.1 1.1 91.7 1.0 
55 84.7 2.3 85.8 2.0 84.3 1.1 87.4 1.0 
56 84.5 1.9 84.2 2.0 89.1 1.1 90.6 1.1 
57 81.7 1.9 84.7 2.0 88.2 1.4 88.3 1.0 
58 80.4 2.0 80.8 2.2 84.9 1.1 87.2 1.0 
59 79.0 2.0 82.2 2.2 93.5 1.2 94.9 1.1 
60 87.6 2.1 87.3 1.9 86.3 1.4 89.9 1.3 
61 82.4 2.1 87.0 2.2 93.2 1.2 95.5 1.0 
62 82.0 2.1 85.8 2.1 90.5 1.2 85.1 1.0 
63 85.1 2.2 81.4 2.5 90.1 1.2 87.0 1.5 
64 66.8 2.4 69.7 2.2 70.9 1.4 78.8 1.4 
65 76.1 2.2 74.1 2.3 78.8 1.2 76.2 1.1 
66 78.3 2.3 81.4 2.3 74.2 1.4 75.5 1.1 
67 78.0 2.1 76.0 2.5 84.3 1.2 78.7 1.3 
68 71.3 2.4 74.4 2.3 73.2 1.2 78.5 1.5 
69 75.5 2.2 69.7 2.6 74.9 1.3 80.6 1.2 
70 70.4 2.5 71.1 2.4 76.2 1.4 76.1 1.1 
71 72.6 2.3 68.8 2.1 79.5 1.2 75.2 1.2 
72 79.2 2.5 75.1 2.4 74.1 1.2 72.3 1.1 
73 73.9 2.2 70.8 2.5 79.4 1.3 73.2 1.3 
74 71.0 2.2 74.8 2.3 79.4 1.3 72.5 1.2 
75 72.1 2.2 72.6 2.6 75.2 1.2 75.9 1.1 
76 72.9 2.2 75.7 2.3 74.7 1.4 69.9 1.4 
77 68.2 2.2 67.0 2.5 65.3 1.2 68.0 1.3 
78 74.4 2.3 72.2 2.2 74.6 1.3 72.3 1.5 
79 71.9 2.3 70.3 2.2 78.2 1.4 76.6 1.1 
80 78.0 4.2 78.5 4.0 82.1 1.3 84.2 1.1 
81 73.6 2.3 73.0 2.5 80.0 1.1 77.6 1.1 
82 80.0 2.9 81.8 2.9 83.1 1.2 81.5 1.1 
83 80.4 2.0 81.3 2.2 75.6 1.1 75.6 1.0 
84 89.1 2.7 82.9 2.6 87.1 1.1 83.1 1.3 
85 76.8 2.2 84.5 1.9 82.6 1.2 84.6 0.9 
86 82.5 2.3 79.7 2.4 86.4 1.1 84.3 1.2 
87 80.1 1.9 80.0 2.2 82.1 1.3 79.7 1.5 
88 84.4 2.2 75.4 2.2 85.5 1.2 82.0 1.2 
89 83.7 2.1 80.1 2.2 92.3 1.2 87.2 1.2 
90 75.0 2.0 80.3 2.1 83.7 1.2 81.0 1.1 
91 79.3 2.0 82.0 2.0 82.3 1.4 79.5 1.5 
92 79.6 2.1 82.6 2.0 81.1 1.2 84.0 1.1 
93 74.7 2.0 76.5 2.1 81.7 1.2 81.1 1.1 
94 78.2 2.1 74.4 2.0 78.7 1.2 77.3 1.1 
95 73.0 2.0 77.1 2.2 77.8 1.2 80.2 1.0 
96 85.1 2.1 89.4 2.1 87.3 1.2 85.5 1.1 
97 84.7 2.0 82.4 2.0 85.1 1.2 86.9 1.1 
98 88.0 2.2 91.0 2.0 90.5 1.4 83.6 1.2 
99 84.6 2.3 86.3 2.0 93.0 1.4 93.4 1.4 
100 90.4 2.0 87.4 2.0 91.9 1.2 88.4 1.1 
101 89.0 2.0 91.1 2.3 93.7 1.5 89.4 1.2 
102 88.1 2.1 91.6 2.0 86.7 1.2 85.6 1.1 
103 89.5 2.2 93.3 2.1 84.9 1.1 86.2 1.1 
104 82.9 2.0 79.7 2.2 87.7 1.4 85.4 1.1 
105 87.4 2.0 78.4 2.1 90.1 1.4 91.9 1.1 
106 83.4 2.1 86.1 2.1 85.6 1.2 88.2 1.5 
107 86.5 2.0 84.3 2.1 93.5 1.3 95.9 1.1 
108 83.5 2.2 82.0 2.3 83.2 1.4 85.2 1.5 
109 84.0 2.0 81.7 2.0 93.6 1.4 86.8 1.1 
110 83.7 2.1 88.8 2.3 86.5 1.4 88.7 1.4 
111 80.1 2.0 84.2 2.2 93.0 1.2 89.0 1.2 
112 77.4 2.6 74.9 2.6 78.5 1.4 79.9 1.1 
113 79.5 2.4 79.4 2.8 79.8 1.4 84.2 1.2 
114 79.8 2.8 83.2 2.6 80.4 1.2 83.2 1.2 
115 72.6 2.7 74.5 2.7 81.0 1.2 83.3 1.1 
116 81.1 2.5 77.6 2.5 87.5 1.1 85.3 1.1 
117 79.2 2.6 81.9 2.5 80.2 1.3 83.2 1.2 
118 80.7 2.4 79.0 2.5 78.9 1.4 82.1 1.6 
119 71.1 2.5 75.9 2.5 81.6 1.3 81.5 1.2 
120 75.1 2.7 79.4 2.5 80.4 1.2 76.8 1.1 
121 72.0 2.5 76.6 2.7 79.9 1.3 77.7 1.2 
122 79.7 2.5 77.0 2.5 81.7 1.4 87.3 1.3 
123 76.2 2.8 79.3 2.5 85.1 1.3 80.2 1.2 
124 81.1 2.5 74.0 2.7 83.4 1.3 80.1 1.2 
125 75.1 2.5 74.1 2.8 81.3 1.3 83.0 1.2 
126 81.6 2.4 78.7 2.6 77.8 1.4 82.2 1.4 
127 76.3 2.5 79.8 2.7 86.3 1.4 81.0 1.3 
