Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  121.1  3.5  -1.0  3.3  77.9  124.4  1.5  0.2  1.3  12.6  5888  15.6492  5899  14.5937 
 1  123.2  5.4  0.0  4.6  150.3  138.3  4.3  -10.5  2.8  23.3  3565  14.9988  3631  14.902 
 2  117.4  3.3  5.1  2.7  62.9  115.1  3.9  2.4  3.3  79.1  763  14.6192  806  14.4507 
 3  133.5  3.4  -1.8  3.1  72.3  130.8  1.7  -4.3  1.5  17.2  4545  15.134  4569  14.5383 
 4  127.1  3.0  -1.3  3.2  82.6  121.4  1.3  0.8  1.4  14.9  5937  13.4162  5924  13.1556 
 5  119.9  2.0  1.1  1.4  16.0  130.7  2.2  -4.5  1.6  17.6  5912  14.2751  5881  14.2275 
 6  126.2  2.1  -2.3  1.7  22.1  133.3  1.2  -5.6  0.9  6.3  0 0 0 0
 7  129.7  2.0  -3.6  2.5  49.8  125.3  4.4  -1.9  4.5  92.6  391  14.3994  400  14.4356 
 8  129.2  2.8  -1.1  1.9  25.7  131.0  2.7  -4.8  1.9  25.1  0 0 0 0
 9  126.9  1.7  -8.7  1.4  13.6  121.1  1.6  5.0  1.3  12.9  4810  15.5114  4770  15.2542 
 10  120.5  1.4  1.2  1.5  18.5  122.9  1.1  1.6  1.2  10.5  5911  14.7985  5952  15.0386 
 11  118.1  3.6  0.9  2.8  63.0  128.6  2.8  -2.4  2.1  32.4  0 0 0 0
 12  126.7  5.3  1.9  3.5  87.4  124.1  2.3  -0.1  1.5  16.5  0 0 0 0
 13  124.5  2.1  -1.5  1.3  13.1  129.4  1.7  -1.5  1.1  8.2  5896  14.991  5898  15.9384 
 14  117.6  1.8  -3.0  1.5  15.5  121.2  3.7  5.5  2.9  60.0  0 0 0 0
 15  133.4  1.2  -7.9  1.1  9.6  123.8  1.5  2.0  1.4  14.9  1372  14.6172  1420  15.7236 
 16  119.7  7.1  8.9  8.6  622.2  120.8  3.2  0.8  4.1  130.6  4744  15.0517  4780  14.6473 
 17  129.2  3.9  -5.3  4.9  179.4  130.1  5.1  -2.2  6.1  289.5  1180  14.7126  1229  14.5937 
 18  124.9  2.9  -0.2  3.1  73.6  125.3  2.2  0.2  2.3  40.5  556  13.4733  515  14.2274 
 19  123.5  1.4  -1.3  1.3  12.6  124.1  1.1  2.9  1.0  8.0  0 0 0 0
 20  118.5  5.5  4.2  4.4  153.6  126.3  7.5  -3.6  6.2  273.3  737  13.9768  670  14.0735 
 21  116.9  1.3  4.4  1.4  16.5  124.9  1.5  9.8  1.4  18.6  4380  14.6897  4371  14.3893 
 22  118.3  2.8  5.7  2.5  54.0  130.0  2.2  -2.4  1.9  28.4  287  13.3442  280  14.9963 
 23  127.1  3.5  1.5  2.5  48.1  123.7  3.8  1.2  2.7  52.0  0 0 0 0
 24  132.3  3.9  -4.7  5.0  190.2  130.9  3.5  -2.4  4.4  142.1  5922  15.3122  5939  15.1665 
 25  125.5  1.5  4.0  2.0  33.0  120.3  1.2  3.5  1.7  22.3  5742  15.2808  5761  15.2935 
 26  127.6  2.3  -2.9  2.3  39.0  123.7  2.5  0.8  2.4  43.8  264  13.3472  240  14.2682 
 27  126.9  2.8  -0.1  2.4  42.0  129.2  3.5  -3.6  3.0  65.2  5899  15.2917  5905  15.5081 
 28  130.9  4.7  -2.7  5.6  246.3  124.5  1.1  1.5  1.3  14.3  1469  13.9579  1486  14.7092 
 29  124.4  3.1  -1.8  2.1  34.2  125.4  5.2  3.3  3.5  90.1  0 0 0 0
 30  127.0  4.5  -0.5  3.2  75.0  132.2  4.2  -6.3  3.0  55.5  0 0 0 0
 31  125.3  2.1  3.7  2.0  31.0  122.0  3.9  -3.2  3.9  110.4  5109  14.9882  5089  14.6839 
 32  123.3  1.4  -3.5  1.2  11.5  120.3  2.2  -4.0  2.0  27.6  0 0 0 0
 33  117.2  2.0  4.5  2.6  57.1  122.4  1.9  5.1  2.5  52.3  0 0 0 0
 34  138.4  14.3  -12.2  21.9  4034.3  129.6  5.2  0.9  7.9  131.2  536  14.6636  504  12.1816 
 35  124.6  3.6  -2.6  3.3  85.3  121.9  2.8  0.3  2.7  41.6  0 0 0 0
