Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  120.0  1.7  -4.2  1.6  17.9  120.4  2.3  2.0  2.0  30.3  6094  13.5314  6102  12.6305 
 1  129.1  3.7  -10.7  3.1  70.7  126.4  1.9  -2.4  1.2  4.5  2938  14.0727  2989  13.6013 
 2  113.1  2.9  1.3  2.4  47.6  113.7  3.7  -4.1  3.2  74.1  450  13.6527  432  14.2981 
 3  127.0  3.0  -1.3  2.7  57.1  122.3  1.4  -5.9  1.3  12.2  3958  13.7381  3943  12.7932 
 4  117.6  2.1  1.4  2.2  39.1  115.0  1.5  -0.7  1.6  20.3  5911  12.7636  5922  12.5966 
 5  119.3  3.0  2.4  2.1  34.4  115.7  2.7  0.3  2.0  26.4  6111  12.6383  6139  12.5416 
 6  116.8  1.5  -1.1  1.2  11.0  119.8  1.4  -2.4  1.1  9.1  0 0 0 0
 7  117.7  2.2  1.7  2.7  58.3  117.3  2.7  0.6  2.7  33.8  221  13.5469  250  14.0283 
 8  118.1  1.8  2.7  1.2  11.0  124.5  1.0  -3.2  0.7  3.7  0 0 0 0
 9  119.7  1.8  -3.1  1.5  15.3  116.6  3.2  1.6  2.6  51.1  4358  13.5525  4416  13.6996 
 10  120.5  2.6  -1.9  2.8  62.0  124.0  1.6  -2.9  1.7  21.1  6186  13.1969  6197  13.2158 
 11  121.8  2.2  -0.3  1.8  24.1  118.7  1.7  0.3  1.2  11.7  0 0 0 0
 12  123.5  4.5  -3.1  2.9  61.1  120.6  2.6  -0.6  1.7  21.4  0 0 0 0
 13  117.4  2.4  0.8  1.5  16.9  120.3  2.4  -2.1  1.6  16.3  6116  13.6542  6088  13.199 
 14  115.6  1.2  -3.6  1.0  7.1  120.8  3.4  -2.4  2.7  51.7  0 0 0 0
 15  119.7  4.8  -1.5  4.4  148.8  117.5  1.3  -1.8  1.3  12.2  931  13.8566  1000  13.9051 
 16  119.8  3.3  7.4  3.7  93.9  116.3  2.6  0.6  3.4  91.7  4499  13.523  4461  14.2943 
 17  129.1  2.3  -8.6  2.8  59.2  123.3  2.2  5.6  2.6  51.7  1053  13.8205  1051  14.2786 
 18  121.8  1.9  1.2  2.0  30.8  122.2  2.4  3.7  2.5  47.9  381  13.141  403  13.6898 
 19  123.7  2.6  2.5  2.5  46.7  124.5  0.7  2.2  0.6  2.9  0 0 0 0
 20  126.9  1.1  0.9  0.9  6.1  132.6  4.6  -7.4  3.8  104.2  613  13.1924  637  13.5475 
 21  114.3  2.6  2.4  2.8  64.9  125.7  1.8  6.9  1.7  26.0  4135  14.3794  4244  13.5252 
