Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 52 993
1 44 942
2 34 941
3 46 940
4 40 937
5 37 953
6 42 938
7 36 946
8 46 933
9 39 941
10 41 925
11 45 936
12 33 943
13 43 953
14 46 944
15 48 938
16 9 900
17 15 917
18 8 919
19 9 902
20 9 902
21 12 898
22 10 904
23 19 921
24 14 904
25 16 903
26 8 900
27 8 909
28 15 915
29 17 913
30 9 920
31 10 900
32 16 927
33 34 958
34 37 949
35 43 948
36 27 953
37 29 944
38 38 939
39 28 951
40 28 935
41 35 940
42 33 930
43 27 958
44 34 943
45 38 953
46 40 953
47 36 988
48 26 926
49 25 919
50 23 921
51 18 921
52 26 921
53 21 911
54 14 932
55 29 928
56 26 920
57 13 927
58 22 931
59 26 920
60 24 931
61 20 911
62 30 934
63 21 944
64 40 949
65 37 940
66 31 931
67 26 955
68 28 931
69 24 943
70 25 945
71 29 938
72 30 935
73 38 940
74 37 937
75 43 947
76 37 936
77 27 932
78 37 928
79 42 940
80 31 919
81 36 927
82 35 938
83 38 937
84 36 937
85 40 935
86 36 918
87 22 939
88 31 912
89 32 920
90 34 946
91 40 952
92 41 938
93 28 936
94 43 931
95 38 922
96 29 927
97 38 935
98 36 933
99 38 926
100 31 919
101 32 915
102 40 923
103 27 918
104 25 917
105 25 925
106 29 922
107 19 917
108 31 926
109 32 925
110 34 927
111 30 931
112 42 941
113 38 933
114 36 935
115 43 943
116 41 942
117 34 934
118 45 944
119 21 941
120 47 931
121 42 933
122 39 939
123 45 952
124 45 937
125 41 933
126 35 933
127 56 950
