Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 770
1 769
2 771
3 767
4 762
5 756
6 758
7 771
8 773
9 774
10 774
11 760
12 769
13 759
14 769
15 773
16 753
17 761
18 748
19 759
20 748
21 756
22 760
23 758
24 757
25 764
26 757
27 761
28 761
29 757
30 739
31 757
32 801
33 793
34 807
35 815
36 798
37 803
38 803
39 809
40 816
41 795
42 798
43 806
44 788
45 817
46 805
47 808
48 779
49 781
50 790
51 779
52 785
53 776
54 779
55 792
56 792
57 789
58 784
59 785
60 787
61 975
62 780
63 785
64 784
65 778
66 776
67 782
68 768
69 775
70 762
71 785
72 777
73 778
74 755
75 773
76 782
77 778
78 773
79 789
80 797
81 799
82 797
83 796
84 800
85 804
86 789
87 796
88 772
89 802
90 804
91 801
92 801
93 758
94 808
95 803
96 793
97 739
98 764
99 773
100 759
101 746
102 760
103 760
104 767
105 756
106 766
107 721
108 763
109 765
110 761
111 770
112 999
113 909
114 854
115 748
116 773
117 763
118 1017
119 769
120 766
121 759
122 763
123 771
124 770
125 779
126 778
127 769
