Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 73.2 2.4 76.4 2.5 85.0 1.2 87.8 1.0 
1 73.3 2.4 71.7 2.3 81.8 1.4 77.3 1.2 
2 78.4 2.2 80.3 2.2 75.2 1.3 81.0 1.2 
3 76.4 2.4 73.6 2.4 84.3 1.2 74.7 1.4 
4 69.0 2.4 71.0 2.5 83.1 1.2 81.5 1.1 
5 71.2 2.2 79.5 2.1 76.1 1.2 79.2 1.2 
6 75.2 2.2 77.7 2.5 80.1 1.1 77.1 1.1 
7 74.3 2.4 77.4 2.3 83.8 1.2 80.9 1.1 
8 77.3 2.5 79.4 2.4 82.1 1.2 83.9 1.1 
9 73.8 2.5 77.6 2.3 81.7 1.2 84.3 1.1 
10 75.9 2.4 73.3 2.5 80.1 1.2 82.9 1.1 
11 71.3 2.4 74.9 2.5 77.6 1.3 85.0 1.1 
12 74.8 2.3 73.7 2.6 81.6 1.2 81.5 1.2 
13 71.9 2.2 78.2 2.4 79.0 1.4 85.8 1.2 
14 73.7 2.2 72.0 2.2 84.9 1.2 80.4 1.1 
15 75.6 2.4 69.8 2.6 84.2 1.2 80.8 1.2 
16 73.2 2.3 75.0 2.1 80.2 1.4 83.1 1.1 
17 76.8 2.3 73.5 2.2 86.6 1.2 85.2 1.1 
18 71.9 2.4 75.5 2.2 79.1 1.4 83.5 1.1 
19 66.8 2.4 74.3 2.3 84.2 1.2 87.0 1.1 
20 73.8 2.2 76.7 2.2 80.0 1.2 85.0 1.2 
21 74.3 2.2 77.2 2.6 78.5 1.2 79.2 1.1 
22 73.5 2.4 76.2 2.3 81.9 1.3 80.6 1.1 
23 76.4 2.2 75.6 2.4 84.0 1.2 81.6 1.2 
24 83.1 2.1 77.5 2.2 77.6 1.3 83.1 1.3 
25 74.4 2.3 79.2 2.4 81.3 1.4 78.0 1.1 
26 73.0 2.2 77.7 2.2 83.5 1.2 76.8 1.2 
27 72.9 2.2 74.5 2.3 82.0 1.2 83.5 1.1 
28 72.2 2.3 74.9 2.3 84.3 1.2 83.9 1.1 
29 73.0 2.3 77.5 2.2 78.3 1.3 80.2 1.1 
30 76.3 2.1 78.8 2.2 83.2 1.4 84.2 1.4 
31 75.7 2.1 76.2 2.2 79.5 1.3 83.2 1.1 
32 63.8 2.8 59.2 2.9 68.6 1.2 63.0 1.3 
33 64.8 2.7 61.8 2.6 68.0 1.1 66.1 1.0 
34 60.3 2.8 61.9 2.7 65.1 1.2 67.7 1.1 
35 55.6 2.3 61.0 2.3 62.5 1.2 62.6 1.1 
36 62.7 2.9 69.2 2.8 64.3 1.2 66.7 1.2 
37 58.5 2.5 55.6 2.5 63.0 1.2 60.9 1.1 
38 61.7 2.4 58.6 2.5 64.5 1.2 71.0 1.4 
39 59.1 2.2 62.7 2.3 61.9 1.3 64.0 1.1 
40 62.7 2.3 60.5 2.4 66.8 1.2 65.4 1.2 
41 63.6 2.4 64.1 2.6 68.3 1.2 68.2 1.6 
42 55.6 2.7 68.5 2.7 63.7 1.2 69.3 1.3 
43 61.7 2.6 58.8 2.3 69.7 1.4 66.0 1.1 
44 57.3 2.8 66.7 2.8 68.1 1.1 71.0 1.0 
45 62.7 2.4 59.4 2.5 65.1 1.2 64.3 1.1 
46 58.2 2.4 53.1 2.4 63.0 1.4 68.0 1.0 
47 65.7 2.2 60.4 2.4 66.4 1.4 69.6 1.4 
48 89.1 2.1 92.4 2.2 102.1 1.3 96.8 1.2 
49 98.3 2.3 101.7 2.3 98.7 1.3 104.4 1.2 
50 102.1 2.2 97.1 2.3 101.8 1.2 101.3 1.1 
51 98.7 2.3 95.0 2.3 103.2 1.4 97.2 1.3 
52 98.2 2.3 100.3 2.3 103.0 1.2 98.9 1.3 
53 92.7 2.2 88.6 2.3 98.0 1.2 99.4 1.1 
54 98.2 2.3 96.3 2.2 102.4 1.2 100.5 1.0 
55 94.3 2.3 96.5 2.4 94.7 1.2 92.4 1.1 
56 96.2 2.4 97.8 2.4 100.4 1.1 97.7 1.1 
57 94.0 2.4 97.5 2.3 102.3 1.2 104.3 1.0 
58 96.3 2.3 100.4 2.3 105.3 1.4 104.3 1.3 
59 93.9 2.5 96.9 2.4 97.1 1.2 101.4 1.4 
60 94.1 2.4 88.7 2.2 96.0 1.2 104.9 1.2 
61 94.4 2.4 93.8 2.5 95.7 1.2 99.7 1.1 
62 98.7 2.5 94.9 2.4 103.7 1.4 106.8 1.1 
63 88.6 2.4 92.1 2.5 97.8 1.2 100.3 1.3 
64 69.1 2.0 66.8 2.0 70.0 1.2 71.3 1.1 
65 62.2 2.1 67.2 2.1 68.0 1.1 60.8 1.2 
66 70.2 2.2 68.2 2.1 68.8 1.1 70.6 1.1 
67 68.2 2.0 68.2 2.0 77.8 1.3 72.9 1.2 
68 70.3 2.0 68.6 2.1 72.7 1.1 74.9 1.1 
69 69.7 2.1 72.8 2.3 73.5 1.4 68.4 1.3 
70 70.3 2.0 72.4 2.1 78.8 1.2 72.0 1.0 
71 67.7 2.0 70.0 2.1 70.0 1.2 71.6 1.1 
72 61.3 2.1 66.7 2.1 77.6 1.2 71.2 1.2 
73 69.9 1.9 71.1 2.0 67.4 1.2 71.5 1.2 
74 70.2 2.0 65.6 2.1 70.8 1.2 69.3 1.1 
75 67.3 2.2 68.2 1.9 76.5 1.1 73.6 1.1 
76 67.7 2.1 64.7 2.0 74.6 1.3 76.5 1.4 
77 71.8 2.0 74.0 2.0 73.5 1.3 68.3 1.2 
78 70.8 2.0 68.8 2.2 73.0 1.2 61.9 1.2 
79 64.5 2.0 67.4 2.0 70.6 1.2 76.6 1.2 
80 64.9 4.3 64.9 4.3 70.5 1.3 72.2 1.1 
81 64.1 2.5 66.9 2.5 68.7 1.3 65.6 1.1 
82 66.1 3.0 60.8 3.1 67.9 1.2 63.3 1.6 
83 70.6 2.5 65.9 2.2 70.1 1.2 71.8 1.1 
84 65.4 2.5 66.3 2.9 71.1 1.3 68.2 1.1 
85 66.1 2.1 65.3 2.3 69.3 1.4 67.4 1.5 
86 58.5 2.6 64.5 2.6 66.8 1.3 64.8 1.1 
87 60.8 2.1 60.0 2.1 70.6 1.3 65.0 1.2 
88 64.5 2.2 64.6 2.5 68.2 1.1 70.9 1.1 
89 62.8 2.3 64.5 2.2 69.4 1.3 71.9 1.0 
90 58.9 2.2 62.0 2.4 70.1 1.2 66.7 1.4 
91 66.0 2.1 65.3 2.3 66.8 1.3 64.2 1.3 
92 58.5 2.1 58.0 2.2 66.6 1.2 67.0 1.2 
93 66.2 2.3 62.3 2.2 70.2 1.3 68.2 1.2 
94 58.4 2.0 58.7 2.1 63.9 1.2 69.7 1.4 
95 67.7 2.3 67.2 2.1 63.3 1.4 64.9 1.4 
96 71.8 2.2 67.7 2.2 76.7 1.4 78.9 1.1 
97 68.6 2.3 66.7 2.4 75.7 1.2 71.4 1.5 
98 71.5 2.3 68.6 2.4 76.4 1.2 73.1 1.2 
99 69.1 2.3 75.6 2.2 68.5 1.1 70.4 1.5 
100 78.5 2.2 72.0 2.2 72.5 1.2 74.9 1.2 
101 72.9 2.2 71.1 2.4 76.7 1.2 78.8 1.1 
102 71.5 2.4 66.3 2.2 74.5 1.3 72.5 1.1 
103 74.6 2.2 71.8 2.4 72.6 1.2 76.5 1.2 
104 75.8 2.5 73.6 2.3 73.8 1.2 76.2 1.1 
105 69.3 2.4 71.2 2.2 78.4 1.4 72.9 1.2 
106 66.1 2.2 70.3 2.3 74.2 1.3 76.0 1.0 
107 66.7 2.3 65.2 2.4 76.0 1.1 72.0 1.3 
108 69.3 2.2 71.7 2.4 69.7 1.3 72.2 1.0 
109 68.2 2.4 60.1 2.3 73.3 1.3 75.7 1.1 
110 63.5 2.2 69.6 2.4 75.1 1.2 72.3 1.4 
111 70.6 2.3 66.8 2.3 70.5 1.2 72.3 1.4 
112 82.7 2.1 78.2 2.1 82.6 1.2 84.6 1.0 
113 82.6 1.9 79.5 2.1 85.7 1.1 87.6 1.0 
114 82.8 1.9 80.7 2.1 89.9 1.1 91.7 1.0 
115 80.7 1.9 78.4 2.1 88.8 1.1 91.2 1.1 
116 81.8 2.1 80.6 1.9 91.5 1.1 87.8 1.4 
117 88.4 2.0 87.2 1.8 88.6 1.2 85.4 1.0 
118 85.6 1.8 81.7 2.0 92.7 1.1 85.3 1.2 
119 82.1 2.0 88.0 2.0 83.8 1.1 87.6 1.0 
120 82.6 1.9 84.8 2.1 90.2 1.4 86.6 1.3 
121 76.7 1.9 80.5 2.0 86.8 1.1 84.5 1.0 
122 80.5 2.1 83.0 2.0 84.1 1.1 81.8 1.1 
123 79.0 1.9 80.9 2.0 92.0 1.1 89.4 1.1 
124 85.8 2.0 83.3 2.2 85.9 1.1 87.6 1.0 
125 80.7 1.9 82.8 1.8 84.7 1.1 81.3 1.1 
126 77.8 1.9 79.7 1.9 86.0 1.3 90.0 1.5 
127 83.5 1.9 80.1 1.9 88.7 1.3 85.0 1.0 
