Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  118.7  3.3  -4.1  3.0  67.2  123.3  1.9  -1.0  1.6  20.4  6158  12.5769  6154  12.3803 
 1  129.2  2.9  -9.9  2.5  44.7  112.5  3.7  3.0  2.4  17.5  3037  12.8083  3024  12.2978 
 2  111.5  2.9  5.0  2.4  46.6  115.7  2.3  1.0  1.9  27.4  471  13.7895  427  14 
 3  115.9  1.6  3.0  1.5  16.6  117.7  1.8  1.2  1.6  19.7  3860  12.8627  3825  12.9008 
 4  114.8  3.0  4.5  3.2  83.8  115.4  1.8  -0.2  1.9  28.2  6222  11.6719  6240  11.4986 
 5  117.3  1.8  3.8  1.3  12.9  123.2  6.4  -5.7  4.7  146.6  6214  11.8864  6207  11.8446 
 6  118.4  2.0  0.3  1.6  20.7  124.2  1.2  0.8  1.0  7.0  0 0 0 0
 7  115.5  1.6  3.6  2.0  32.2  122.0  2.4  -3.5  2.4  27.2  260  14.4492  240  12.4135 
 8  127.8  3.5  -3.0  2.4  42.6  121.8  3.4  -2.8  2.4  39.6  0 0 0 0
 9  120.0  1.4  -2.6  1.2  9.9  115.0  2.3  4.5  1.8  25.7  4394  13.471  4306  13.0485 
 10  116.3  1.2  2.3  1.3  12.9  117.0  3.1  1.9  3.2  81.0  6300  12.3087  6292  12.5713 
 11  104.8  2.8  7.1  2.2  37.6  119.7  2.0  2.2  1.5  17.9  0 0 0 0
 12  122.8  4.6  1.3  3.0  65.6  112.4  1.6  4.1  1.1  8.1  0 0 0 0
 13  111.8  2.9  5.3  1.8  25.1  118.8  1.3  1.5  0.8  4.4  6177  12.9066  6199  13.1469 
 14  122.2  4.7  -4.9  3.9  106.0  118.8  3.9  -0.4  3.1  67.4  0 0 0 0
 15  113.2  2.0  1.7  1.8  25.4  112.2  1.5  3.6  1.4  15.4  817  14.2743  837  14.0401 
 16  116.5  3.9  4.2  4.6  182.1  108.2  3.0  4.0  3.9  119.3  3879  12.7646  3903  12.2656 
 17  115.9  2.9  -4.1  3.6  98.3  117.7  3.6  2.2  4.3  144.9  690  13.4173  693  12.9955 
 18  113.7  3.0  -0.5  3.1  76.4  111.5  1.1  3.5  1.2  10.7  230  11.6131  249  12.8095 
 19  114.4  1.9  1.9  1.7  23.5  113.8  1.9  2.8  1.7  22.6  0 0 0 0
 20  128.1  3.6  -1.9  2.8  64.1  113.1  4.4  -1.0  3.6  92.2  244  12.7161  268  12.9805 
 21  112.1  1.9  -0.3  2.2  37.2  119.0  3.2  8.6  3.1  87.8  3294  13.0169  3357  12.755 
 22  112.9  3.0  3.9  2.7  61.2  116.8  1.1  3.2  1.0  7.4  0 0 0 0
 23  109.1  5.0  4.7  3.5  96.8  117.1  2.6  -0.0  1.9  24.8  0 0 0 0
 24  118.4  1.8  -1.3  2.4  42.3  122.7  2.9  -3.6  3.6  98.3  6229  12.349  6216  12.0773 
 25  117.9  1.9  1.2  2.5  52.8  113.6  0.9  3.4  1.2  11.1  5508  12.5778  5521  11.908 
 26  116.9  2.4  -4.2  2.4  45.4  118.4  4.3  0.0  4.2  135.0  0 0 0 0
 27  122.9  2.8  -5.2  2.4  42.1  120.3  5.9  -1.3  5.1  183.1  6209  12.681  6201  12.566 
 28  119.5  2.5  -0.3  2.9  67.1  116.8  1.2  1.7  1.4  16.1  788  13.0656  800  13.3174 
 29  122.4  2.4  -1.9  1.7  20.9  122.0  4.6  1.2  3.1  68.4  0 0 0 0
 30  116.9  4.1  -4.2  3.0  63.3  111.0  5.0  1.7  3.5  77.1  0 0 0 0
 31  124.8  2.7  -1.9  2.5  48.7  121.0  4.3  -3.5  4.2  130.9  4208  12.8816  4198  12.8388 
 32  122.7  1.5  -0.1  1.3  13.9  118.8  1.7  -0.3  1.5  17.1  0 0 0 0
 33  120.9  2.0  2.1  2.7  58.6  113.7  1.5  4.5  1.9  30.4  0 0 0 0
 34  110.1  3.5  10.4  5.4  243.5  125.3  3.9  -5.0  5.7  257.7  277  13.1943  273  11.8891 
 35  116.2  3.1  1.1  2.9  65.8  121.6  4.5  1.3  4.3  107.3  0 0 0 0
 36  114.2  4.0  9.6  6.1  172.3  119.2  2.6  1.7  4.8  192.5  1019  12.9421  1071  12.5543 
 37  120.7  1.7  3.3  3.0  72.4  126.9  5.4  -8.4  9.6  732.1  5997  13.0964  5999  13.2622 
 38  117.3  2.8  0.6  4.3  144.0  120.1  4.8  -2.6  7.2  401.0  888  12.6462  948  12.6753 
 39  121.1  3.4  -1.4  3.8  118.7  116.9  2.1  -8.0  2.5  44.6  390  12.9286  431  12.1454 
 40  120.7  1.2  2.5  1.6  19.8  117.7  0.6  1.7  0.8  5.1  0 0 0 0
 41  128.4  2.4  -6.9  1.9  26.2  125.8  3.7  0.3  2.8  57.3  0 0 0 0
 42  112.0  2.6  5.5  3.5  102.5  109.4  5.1  8.4  6.7  384.0  0 0 0 0
 43  121.5  3.5  -1.2  4.3  152.1  119.4  1.2  0.6  1.5  18.4  0 0 0 0
 44  117.3  1.4  -0.2  1.5  17.1  113.5  3.5  0.8  3.7  111.2  0 0 0 0
 45  125.7  4.8  -4.9  6.4  319.3  120.8  3.1  -3.6  4.3  149.6  5951  13.6612  5975  12.6996 
 46  116.6  2.4  -0.1  3.0  71.0  115.5  0.9  1.0  1.1  10.4  4387  13.2888  4465  12.4355 
 47  113.6  2.1  6.4  2.8  61.9  124.9  3.6  -6.0  4.9  171.9  347  13.1496  314  14.582 
