Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 751
1 746
2 765
3 741
4 743
5 741
6 762
7 754
8 753
9 754
10 754
11 749
12 740
13 750
14 750
15 757
16 787
17 791
18 798
19 812
20 806
21 793
22 795
23 769
24 786
25 801
26 797
27 787
28 791
29 790
30 790
31 791
32 704
33 738
34 732
35 740
36 725
37 733
38 738
39 730
40 731
41 725
42 712
43 729
44 739
45 738
46 728
47 732
48 883
49 771
50 775
51 756
52 758
53 768
54 764
55 756
56 767
57 767
58 767
59 757
60 756
61 757
62 768
63 761
64 783
65 788
66 788
67 777
68 777
69 762
70 777
71 781
72 785
73 778
74 768
75 783
76 783
77 776
78 772
79 779
80 789
81 788
82 800
83 805
84 807
85 780
86 778
87 793
88 779
89 797
90 793
91 791
92 797
93 758
94 791
95 796
96 775
97 757
98 777
99 773
100 768
101 742
102 762
103 768
104 773
105 767
106 765
107 749
108 762
109 776
110 775
111 766
112 747
113 731
114 750
115 751
116 745
117 753
118 1021
119 728
120 752
121 720
122 751
123 749
124 763
125 750
126 742
127 755
