Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 78.2 2.4 74.2 2.6 84.3 1.2 81.4 1.2 
1 74.4 2.3 74.7 2.2 82.5 1.4 84.6 1.1 
2 74.0 2.1 70.3 2.1 80.9 1.2 81.4 1.2 
3 73.6 2.4 75.9 2.3 80.4 1.2 83.6 1.2 
4 74.6 2.3 83.8 2.2 77.7 1.4 83.5 1.2 
5 77.5 2.0 77.4 2.0 88.4 1.2 81.0 1.3 
6 79.0 2.2 77.4 2.4 79.9 1.2 77.9 1.1 
7 77.0 2.2 73.2 2.4 88.2 1.2 82.3 1.4 
8 73.2 2.4 75.7 2.3 87.4 1.2 83.7 1.6 
9 76.4 2.2 76.9 2.2 82.2 1.4 85.3 1.3 
10 76.0 2.3 80.3 2.4 80.2 1.2 77.7 1.1 
11 76.3 2.4 75.0 2.3 83.3 1.3 78.6 1.4 
12 79.3 2.2 75.8 2.2 86.9 1.2 84.7 1.1 
13 75.8 2.5 76.9 2.4 79.8 1.2 77.5 1.2 
14 79.5 2.2 81.8 2.2 81.9 1.3 83.8 1.1 
15 75.8 2.2 73.5 2.1 84.5 1.2 85.5 1.3 
16 78.5 2.0 79.0 2.1 84.2 1.3 88.0 1.0 
17 80.0 2.4 81.2 2.4 81.5 1.2 83.4 1.1 
18 86.0 2.1 80.2 2.2 83.9 1.1 81.6 1.2 
19 79.9 2.3 81.3 2.1 88.8 1.1 91.2 1.1 
20 76.8 2.1 76.7 2.1 83.6 1.4 86.9 1.0 
21 74.6 2.1 79.0 2.2 84.8 1.2 85.0 1.1 
22 83.8 2.1 77.9 2.2 84.8 1.1 86.9 1.1 
23 76.1 2.1 75.5 2.3 82.8 1.2 81.0 1.1 
24 77.4 2.1 77.0 2.2 84.3 1.2 87.3 1.1 
25 85.8 2.1 80.0 2.2 79.0 1.4 80.9 1.5 
26 72.8 2.3 72.5 2.2 86.6 1.3 82.7 1.4 
27 77.9 2.1 75.1 2.2 80.3 1.1 84.4 1.2 
28 73.3 2.4 70.9 2.3 81.1 1.2 83.1 1.2 
29 68.0 2.3 72.1 2.2 83.4 1.2 83.9 1.2 
30 75.5 2.0 72.1 2.1 83.7 1.4 84.6 1.4 
31 72.5 2.1 75.9 2.3 81.4 1.4 80.0 1.1 
32 72.1 3.1 67.5 3.2 71.1 1.3 68.4 1.3 
33 71.8 2.8 73.8 2.9 73.9 1.3 76.7 1.3 
34 70.7 2.8 73.9 2.8 75.3 1.3 73.0 1.2 
35 75.5 2.6 72.6 2.6 72.2 1.4 74.8 1.2 
36 71.3 2.9 67.7 3.2 72.4 1.3 78.6 1.4 
37 65.3 2.7 66.8 2.5 73.8 1.3 75.6 1.2 
