Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 64.8 2.2 64.9 2.5 68.7 1.2 76.4 1.1 
1 68.7 2.3 66.0 2.4 74.9 1.2 72.7 1.1 
2 65.3 2.2 70.5 2.1 71.5 1.1 69.6 1.1 
3 61.7 2.1 65.7 2.3 72.0 1.1 75.9 1.0 
4 68.9 2.4 65.2 2.1 66.8 1.4 68.9 1.5 
5 63.0 2.1 63.5 2.1 73.8 1.2 75.8 1.0 
6 68.7 2.1 67.0 2.4 76.0 1.1 72.5 1.0 
7 60.1 2.5 59.2 2.2 71.1 1.2 67.8 1.2 
8 71.6 2.2 70.7 2.4 72.2 1.1 75.7 1.1 
9 66.6 2.2 62.6 2.3 74.9 1.2 72.9 1.1 
10 62.8 2.3 58.1 2.4 75.5 1.2 68.4 1.1 
11 59.8 2.2 63.4 2.4 70.4 1.3 72.5 1.4 
12 68.6 2.1 68.3 2.4 74.2 1.4 69.9 1.1 
13 64.0 2.4 67.9 2.5 71.3 1.1 69.6 1.1 
14 65.1 2.4 68.6 2.2 75.2 1.2 73.5 1.1 
15 64.4 2.4 66.3 2.3 67.2 1.4 71.3 1.1 
16 67.5 2.3 66.1 2.1 71.0 1.2 66.2 1.5 
17 62.4 2.3 65.0 2.3 72.4 1.1 71.9 1.5 
18 64.5 2.3 66.7 2.3 66.1 1.2 67.5 1.1 
19 68.8 2.3 66.9 2.1 70.8 1.2 67.8 1.3 
20 67.6 2.0 64.0 2.2 74.7 1.3 70.6 1.5 
21 65.7 2.4 69.4 2.2 68.5 1.1 68.4 1.0 
22 68.1 2.2 64.3 2.1 72.6 1.2 64.8 1.2 
23 61.4 2.4 64.1 2.3 70.9 1.2 67.8 1.3 
24 71.8 2.2 69.6 2.0 72.1 1.1 74.6 1.1 
25 66.1 2.3 63.1 2.1 75.0 1.2 71.9 1.4 
26 62.7 2.1 62.0 2.1 66.9 1.4 70.8 1.2 
27 58.5 2.3 63.6 2.1 69.9 1.3 75.8 1.1 
28 66.3 2.3 64.2 2.3 75.1 1.2 71.6 1.4 
29 64.7 2.4 65.8 2.2 72.0 1.2 75.1 1.1 
30 62.6 2.3 63.4 2.3 76.8 1.2 70.9 1.3 
31 57.3 2.3 61.1 2.0 71.6 1.1 69.8 1.1 
32 83.6 3.0 77.6 3.0 88.8 1.4 85.4 1.1 
33 74.8 2.6 77.7 2.6 87.1 1.3 88.1 1.0 
34 81.1 3.0 81.5 2.9 85.8 1.2 87.3 1.1 
35 70.3 2.5 80.8 2.6 82.7 1.4 90.9 1.3 
36 86.9 2.8 81.7 2.8 92.1 1.1 84.0 1.4 
37 79.7 2.4 80.3 2.4 86.3 1.4 88.2 1.1 
38 76.2 2.9 80.8 3.0 88.0 1.1 84.6 1.1 
39 79.8 2.4 78.2 2.7 85.1 1.2 87.0 1.1 
40 79.1 2.5 77.8 2.7 81.7 1.3 84.3 1.1 
41 83.2 2.6 76.4 2.7 89.7 1.3 88.2 1.0 
42 80.9 2.8 75.5 2.7 88.3 1.4 84.9 1.1 
43 76.5 2.6 81.1 2.7 85.5 1.2 88.4 1.1 
44 79.0 2.8 81.0 2.9 84.6 1.4 83.8 1.0 
45 77.4 2.5 78.9 2.5 91.3 1.2 86.8 1.4 
46 76.0 2.5 79.5 2.7 87.1 1.2 85.2 1.1 
47 75.8 2.5 79.3 2.7 88.1 1.1 90.7 1.1 
48 70.0 1.9 71.0 1.9 80.4 1.2 77.9 1.0 
49 67.9 2.2 65.1 2.0 69.5 1.3 80.5 1.1 
50 76.2 1.9 72.6 2.2 80.0 1.1 73.4 1.2 
51 69.6 2.1 68.8 2.3 70.9 1.3 77.6 1.3 
52 69.1 2.0 72.8 2.1 74.2 1.2 75.6 1.1 
53 73.8 2.1 76.7 2.2 82.4 1.4 80.8 1.1 
54 76.7 2.0 74.1 2.0 76.4 1.1 83.2 1.3 
55 70.5 2.3 75.1 2.3 73.7 1.2 73.1 1.1 
56 65.7 1.9 68.2 2.1 77.4 1.2 71.0 1.3 
57 69.6 2.0 73.4 1.9 77.7 1.3 69.1 1.2 
58 72.4 1.9 69.8 2.1 71.4 1.2 65.2 1.3 
59 71.6 2.3 70.8 2.0 75.9 1.1 73.4 1.1 
60 71.4 2.2 67.0 2.1 79.3 1.2 75.6 1.1 
61 65.5 2.2 68.4 2.1 73.5 1.2 73.2 1.2 
62 75.6 2.0 75.0 2.2 75.1 1.4 76.8 1.3 
63 69.8 2.4 68.4 2.2 78.0 1.2 79.9 1.0 
64 84.6 1.9 78.8 2.0 78.1 1.2 80.4 1.4 
65 84.5 1.9 81.0 2.1 82.9 1.3 84.4 1.1 
66 81.7 2.1 83.4 1.8 79.3 1.4 82.9 1.1 
67 83.8 1.8 81.2 1.9 81.9 1.3 84.6 1.1 
68 84.8 2.1 86.5 1.8 83.6 1.2 79.5 1.3 
69 84.6 1.9 83.7 2.1 81.8 1.2 83.9 1.1 
70 79.7 1.9 78.7 2.1 85.9 1.4 81.0 1.1 
71 82.5 1.9 84.3 2.0 75.8 1.1 81.3 1.4 
72 81.5 1.9 83.7 1.9 84.8 1.2 80.8 1.1 
73 84.4 1.9 83.8 1.9 82.0 1.3 80.4 1.0 
