Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 71.6 2.3 76.7 2.4 82.0 1.2 84.0 1.0 
1 70.7 2.4 75.8 2.4 83.9 1.1 80.3 1.3 
2 73.1 2.1 73.3 2.2 86.2 1.2 85.2 1.1 
3 74.7 2.5 73.4 2.2 83.6 1.2 86.0 1.2 
4 74.3 2.2 76.3 2.3 86.2 1.2 84.6 1.2 
5 75.3 2.1 73.2 2.1 82.4 1.2 80.2 1.2 
6 76.4 2.3 73.8 2.4 81.9 1.2 83.2 1.1 
7 75.2 2.3 73.6 2.3 80.6 1.1 82.8 1.1 
8 77.1 2.3 78.9 2.5 80.8 1.2 84.3 1.1 
9 71.8 2.2 75.2 2.4 75.4 1.2 80.5 1.2 
10 76.3 2.4 80.2 2.4 88.4 1.2 81.5 1.3 
11 77.7 2.5 71.8 2.2 78.5 1.2 80.2 1.0 
12 78.8 2.4 79.3 2.3 83.5 1.2 80.6 1.0 
13 74.8 2.4 71.0 2.2 82.1 1.4 86.3 1.1 
14 76.3 2.3 73.4 2.3 81.9 1.2 81.3 1.1 
15 71.6 2.4 72.4 2.2 80.9 1.2 82.8 1.1 
16 66.8 1.9 64.8 2.1 74.3 1.2 72.6 1.0 
17 73.3 1.9 66.7 2.0 74.6 1.3 75.8 1.0 
18 71.8 2.1 65.3 2.0 71.5 1.4 75.2 1.1 
19 64.6 1.9 68.9 2.0 74.9 1.2 73.7 1.1 
20 67.9 2.0 69.2 2.1 74.0 1.2 76.1 1.0 
21 68.8 2.2 75.4 2.0 78.5 1.2 76.9 1.0 
22 70.8 2.1 67.3 2.1 77.5 1.2 71.2 1.3 
23 68.0 2.0 66.9 2.3 75.4 1.1 73.6 1.1 
24 65.3 1.9 65.2 2.2 73.1 1.2 74.8 1.1 
25 61.9 2.0 65.0 2.1 76.1 1.2 73.7 1.1 
26 66.3 2.0 67.1 2.1 78.5 1.2 72.3 1.0 
27 70.0 1.9 64.0 2.0 70.8 1.4 72.4 1.2 
28 67.5 2.0 68.3 2.3 74.2 1.2 76.3 0.9 
29 65.4 2.1 59.8 2.0 73.5 1.1 76.5 1.3 
30 64.7 2.2 61.0 2.1 74.6 1.2 72.9 1.1 
