Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 73.3 2.9 68.8 2.9 78.2 1.4 80.6 1.3 
1 75.6 2.9 72.1 3.0 78.2 1.4 71.8 1.3 
2 74.3 2.8 75.1 2.8 75.7 1.2 73.7 1.2 
3 66.9 2.8 67.4 3.0 73.8 1.3 76.6 1.4 
4 77.4 3.0 75.1 2.9 76.2 1.2 73.8 1.2 
5 75.5 2.8 74.0 2.8 76.4 1.2 78.6 1.2 
6 70.6 2.8 78.9 3.0 80.3 1.2 76.4 1.2 
7 67.9 2.9 75.3 2.6 75.8 1.3 83.2 1.3 
8 75.1 3.1 68.0 2.9 79.2 1.3 77.0 1.2 
9 70.2 2.8 63.5 2.9 78.3 1.3 76.3 1.6 
10 71.7 2.9 74.0 2.9 77.4 1.3 78.9 1.2 
11 72.6 3.0 70.7 3.1 76.8 1.3 81.9 1.4 
12 66.6 3.0 66.8 2.8 80.3 1.3 76.1 1.2 
13 68.8 3.0 70.3 2.9 79.9 1.2 77.3 1.2 
14 68.0 3.0 67.0 2.9 79.1 1.3 75.3 1.6 
15 73.2 3.0 75.6 3.0 76.8 1.3 81.9 1.4 
16 86.0 2.5 89.5 2.5 94.7 1.3 92.3 1.5 
17 80.9 2.5 84.4 2.6 96.2 1.3 93.7 1.2 
18 95.5 2.4 85.6 2.4 96.8 1.2 98.4 1.1 
19 87.8 2.6 82.5 2.6 97.4 1.4 95.2 1.4 
20 86.5 2.5 83.4 2.4 92.0 1.3 94.6 1.2 
21 80.4 2.7 80.7 2.6 92.0 1.2 91.8 1.6 
22 86.3 2.5 83.0 2.4 89.9 1.4 88.0 1.3 
23 83.8 2.4 82.3 2.6 92.8 1.4 89.0 1.2 
24 85.7 2.6 88.9 2.4 92.9 1.2 95.4 1.1 
25 87.3 2.4 86.1 2.6 89.6 1.4 91.9 1.2 
26 89.9 2.5 93.8 2.6 91.1 1.3 90.9 1.2 
27 83.8 2.4 81.1 2.5 90.1 1.4 87.6 1.3 
28 83.4 2.5 85.1 2.3 85.6 1.4 94.0 1.3 
29 80.0 2.6 82.3 2.5 88.1 1.2 92.0 1.4 
30 82.7 2.4 81.1 2.6 96.9 1.2 90.3 1.5 
31 87.9 2.3 85.9 2.3 90.7 1.3 88.5 1.1 
32 80.9 3.4 81.9 3.3 87.3 1.4 88.7 1.6 
33 79.2 3.1 81.7 3.0 82.8 1.3 80.8 1.2 
34 83.0 3.2 80.6 3.3 85.2 1.5 84.6 1.6 
35 73.7 3.0 77.0 3.2 89.0 1.5 85.4 1.2 
36 81.4 3.3 81.7 3.4 87.2 1.3 84.5 1.2 
37 78.7 2.9 75.0 3.1 88.1 1.2 88.8 1.6 
38 80.2 3.4 80.5 3.2 86.9 1.4 90.4 1.2 
39 76.6 2.9 78.0 3.1 85.8 1.4 83.0 1.6 
40 83.8 3.1 87.4 3.1 84.5 1.2 88.0 1.2 
41 82.2 3.1 75.9 3.2 86.7 1.4 88.7 1.6 
42 73.3 3.2 74.2 3.2 83.8 1.5 86.8 1.1 
43 75.5 3.0 78.3 3.0 85.9 1.4 80.1 1.2 
44 78.5 3.3 74.2 3.4 85.6 1.5 82.4 1.5 
45 69.7 3.1 77.9 2.9 80.3 1.2 85.9 1.4 
46 82.4 3.1 75.0 3.0 89.6 1.5 86.7 1.5 
47 74.2 3.0 80.5 3.1 89.4 1.5 83.7 1.4 
48 63.7 2.1 68.6 1.9 75.6 1.1 74.3 1.1 
49 68.6 2.0 72.8 2.0 75.0 1.2 68.3 1.0 
50 63.3 1.9 62.1 2.0 79.4 1.1 76.6 1.0 
51 73.1 2.2 70.3 2.2 75.5 1.2 71.5 1.3 
52 69.5 1.9 71.0 1.9 67.6 1.2 71.7 1.1 
53 67.5 2.1 73.4 2.1 76.2 1.1 76.4 1.0 
54 71.8 2.0 67.5 2.0 73.9 1.2 75.7 1.0 
55 68.4 2.3 64.3 2.0 78.2 1.2 77.1 1.1 
56 66.0 2.0 66.2 1.9 73.0 1.1 76.7 1.2 
57 67.5 2.0 68.1 2.2 78.8 1.2 76.9 1.0 
58 62.4 2.2 69.8 2.2 73.9 1.2 75.3 1.1 
59 70.9 2.2 67.0 2.2 76.2 1.3 79.0 1.0 
60 73.0 2.1 71.2 2.1 72.7 1.1 74.7 1.1 
61 71.8 2.2 65.2 2.3 76.7 1.1 78.8 1.1 
62 64.9 2.2 69.3 2.1 78.0 1.2 76.6 1.0 
63 72.1 2.4 74.8 2.2 78.2 1.2 75.4 1.5 
64 82.0 1.9 80.6 1.9 85.0 1.2 81.2 1.1 
65 81.4 1.9 85.1 1.7 89.2 1.3 85.9 1.0 
66 84.8 1.8 82.9 1.9 87.5 1.0 85.7 1.0 
67 88.8 1.8 83.0 1.9 81.7 1.2 85.3 1.3 
68 85.4 1.7 79.9 1.8 83.9 1.0 82.2 1.0 
69 82.9 1.8 83.8 1.8 85.4 1.1 88.8 1.4 
70 85.9 1.8 81.3 1.8 88.0 1.0 82.0 1.2 
71 84.7 1.9 82.0 1.7 86.7 1.0 84.5 1.1 
72 83.2 1.8 78.6 1.9 85.3 1.2 82.3 1.1 
73 81.3 2.1 78.6 1.8 81.2 1.3 77.3 1.0 
74 84.4 1.8 83.7 1.9 84.7 1.3 84.3 0.9 
75 81.2 1.9 75.9 1.8 86.8 1.1 84.7 0.9 
76 79.9 1.7 78.4 1.7 77.7 1.1 80.0 1.0 
77 84.6 1.9 82.0 1.8 82.3 1.1 80.2 1.2 
78 80.4 1.9 84.7 1.7 81.2 1.1 87.1 1.1 
79 81.0 1.8 83.1 1.8 84.8 1.2 92.0 0.9 
80 67.3 4.4 69.2 4.2 72.2 1.3 69.6 1.2 
81 67.8 3.0 64.7 2.9 76.1 1.1 71.0 1.5 
82 68.1 3.3 68.0 3.3 75.1 1.2 73.2 1.2 
83 64.0 2.6 60.4 3.0 66.1 1.4 70.3 1.3 
84 67.5 3.1 70.3 3.1 67.8 1.4 71.4 1.1 
85 67.0 2.6 68.5 2.5 64.4 1.2 64.3 1.1 
86 71.8 2.9 65.9 2.9 72.2 1.4 69.7 1.2 
87 62.7 2.5 64.3 2.5 69.5 1.3 64.7 1.2 
88 63.8 2.6 64.5 2.6 71.0 1.3 68.8 1.1 
89 63.2 2.8 66.6 2.6 70.4 1.3 67.3 1.4 
90 65.3 2.8 62.7 2.6 67.3 1.2 65.6 1.2 
91 65.2 2.6 62.3 2.6 68.0 1.2 65.5 1.2 
92 64.4 2.5 65.6 2.6 69.3 1.4 65.1 1.2 
93 56.3 2.5 57.1 2.5 67.5 1.3 71.6 1.2 
94 59.9 2.5 59.0 2.7 70.5 1.5 63.4 1.3 
95 67.1 2.7 58.9 2.7 73.7 1.4 69.8 1.2 
96 81.9 2.1 77.9 2.0 78.0 1.2 80.3 1.0 
97 76.5 1.9 80.0 1.9 83.5 1.2 80.2 1.1 
98 86.1 1.9 78.1 2.0 82.4 1.2 80.5 1.0 
99 83.4 1.9 81.1 2.1 80.7 1.1 83.0 1.1 
100 80.2 2.1 77.7 1.9 80.9 1.2 80.3 1.1 
101 81.2 1.9 82.7 1.9 81.6 1.2 82.9 1.1 
102 77.2 2.0 84.3 1.9 81.0 1.4 80.4 1.1 
103 74.8 2.0 72.5 2.0 79.1 1.4 82.0 1.3 
104 82.8 1.9 79.9 2.1 85.9 1.2 80.1 1.1 
105 74.7 2.0 78.0 1.9 79.4 1.2 76.1 1.2 
106 74.4 2.1 82.4 2.2 80.2 1.2 77.6 1.1 
107 79.8 2.0 79.1 2.0 85.1 1.2 80.2 1.1 
108 82.0 2.1 81.2 2.0 85.7 1.2 81.0 1.1 
109 82.0 2.1 77.6 2.0 79.3 1.2 75.2 1.5 
110 78.2 2.1 79.0 1.9 76.1 1.1 79.9 1.0 
111 72.8 2.1 74.8 2.0 76.1 1.3 75.9 1.0 
112 72.4 2.1 69.0 2.1 73.7 1.2 73.4 1.1 
113 69.2 2.0 75.6 2.2 79.2 1.2 76.4 1.1 
114 68.5 2.2 66.2 2.3 74.0 1.2 75.7 1.1 
115 80.1 2.2 77.9 2.2 69.1 1.1 71.7 1.1 
116 70.2 2.0 72.5 2.0 75.8 1.2 80.6 1.1 
117 72.0 2.0 72.8 2.2 78.5 1.2 74.8 1.5 
118 71.8 2.1 74.8 2.0 78.1 1.4 75.8 1.4 
119 79.1 2.0 70.6 2.1 74.5 1.3 72.7 1.4 
120 68.1 2.1 69.7 2.1 80.1 1.1 76.7 1.0 
121 70.3 2.2 71.0 2.1 82.0 1.4 77.5 1.2 
122 69.7 2.1 72.8 2.2 74.0 1.2 75.8 1.0 
123 72.9 2.1 69.0 2.0 73.2 1.3 72.2 1.4 
124 70.7 2.0 73.0 2.2 79.3 1.2 76.2 1.2 
125 69.6 2.0 69.5 2.3 79.6 1.1 77.5 1.0 
126 71.0 2.2 75.2 2.0 72.2 1.2 75.0 1.1 
127 71.5 2.1 71.0 2.0 78.7 1.2 74.9 1.5 
