Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 728
1 732
2 745
3 740
4 742
5 736
6 746
7 743
8 743
9 728
10 738
11 653
12 752
13 749
14 745
15 744
16 742
17 743
18 748
19 744
20 744
21 737
22 755
23 703
24 722
25 748
26 756
27 748
28 751
29 731
30 733
31 743
32 728
33 744
34 746
35 746
36 748
37 740
38 737
39 753
40 748
41 751
42 740
43 749
44 743
45 743
46 741
47 747
48 782
49 789
50 789
51 781
52 789
53 791
54 799
55 795
56 787
57 793
58 796
59 790
60 776
61 877
62 780
63 793
64 743
65 743
66 732
67 747
68 743
69 708
70 742
71 736
72 734
73 736
74 734
75 746
76 748
77 883
78 724
79 744
80 754
81 762
82 768
83 769
84 773
85 766
86 762
87 768
88 731
89 776
90 762
91 771
92 779
93 671
94 766
95 772
96 812
97 840
98 731
99 735
100 735
101 600
102 614
103 732
104 735
105 717
106 736
107 703
108 723
109 678
110 729
111 735
112 973
113 821
114 942
115 995
116 761
117 756
118 996
119 746
120 725
121 744
122 732
123 747
124 742
125 749
126 742
127 746
