Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 22 968
1 27 942
2 31 922
3 22 940
4 28 936
5 27 936
6 14 913
7 31 930
8 29 932
9 24 933
10 24 922
11 26 927
12 28 934
13 25 915
14 24 933
15 35 997
16 7 968
17 6 908
18 6 953
19 10 921
20 6 908
21 10 909
22 6 899
23 6 895
24 7 940
25 7 913
26 6 888
27 6 953
28 6 894
29 6 891
30 8 890
31 6 892
32 11 931
33 20 993
34 8 950
35 29 931
36 15 921
37 14 966
38 22 930
39 19 931
40 13 950
41 14 911
42 25 969
43 10 930
44 8 924
45 20 989
46 21 929
47 24 994
48 17 915
49 11 912
50 10 902
51 17 918
52 28 921
53 17 925
54 13 923
55 7 911
56 19 896
57 23 918
58 13 914
59 9 905
60 21 913
61 8 906
62 10 904
63 18 912
64 25 940
65 20 925
66 25 925
67 25 924
68 16 927
69 16 911
70 16 932
71 17 914
72 8 922
73 29 920
74 22 917
75 25 923
76 31 926
77 30 936
78 29 919
79 23 926
80 11 915
81 7 931
82 8 917
83 10 914
84 6 922
85 15 921
86 12 925
87 10 917
88 12 920
89 12 910
90 8 911
91 6 909
92 8 907
93 11 919
94 9 910
95 12 906
96 25 945
97 32 939
98 27 940
99 30 941
100 22 940
101 21 951
102 30 930
103 36 942
104 27 936
105 40 949
106 35 937
107 27 946
108 41 950
109 36 943
110 40 945
111 32 932
112 24 981
113 14 935
114 16 932
115 24 941
116 10 934
117 21 945
118 19 951
119 23 936
120 10 919
121 25 941
122 17 931
123 27 950
124 20 930
125 20 938
126 16 935
127 26 926
