Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  134.5  4.0  -11.2  3.7  98.9  124.0  3.0  1.4  2.6  53.3  6019  14.6142  6021  13.7064 
 1  124.3  2.1  -4.6  1.8  23.7  129.3  1.9  -3.0  1.3  4.8  3174  14.1432  3249  14.1637 
 2  120.4  2.8  3.3  2.3  44.1  121.0  2.9  -2.7  2.4  43.4  627  13.5163  667  14.397 
 3  131.5  5.3  -5.9  4.7  173.6  126.9  2.2  -1.3  2.0  29.8  4082  14.5716  4050  13.5957 
 4  119.2  1.5  0.5  1.6  21.8  123.4  1.5  -3.7  1.6  20.7  6017  13.0859  5979  12.876 
 5  124.8  2.9  1.5  2.0  32.3  125.5  1.6  -4.3  1.2  9.5  6052  13.4901  6045  13.4171 
 6  120.1  1.5  2.5  1.2  12.2  129.5  1.1  -2.9  0.9  5.7  0 0 0 0
 7  123.3  2.3  -1.9  2.9  64.5  121.5  2.1  -1.7  2.2  22.1  261  13.9252  288  14.4882 
 8  133.5  1.7  -5.3  1.2  10.1  131.5  2.2  -4.8  1.5  15.7  0 0 0 0
 9  134.7  1.2  -8.6  1.0  7.4  126.4  1.5  -1.2  1.2  11.4  4697  14.2803  4674  14.0198 
 10  122.5  2.3  -0.5  2.5  49.1  123.6  0.8  -0.1  0.8  5.2  6125  13.8981  6130  13.8874 
 11  112.3  4.8  2.9  3.8  111.1  120.5  2.4  5.5  1.8  24.5  0 0 0 0
 12  127.1  4.0  -3.1  2.6  50.5  126.0  2.4  -2.3  1.6  17.3  0 0 0 0
 13  123.9  1.8  1.2  1.1  9.6  126.9  2.1  -4.0  1.3  11.7  6028  14.2297  6030  14.5223 
 14  126.5  1.1  -7.0  0.9  5.4  121.3  3.4  0.0  2.6  50.0  0 0 0 0
 15  124.9  4.3  -5.9  4.0  119.9  117.0  2.1  1.6  2.0  31.1  943  14.1208  944  14.4195 
