Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 728
1 722
2 716
3 718
4 723
5 710
6 723
7 717
8 726
9 715
10 717
11 679
12 713
13 707
14 729
15 711
16 733
17 744
18 734
19 743
20 737
21 737
22 745
23 747
24 726
25 739
26 739
27 735
28 741
29 739
30 720
31 736
32 749
33 767
34 755
35 757
36 759
37 747
38 759
39 748
40 758
41 760
42 749
43 750
44 756
45 745
46 761
47 748
48 971
49 765
50 760
51 753
52 760
53 768
54 749
55 770
56 762
57 762
58 761
59 759
60 747
61 772
62 768
63 760
64 739
65 738
66 762
67 741
68 735
69 710
70 747
71 745
72 745
73 747
74 725
75 741
76 754
77 739
78 741
79 747
80 763
81 763
82 768
83 757
84 769
85 768
86 755
87 756
88 745
89 779
90 745
91 759
92 767
93 707
94 740
95 768
96 769
97 752
98 764
99 768
100 771
101 714
102 740
103 764
104 768
105 763
106 752
107 766
108 759
109 750
110 756
111 762
112 915
113 761
114 767
115 757
116 759
117 966
118 858
119 752
120 760
121 755
122 762
123 761
124 750
125 762
126 758
127 753
