Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 52  126.2  1.3  -3.2  1.7  22.6  124.8  1.6  1.9  2.2  40.0  4845  13.5083  4784  13.6718 
 53  123.8  0.8  4.9  1.1  10.8  122.7  2.6  2.8  3.6  104.7  290  13.7883  350  14.7484 
 54  125.9  1.1  1.2  1.3  13.5  127.9  0.6  -0.2  0.7  3.8  6179  13.3027  6169  13.7969 
 55  131.6  2.8  0.2  3.7  111.7  126.1  2.9  2.3  3.8  118.9  201  13.9523  209  14.3099 
 56  127.5  4.1  2.2  6.7  390.1  134.6  2.5  -5.9  3.9  125.1  772  13.2745  793  14.4673 
 57  121.8  1.5  3.0  1.8  26.0  121.3  2.2  3.5  1.7  6.4  6139  14.1043  6135  13.0543 
 58  130.1  4.3  -3.3  7.4  461.4  126.0  5.7  5.1  9.4  732.2  5111  13.4045  5144  13.2752 
 59  127.3  1.2  0.3  1.7  24.6  126.8  2.9  -5.1  4.2  137.5  5337  14.0981  5318  13.4394 
 60  126.2  5.7  2.8  9.5  756.7  121.8  4.5  2.6  7.9  531.3  6181  13.6766  6173  13.8217 
 61  126.7  1.9  -1.6  2.6  56.1  127.0  1.1  -0.9  1.5  18.5  0 0 0 0
 62  128.1  2.4  -3.6  3.1  77.4  128.0  3.4  -2.4  4.4  159.6  441  13.032  454  14.1505 
 63  126.4  1.4  -0.1  1.5  18.2  123.5  1.6  1.2  1.8  25.3  385  14.1483  379  14.4358 
 64  120.6  2.0  3.0  1.4  16.9  132.5  2.0  -3.4  1.1  5.7  0 0 0 0
 65  116.8  3.6  4.2  2.7  60.7  115.7  5.3  4.9  4.1  137.6  1901  13.1857  1847  13.1051 
 66  125.3  1.5  -0.7  1.0  7.5  127.6  1.5  1.8  0.9  7.6  0 0 0 0
 67  117.5  1.3  2.0  1.0  7.4  129.3  3.3  -2.0  2.4  44.1  0 0 0 0
 68  126.6  2.4  -1.0  1.7  24.2  127.4  2.7  -1.2  2.0  31.1  5601  13.608  5559  13.5727 
 69  114.0  6.6  3.5  3.9  119.3  123.3  2.4  0.8  1.5  16.8  0 0 0 0
 70  126.6  1.9  -2.7  1.2  9.4  132.5  1.7  -0.3  1.0  7.1  6196  13.3372  6185  13.0993 
 71  130.3  1.9  -2.7  1.4  15.7  123.2  1.1  -0.9  0.8  5.3  6272  13.2683  6301  13.573 
 72  118.9  2.0  1.0  1.4  17.6  130.0  2.3  -0.8  1.6  19.5  935  13.9974  919  12.9446 
 73  127.4  1.7  -3.2  1.2  9.9  129.4  6.6  -0.7  4.3  143.8  6222  13.3803  6207  13.41 
 74  127.9  1.7  1.1  1.1  10.2  124.6  4.7  1.8  3.0  74.1  0 0 0 0
 75  124.0  1.8  2.7  1.3  13.3  126.6  3.6  0.2  2.6  55.3  4637  14.9522  4672  14.7086 
 76  122.6  2.6  2.6  1.8  26.1  128.0  2.1  -2.0  1.4  15.8  2197  13.6705  2158  13.47 
 77  126.3  2.0  5.4  1.4  18.1  129.3  3.6  -3.8  2.5  50.1  6216  13.3556  6242  13.6276 
 78  128.9  2.2  1.4  1.0  7.9  115.3  5.6  3.4  2.8  54.8  6167  14.0153  6166  13.2514 
 79  126.0  1.6  3.1  1.0  8.6  125.3  4.6  -9.2  3.1  68.4  956  12.9859  952  13.5208 
 80  118.2  1.8  5.6  1.5  18.9  124.8  0.9  1.7  0.7  3.9  0 0 0 0
 81  113.9  2.7  2.7  1.9  29.3  120.8  3.7  0.8  2.6  48.4  2760  13.6288  2835  12.9095 
 82  126.7  2.9  1.8  2.2  41.1  120.8  6.2  4.4  4.8  186.2  0 0 0 0
 83  122.3  3.5  3.1  3.2  89.2  119.3  1.3  0.2  1.3  12.8  0 0 0 0
 84  123.3  2.5  1.3  2.5  50.4  120.0  2.4  6.5  1.9  18.1  558  13.4178  539  13.5079 
 85  125.0  1.6  1.5  1.5  19.3  123.1  2.6  2.9  2.0  19.3  0 0 0 0
 86  120.0  2.0  3.5  1.5  18.6  123.0  3.0  -2.8  2.4  41.6  6190  13.5409  6188  13.5018 
 87  124.7  1.0  1.6  1.0  9.0  118.4  2.6  2.7  2.9  71.8  0 0 0 0
 88  119.0  2.8  2.1  2.0  32.6  120.4  0.9  2.9  0.6  3.0  0 0 0 0
 89  120.2  1.7  4.0  1.6  22.3  121.1  0.6  2.6  0.6  3.1  3815  14.6521  3844  13.425 
 90  119.8  2.7  4.4  2.5  52.3  123.8  1.9  -2.2  1.5  9.9  0 0 0 0
 91  121.8  1.9  2.0  1.6  21.2  120.9  1.5  1.4  1.3  14.2  0 0 0 0
 92  113.9  3.9  8.5  4.2  144.1  120.0  2.9  3.1  2.4  28.6  2748  14.1992  2835  12.5864 
 93  124.2  4.6  -0.1  3.2  81.4  120.8  1.6  1.5  0.9  3.3  0 0 0 0
 94  132.2  3.9  -2.1  3.3  80.3  123.6  3.6  -1.1  3.2  78.6  0 0 0 0
 95  120.9  2.2  1.7  2.1  36.1  127.3  1.7  2.8  1.6  19.6  330  13.591  338  15.6873 
 96  122.0  2.7  0.8  1.7  24.3  111.6  6.1  8.7  3.7  121.1  5889  13.1945  5836  13.6396 
 97  133.5  4.9  -8.4  3.1  68.7  123.7  5.8  2.0  3.5  102.6  0 0 0 0
 98  126.3  1.3  -1.4  0.8  4.6  125.9  2.5  1.4  1.4  16.4  0 0 0 0
 99  124.0  2.7  3.3  2.4  48.6  124.5  1.0  2.7  0.9  6.9  0 0 0 0
 100  118.9  2.0  1.9  1.2  12.7  123.8  4.4  -0.9  2.7  58.9  0 0 0 0
 101  119.8  6.6  2.7  4.5  170.7  128.6  3.2  -0.3  2.2  38.4  0 0 0 0
 102  122.2  4.4  1.8  3.1  83.7  125.4  1.4  2.2  1.0  7.8  0 0 0 0
 103  128.8  1.9  2.7  1.1  11.1  126.8  1.2  -2.8  0.8  4.4  6142  13.7188  6153  13.2362 
 104  122.3  1.8  1.7  1.2  10.9  121.2  1.8  2.6  1.1  9.6  3923  13.7449  3998  12.7002 
 105  128.0  2.2  -1.6  1.5  17.6  133.7  8.3  6.7  5.2  221.5  0 0 0 0
 106  128.3  1.7  -0.7  1.3  13.7  129.8  3.9  2.7  2.8  69.3  6201  13.532  6197  13.8319 
 107  128.3  1.4  -2.6  1.2  11.3  127.9  2.4  5.0  1.9  30.3  0 0 0 0
 108  127.3  1.2  -0.7  0.9  6.0  128.8  1.7  0.8  1.2  12.0  0 0 0 0
 109  124.7  3.2  2.2  2.1  34.7  120.2  2.3  3.4  1.5  18.4  0 0 0 0
 110  122.8  3.9  2.1  3.2  86.5  135.3  6.5  -0.9  5.1  198.6  6205  13.8586  6217  13.4004 
 111  126.7  2.0  2.9  1.4  14.0  124.5  2.6  1.6  1.8  25.9  0 0 0 0
 112  123.9  1.4  2.9  0.9  6.8  124.9  2.9  2.6  2.0  30.7  6152  11.8549  6203  12.0875 
 113  122.9  5.8  4.2  6.2  189.7  126.4  2.6  0.6  3.4  102.8  6127  13.7265  6132  13.5333 
 114  122.9  1.7  2.8  1.5  20.4  129.2  1.6  2.7  1.4  17.3  575  12.782  564  13.0748 
 115  117.5  2.8  5.7  2.9  40.9  127.4  1.8  4.4  2.3  46.4  6042  13.1045  6048  13.0922 
 116  125.7  2.3  1.8  1.7  26.2  131.0  2.0  0.0  1.5  18.0  6181  13.3187  6158  12.983 
 117  131.7  2.3  -2.0  2.8  65.3  126.4  2.6  2.3  3.2  85.9  6158  13.6039  6141  13.607 
 118  125.7  5.0  -0.7  3.7  114.7  131.0  4.3  -6.1  3.2  73.7  0  0  0  0 
 119  122.9  1.8  1.2  1.7  25.4  124.4  1.3  -4.2  1.3  12.7  6121  13.2078  6124  13.6595 
 120  120.6  3.9  3.5  2.2  22.3  118.2  5.1  3.3  3.4  92.5  2497  13.1494  2504  12.7758 
 121  125.7  1.4  -0.4  1.1  10.4  121.3  2.0  7.5  1.6  21.1  6173  13.4066  6185  13.4916 
 122  126.0  0.9  -0.2  0.7  4.3  128.4  0.8  0.1  0.7  3.8  6191  13.8769  6166  13.7503 
 123  126.4  5.5  -3.0  4.7  186.3  128.6  2.8  0.9  2.4  45.8  5473  14.3032  5492  13.7895 
 124  120.7  4.8  1.9  3.9  118.9  123.1  2.4  3.6  1.9  28.2  2420  13.1744  2284  14.3061 
 125  129.3  1.9  0.9  2.2  39.7  122.9  2.0  5.8  2.3  43.9  5847  14.3107  5858  13.1954 
 126  132.2  2.3  -3.1  2.1  36.4  120.9  2.2  5.2  2.0  35.5  756  13.5714  748  13.8253 
 127  144.6  7.8  -12.7  9.2  654.8  124.0  0.3  3.5  0.4  1.3  2246  13.9577  2219  12.7295 
