Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 11 999
1 31 995
2 9 994
3 9 996
4 8 965
5 9 994
6 13 986
7 9 999
8 8 998
9 9 992
10 9 984
11 9 999
12 18 999
13 31 997
14 31 999
15 9 996
16 7 999
17 5 998
18 9 945
19 21 999
20 15 992
21 7 963
22 9 986
23 27 998
24 9 992
25 34 960
26 31 970
27 11 972
28 31 996
29 16 996
30 5 954
31 7 995
32 5 999
33 8 979
34 6 997
35 11 991
36 9 993
37 12 994
38 6 995
39 11 997
40 6 990
41 18 999
42 10 995
43 25 999
44 17 999
45 9 996
46 23 987
47 8 998
48 5 997
49 11 994
50 15 967
51 7 975
52 12 991
53 14 999
54 21 996
55 5 976
56 15 989
57 13 994
58 18 998
59 24 992
60 19 928
61 15 992
62 12 904
63 23 995
64 22 915
65 27 920
66 24 938
67 28 925
68 17 906
69 15 914
70 27 926
71 25 918
72 28 930
73 28 915
74 14 922
75 22 913
76 19 920
77 26 931
78 33 925
79 16 957
80 13 916
81 25 915
82 25 923
83 15 909
84 15 911
85 11 904
86 21 916
87 12 910
88 9 914
89 15 919
90 11 922
91 15 922
92 10 918
93 19 920
94 26 930
95 24 992
96 33 977
97 33 931
98 35 941
99 41 938
100 24 917
101 39 931
102 29 924
103 25 979
104 29 917
105 38 943
106 27 913
107 30 923
108 37 931
109 22 915
110 28 936
111 37 959
112 10 967
113 10 927
114 11 927
115 9 936
116 12 925
117 9 947
118 13 928
119 14 936
120 12 921
121 9 920
122 17 940
123 16 929
124 21 939
125 13 938
126 17 943
127 22 939
