Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 65.3 2.6 57.9 2.4 74.9 1.2 71.6 1.5 
1 59.5 2.3 64.3 2.2 70.3 1.3 72.0 1.1 
2 64.1 2.1 64.3 2.1 69.9 1.2 73.5 1.5 
3 67.1 2.1 64.5 2.2 74.7 1.2 73.1 1.1 
4 65.2 2.4 68.8 2.2 71.8 1.2 69.3 1.1 
5 68.0 2.2 62.6 2.3 71.5 1.2 68.3 1.3 
6 60.0 2.3 66.5 2.2 71.3 1.4 76.1 1.1 
7 61.8 2.5 66.4 2.4 74.2 1.3 75.9 1.1 
8 59.5 2.3 58.0 2.3 73.2 1.4 71.6 1.3 
9 60.0 2.3 58.1 2.2 74.2 1.4 69.5 1.2 
10 69.3 2.5 71.9 2.6 73.0 1.3 68.9 1.1 
11 60.6 2.4 69.0 2.3 68.0 1.2 70.7 1.1 
12 70.3 2.1 66.3 2.1 73.6 1.3 70.2 1.1 
13 58.8 2.4 56.7 2.2 69.0 1.2 71.3 1.2 
14 57.8 2.4 65.4 2.4 68.8 1.2 71.8 1.1 
15 69.2 2.3 60.2 2.3 71.7 1.2 67.3 1.4 
16 71.9 1.8 67.0 2.0 80.3 1.1 75.2 1.3 
17 64.0 2.2 66.8 2.1 74.0 1.2 76.1 1.1 
18 70.3 2.1 66.8 2.1 77.3 1.2 81.9 1.3 
19 69.0 2.0 66.7 2.1 73.0 1.1 75.1 1.1 
20 72.0 2.2 69.2 2.2 79.6 1.2 76.9 1.1 
21 69.5 2.3 71.3 2.0 76.6 1.1 78.6 1.1 
22 70.1 2.1 69.4 2.1 70.0 1.3 72.9 1.4 
23 69.4 1.9 76.5 1.9 67.3 1.2 72.4 1.1 
24 68.9 2.1 66.5 2.1 74.8 1.2 73.0 1.1 
25 66.5 2.0 64.5 2.0 78.4 1.2 76.4 1.0 
26 67.2 2.1 66.0 2.0 76.4 1.1 78.8 1.1 
27 65.4 2.0 67.5 2.1 73.1 1.3 78.9 1.3 
28 67.0 1.9 60.7 2.0 73.8 1.3 68.5 1.1 
29 64.8 2.3 66.6 2.1 76.8 1.1 79.4 1.1 
30 61.4 2.1 67.4 2.0 71.2 1.4 74.9 1.3 
31 66.3 1.9 68.6 2.0 76.2 1.2 72.9 1.1 
32 81.0 2.9 78.3 2.9 88.8 1.2 78.0 1.3 
33 81.1 2.7 78.8 2.4 88.4 1.2 79.8 1.2 
34 83.9 2.7 82.3 2.5 85.0 1.2 89.2 1.4 
35 80.7 2.5 79.5 2.5 84.9 1.2 91.8 1.1 
36 86.0 2.9 81.1 2.8 90.1 1.4 88.1 1.1 
37 85.4 2.5 79.2 2.2 87.4 1.2 91.0 1.2 
38 86.5 3.0 90.1 2.9 88.0 1.1 84.1 1.2 
39 82.1 2.2 79.0 2.3 88.8 1.3 85.4 1.1 
40 88.4 2.5 82.8 2.4 88.1 1.1 83.8 1.2 
41 83.5 2.5 79.0 2.6 92.9 1.1 88.7 1.1 
42 80.2 2.5 80.3 2.5 86.9 1.1 84.7 1.1 
43 78.1 2.3 72.2 2.5 91.8 1.1 86.2 1.3 
44 84.0 2.7 75.3 2.5 88.7 1.2 80.6 1.2 
45 74.1 2.4 76.8 2.3 87.1 1.2 82.8 1.4 
46 82.4 2.3 76.5 2.4 82.5 1.2 80.3 1.1 
47 83.8 2.2 82.8 2.2 88.8 1.4 85.2 1.1 
48 70.6 2.2 80.1 2.2 0.0 0.0 0.0 0.0 
49 73.0 2.2 76.1 2.3 0.0 0.0 0.0 0.0 
50 81.1 2.3 72.6 2.4 0.0 0.0 0.0 0.0 
51 70.6 2.3 71.7 2.3 0.0 0.0 0.0 0.0 
52 83.2 2.4 74.6 2.2 0.0 0.0 0.0 0.0 
53 72.5 2.3 76.6 2.3 0.0 0.0 0.0 0.0 
