Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 21 998
1 30 998
2 31 968
3 11 994
4 28 999
5 31 951
6 15 999
7 6 997
8 11 987
9 31 998
10 31 999
11 14 983
12 11 997
13 31 969
14 8 999
15 31 995
16 9 998
17 23 997
18 15 992
19 15 996
20 15 994
21 15 999
22 14 994
23 7 994
24 5 996
25 15 996
26 15 995
27 11 994
28 23 995
29 9 999
30 15 994
31 15 995
32 15 995
33 6 990
34 15 993
35 15 993
36 15 986
37 15 993
38 15 989
39 6 994
40 15 991
41 15 995
42 15 991
43 9 994
44 15 993
45 15 994
46 15 992
47 6 995
48 7 999
49 15 993
50 15 993
51 15 993
52 12 994
53 25 990
54 8 987
55 20 995
56 8 981
57 6 996
58 30 999
59 31 980
60 15 989
61 15 959
62 13 994
63 15 992
64 35 949
65 42 997
66 52 953
67 29 939
68 40 950
69 47 929
70 41 926
71 46 944
72 47 946
73 33 945
74 51 938
75 45 941
76 41 926
77 51 938
78 49 939
79 49 931
80 37 943
81 43 951
82 46 952
83 49 936
84 37 933
85 49 942
86 42 938
87 45 981
88 46 951
89 40 939
90 47 940
91 41 939
92 44 933
93 44 928
94 37 940
95 49 933
96 44 999
97 33 934
98 19 947
99 24 940
100 26 927
101 41 936
102 30 949
103 28 940
104 37 948
105 39 933
106 27 935
107 27 930
108 43 937
109 34 934
110 38 914
111 45 980
112 39 931
113 28 942
114 33 930
115 36 935
116 34 931
117 33 935
118 27 919
119 36 938
120 22 923
121 29 928
122 41 929
123 32 911
124 31 929
125 38 936
126 31 936
127 34 925
