Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 752
1 743
2 750
3 749
4 744
5 732
6 754
7 755
8 748
9 752
10 731
11 690
12 760
13 741
14 746
15 750
16 739
17 739
18 747
19 748
20 738
21 744
22 743
23 725
24 735
25 732
26 749
27 747
28 752
29 725
30 733
31 737
32 729
33 736
34 745
35 739
36 751
37 753
38 740
39 738
40 736
41 739
42 736
43 748
44 742
45 737
46 741
47 757
48 734
49 741
50 721
51 709
52 728
53 738
54 732
55 724
56 721
57 719
58 715
59 726
60 692
61 727
62 729
63 727
64 857
65 743
66 735
67 746
68 733
69 712
70 735
71 737
72 747
73 732
74 743
75 749
76 727
77 738
78 734
79 751
80 735
81 752
82 754
83 743
84 735
85 738
86 739
87 748
88 742
89 751
90 741
91 737
92 765
93 617
94 741
95 746
96 747
97 735
98 736
99 743
100 716
101 640
102 721
103 741
104 755
105 739
106 761
107 743
108 737
109 708
110 743
111 743
112 755
113 748
114 747
115 751
116 749
117 740
118 755
119 726
120 747
121 740
122 730
123 745
124 756
125 755
126 747
127 748
