Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  127.2  2.4  -4.4  2.2  35.1  130.7  1.5  -1.8  1.3  12.9  5987  14.7083  5985  14.4563 
 1  131.1  5.6  -5.4  4.8  164.6  135.3  1.6  -7.8  1.1  3.3  3487  14.3204  3517  13.748 
 2  119.0  3.5  2.0  2.9  69.4  121.3  3.8  0.0  3.2  76.2  719  13.255  730  14.2418 
 3  130.6  2.3  -2.0  2.1  33.1  127.9  1.2  -4.5  1.1  9.2  4346  14.1808  4359  14.4268 
 4  120.8  4.6  2.9  4.9  195.8  122.3  1.2  -0.9  1.3  14.2  4666  13.436  4654  13.3231 
 5  125.6  3.9  0.1  2.7  57.1  132.6  1.4  -7.9  1.0  6.7  5466  14.0669  5473  14.0364 
 6  129.8  1.9  -3.7  1.5  18.4  127.5  1.2  -3.7  1.0  6.6  0 0 0 0
 7  131.8  1.7  -6.1  2.1  36.5  123.4  3.1  -2.3  3.2  46.1  360  13.9269  363  13.2274 
 8  132.9  2.3  -5.0  1.6  17.9  130.5  1.3  -6.5  0.9  5.6  0 0 0 0
 9  126.2  2.0  -2.8  1.7  19.6  125.7  1.6  0.5  1.3  12.8  4801  14.4732  4764  14.6872 
 10  127.8  2.1  -3.5  2.2  37.9  128.0  1.7  -2.4  1.8  25.8  6100  14.1679  6055  14.3847 
 11  121.3  2.3  -4.1  1.8  25.5  122.8  1.9  -0.5  1.4  14.9  0 0 0 0
 12  130.0  4.2  -2.6  2.7  53.4  124.3  3.8  -0.6  2.5  43.1  0 0 0 0
 13  125.5  3.9  -1.8  2.4  45.4  130.6  2.0  -0.8  1.3  10.6  5999  15.0855  6000  14.8745 
 14  125.5  2.7  -8.0  2.3  35.6  121.3  4.2  5.1  3.3  76.9  0 0 0 0
 15  122.5  4.2  -0.0  3.9  112.7  123.7  1.2  -3.0  1.1  9.5  1172  13.7922  1208  15.0977 
 16  117.8  4.7  5.8  5.6  267.7  109.1  4.0  4.1  5.2  212.5  4717  13.1535  4768  13.8159 
 17  125.0  2.6  -7.7  3.2  77.5  117.7  3.6  6.5  4.3  145.0  1182  12.8473  1261  13.7165 
 18  125.1  2.4  -7.5  2.5  47.7  118.6  1.7  1.6  1.8  24.9  392  13.4879  408  13.3967 
 19  119.8  2.1  1.4  2.0  29.5  120.1  0.7  3.3  0.7  3.5  0 0 0 0
