Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 864
1 773
2 782
3 786
4 776
5 776
6 781
7 780
8 771
9 774
10 773
11 745
12 780
13 779
14 773
15 777
16 767
17 782
18 779
19 775
20 780
21 772
22 771
23 776
24 758
25 777
26 766
27 746
28 771
29 768
30 764
31 785
32 740
33 775
34 775
35 778
36 781
37 772
38 774
39 775
40 787
41 771
42 775
43 780
44 764
45 768
46 789
47 780
48 820
49 743
50 748
51 741
52 748
53 755
54 740
55 743
56 744
57 750
58 742
59 740
60 738
61 748
62 755
63 736
64 761
65 754
66 760
67 756
68 765
69 755
70 761
71 761
72 756
73 756
74 734
75 762
76 751
77 756
78 743
79 763
80 801
81 801
82 794
83 795
84 796
85 795
86 800
87 802
88 780
89 806
90 806
91 803
92 797
93 744
94 791
95 801
96 753
97 743
98 749
99 752
100 745
101 693
102 725
103 757
104 756
105 749
106 747
107 752
108 747
109 747
110 748
111 745
112 794
113 795
114 809
115 802
116 792
117 832
118 804
119 787
120 813
121 807
122 808
123 809
124 806
125 799
126 795
127 813
