Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 6 910
1 14 922
2 10 928
3 13 918
4 10 912
5 9 918
6 11 906
7 6 913
8 9 914
9 11 914
10 8 911
11 9 898
12 6 902
13 9 917
14 15 918
15 14 925
16 8 979
17 7 935
18 6 901
19 6 902
20 7 982
21 6 985
22 7 984
23 6 885
24 6 980
25 6 892
26 7 883
27 7 991
28 6 902
29 7 994
30 7 972
31 6 892
32 13 932
33 7 932
34 7 918
35 14 934
36 13 939
37 14 927
38 18 936
39 8 946
40 13 943
41 11 928
42 13 929
43 17 931
44 17 932
45 16 929
46 9 917
47 23 934
48 6 999
49 6 940
50 6 995
51 5 912
52 5 983
53 6 969
54 6 992
55 7 991
56 6 996
57 5 973
58 6 893
59 6 884
60 6 894
61 7 899
62 6 985
63 7 918
64 14 932
65 16 928
66 19 924
67 11 925
68 15 929
69 15 917
70 17 915
71 10 910
72 7 905
73 14 910
74 11 913
75 13 906
76 7 924
77 21 919
78 17 907
79 23 986
80 19 935
81 23 933
82 18 926
83 10 946
84 16 928
85 18 941
86 18 929
87 14 952
88 23 931
89 28 945
90 24 953
91 17 936
92 24 930
93 16 927
94 18 927
95 18 911
96 15 930
97 17 906
98 7 909
99 18 925
100 11 904
101 7 918
102 18 912
103 8 904
104 16 904
105 15 896
106 24 906
107 17 900
108 16 900
109 19 906
110 17 922
111 17 955
112 19 926
113 11 913
114 21 926
115 18 928
116 15 947
117 23 937
118 19 916
119 32 934
120 25 923
121 21 925
122 20 912
123 33 930
124 26 928
125 22 924
126 21 916
127 30 923
