Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 75.8 2.4 74.8 2.4 84.2 1.1 80.9 1.1 
1 70.3 2.2 74.5 2.2 78.0 1.3 84.8 1.2 
2 73.7 2.1 72.2 2.3 80.7 1.2 83.8 1.1 
3 69.2 2.3 79.5 2.3 77.0 1.2 79.7 1.1 
4 73.9 2.2 79.2 2.4 79.9 1.2 74.9 1.4 
5 74.3 2.2 76.4 2.3 79.2 1.2 77.6 1.1 
6 72.3 2.2 72.8 2.1 76.2 1.2 73.7 1.1 
7 72.2 2.4 72.7 2.2 82.2 1.2 81.7 1.1 
8 72.3 2.3 70.7 2.2 76.2 1.1 73.7 1.2 
9 70.3 2.2 66.9 2.4 77.2 1.3 75.4 1.4 
10 68.7 2.3 71.7 2.3 77.3 1.3 80.8 1.2 
11 67.1 2.3 64.0 2.3 75.8 1.4 76.4 1.1 
12 73.6 2.3 75.2 2.3 77.7 1.3 72.8 1.1 
13 74.9 2.2 69.5 2.4 83.8 1.2 81.2 1.1 
14 72.7 2.2 75.7 2.2 78.6 1.4 79.9 1.1 
15 70.3 2.3 75.5 2.2 81.7 1.2 81.8 1.1 
16 77.6 3.0 85.1 2.9 83.1 1.4 80.9 1.2 
17 76.5 3.1 79.8 2.8 85.7 1.5 86.1 1.2 
18 81.4 2.8 83.0 2.6 84.5 1.4 78.6 1.4 
19 84.1 2.8 76.0 2.8 87.9 1.2 85.6 1.2 
20 77.9 2.8 74.4 3.0 85.2 1.5 80.7 1.2 
21 74.3 3.0 77.4 3.1 83.8 1.3 81.4 1.3 
22 72.0 2.9 78.6 2.9 84.5 1.3 87.1 1.1 
23 77.9 2.9 77.4 2.8 84.8 1.3 88.5 1.2 
24 72.6 2.8 72.3 2.9 87.7 1.4 85.4 1.2 
25 75.0 2.8 74.7 2.8 83.0 1.4 81.1 1.2 
26 76.3 3.0 79.9 2.9 82.6 1.5 77.5 1.4 
27 77.7 3.0 77.2 3.0 80.3 1.3 75.5 1.5 
28 79.2 2.8 75.7 2.8 83.3 1.5 86.3 1.2 
29 82.1 2.9 76.5 2.8 83.5 1.2 81.3 1.1 
30 73.8 2.8 70.0 3.0 82.2 1.4 83.8 1.2 
31 72.1 3.1 75.5 2.9 85.3 1.3 86.7 1.1 
32 73.0 3.0 74.3 3.1 79.1 1.2 76.2 1.2 
33 68.6 2.5 68.6 2.4 78.0 1.2 77.5 1.1 
34 73.8 2.6 72.2 2.8 78.1 1.2 79.9 1.1 
35 73.2 2.3 68.3 2.4 80.2 1.1 77.3 1.1 
36 72.7 2.7 75.4 3.0 83.5 1.1 79.7 1.4 
37 65.7 2.5 69.2 2.5 79.8 1.2 76.8 1.1 
38 74.5 2.4 74.1 2.3 80.0 1.1 76.2 1.5 
39 76.1 2.1 73.4 2.3 74.2 1.3 80.1 1.1 
40 70.6 2.4 72.7 2.5 80.4 1.2 79.6 1.1 
41 74.1 2.7 75.5 2.4 82.1 1.4 74.0 1.3 
42 70.0 2.6 67.7 2.9 77.1 1.1 80.8 1.2 
43 70.6 2.3 71.2 2.3 78.0 1.4 76.4 1.3 
44 68.7 2.7 75.5 2.7 78.4 1.3 81.3 1.4 
45 76.6 2.4 79.3 2.4 80.3 1.3 83.2 1.0 
46 72.9 2.3 67.4 2.4 73.9 1.3 78.7 1.4 
47 73.9 2.3 67.7 2.5 80.0 1.2 73.0 1.2 
48 72.6 2.8 66.2 2.5 80.1 1.2 80.6 1.6 
49 74.5 2.8 77.8 2.6 80.2 1.2 84.1 1.2 
50 75.8 2.6 72.6 2.7 83.0 1.6 87.9 1.1 
51 74.4 2.8 75.0 2.8 83.2 1.4 75.5 1.4 
52 78.0 2.6 75.0 2.5 81.5 1.4 76.1 1.2 
53 75.5 2.9 73.2 2.8 79.2 1.4 84.6 1.3 
54 79.4 2.5 77.8 2.7 80.1 1.3 80.3 1.2 
55 76.1 2.7 73.9 2.7 78.2 1.5 80.0 1.2 
56 71.5 2.6 78.3 2.6 82.6 1.5 78.6 1.5 
57 71.4 2.8 76.5 2.9 83.0 1.3 80.3 1.2 
58 71.5 2.7 75.0 2.8 83.3 1.3 80.5 1.2 
59 72.4 2.7 76.4 2.8 82.5 1.5 84.1 1.6 
