Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  125.7  3.7  -4.3  3.4  83.7  131.2  1.7  -1.5  1.5  17.8  6129  13.6917  6150  13.2495 
 1  122.2  3.3  -0.4  2.8  57.9  142.2  3.2  -8.7  2.1  13.2  2967  13.3001  2897  13.8362 
 2  123.9  3.9  -0.8  3.2  86.3  121.0  3.9  -4.0  3.4  82.6  541  14.2502  510  13.5242 
 3  127.0  2.7  -3.4  2.4  45.7  123.8  1.8  -1.2  1.6  20.1  3872  13.5963  3902  12.9017 
 4  122.1  1.5  2.2  1.6  22.0  127.4  2.1  -4.1  2.3  40.2  5490  12.8599  5535  12.6682 
 5  120.9  4.3  2.0  3.0  71.3  124.3  2.0  -5.1  1.5  14.6  6118  13.2847  6133  13.1968 
 6  126.0  2.8  -4.6  2.3  41.5  132.9  0.9  -10.0  0.7  4.0  0 0 0 0
 7  126.9  1.8  -4.6  2.2  40.1  117.6  1.3  2.3  1.4  8.4  254  14.7988  229  13.064 
 8  131.7  2.9  -6.5  1.9  28.1  130.8  2.5  -5.1  1.8  21.8  0 0 0 0
 9  126.4  3.1  -3.4  2.6  46.9  123.2  2.2  1.3  1.8  24.9  4320  13.9818  4292  13.7094 
 10  128.6  2.2  -7.2  2.3  41.9  125.3  1.6  -1.0  1.7  21.9  6263  13.0303  6260  13.1872 
 11  119.3  3.5  -0.2  2.8  60.3  122.4  2.3  0.8  1.7  22.3  0 0 0 0
 12  124.0  5.7  0.1  3.7  101.8  128.0  3.1  -2.6  2.1  30.1  0 0 0 0
 13  122.1  3.2  -0.3  2.0  30.6  126.4  1.9  -5.1  1.2  10.0  6174  13.3369  6152  13.4205 
 14  122.5  2.7  -3.9  2.2  35.0  120.4  5.7  -0.5  4.5  143.6  0 0 0 0
 15  127.7  4.1  -5.9  3.8  110.0  122.3  1.9  0.7  1.8  24.0  919  14.2371  916  14.2771 
 16  110.4  2.4  14.3  2.8  52.4  114.8  2.9  0.6  3.7  109.6  4155  13.7102  4147  13.2336 
 17  121.4  3.8  -5.6  4.7  167.0  118.1  3.9  5.2  4.6  165.5  642  14.5913  634  14.0442 
 18  123.5  2.5  -3.5  2.6  51.2  124.0  3.2  1.3  3.3  83.1  296  12.7555  298  13.7049 
 19  122.2  1.6  1.1  1.5  16.8  121.9  1.3  0.8  1.2  11.5  0 0 0 0
 20  126.9  3.9  0.4  3.0  75.1  117.1  2.9  -0.1  2.4  41.9  358  13.3281  320  14.5094 
 21  117.3  3.5  -1.4  3.9  123.3  122.4  1.5  8.3  1.5  19.4  3598  13.6839  3549  13.5415 
 22  121.5  2.7  0.5  2.5  51.4  123.4  2.0  3.0  1.8  24.3  0 0 0 0
 23  118.9  7.5  1.8  5.3  219.3  121.1  2.2  1.3  1.6  18.0  0 0 0 0
