Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 24 993
1 39 992
2 49 988
3 34 958
4 33 976
5 8 974
6 45 975
7 10 988
8 43 942
9 33 946
10 47 976
11 18 998
12 17 995
13 46 996
14 51 990
15 24 993
16 8 996
17 18 984
18 10 998
19 11 995
20 11 999
21 17 993
22 7 997
23 9 995
24 11 981
25 15 995
26 6 995
27 15 988
28 29 990
29 15 996
30 7 992
31 14 990
32 15 999
33 41 959
34 10 998
35 29 931
36 30 946
37 39 951
38 33 967
39 36 941
40 41 942
41 18 947
42 30 983
43 38 940
44 39 984
45 38 973
46 44 967
47 41 947
48 30 945
49 18 927
50 37 945
51 27 934
52 18 937
53 32 934
54 23 948
55 30 937
56 24 930
57 28 943
58 29 935
59 29 930
60 29 937
61 32 944
62 32 928
63 27 929
64 37 922
65 41 934
66 21 912
67 22 926
68 34 916
69 44 922
70 37 924
71 28 936
72 34 915
73 33 932
74 41 922
75 38 930
76 31 908
77 32 904
78 33 919
79 32 908
80 41 939
81 44 926
82 54 934
83 41 945
84 50 945
85 45 929
86 49 954
87 51 951
88 53 943
89 61 950
90 55 947
91 49 937
92 58 944
93 47 930
94 57 952
95 51 949
96 12 956
97 7 923
98 17 925
99 18 927
100 9 925
101 14 923
102 12 926
103 12 929
104 18 927
105 6 907
106 9 920
107 13 923
108 13 929
109 14 935
110 11 915
111 17 926
112 60 970
113 57 961
114 55 951
115 54 960
116 41 927
117 57 958
118 53 955
119 35 997
120 52 963
121 64 968
122 41 949
123 51 944
124 43 922
125 54 950
126 50 932
127 46 993
