Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 70.5 2.4 72.5 2.5 79.3 1.1 77.6 1.1 
1 67.7 2.0 70.8 2.1 77.4 1.2 79.8 1.0 
2 70.0 2.3 70.6 2.2 75.8 1.3 79.8 1.1 
3 71.7 2.0 67.6 2.1 73.4 1.1 76.3 1.2 
4 64.8 2.2 70.5 2.3 77.2 1.2 79.7 1.1 
5 70.7 2.1 68.7 2.1 77.6 1.3 74.4 1.3 
6 64.0 2.3 67.0 2.2 73.7 1.2 75.7 1.1 
7 72.3 2.1 69.9 2.3 80.5 1.1 76.2 1.1 
8 73.3 2.2 69.8 2.4 75.7 1.4 76.4 1.1 
9 64.9 2.1 63.8 2.1 78.5 1.2 76.7 1.0 
10 73.5 2.3 74.9 2.1 83.5 1.1 81.6 1.1 
11 69.7 2.4 71.3 2.2 79.9 1.1 77.1 1.1 
12 71.6 2.2 72.3 2.1 79.6 1.2 76.0 1.2 
13 73.0 2.2 67.3 2.3 82.0 1.2 80.4 1.0 
14 70.0 2.1 73.1 2.1 73.1 1.2 75.2 1.1 
15 68.3 2.2 70.2 2.5 78.4 1.3 80.2 1.0 
16 67.2 2.4 75.0 2.5 73.9 1.4 70.7 1.4 
17 68.6 2.5 60.1 2.5 74.8 1.3 72.5 1.2 
18 72.9 2.5 66.4 2.4 72.0 1.2 70.1 1.2 
19 63.3 2.5 60.6 2.4 71.2 1.5 71.8 1.2 
20 67.9 2.5 74.5 2.5 72.1 1.2 75.7 1.1 
21 73.7 2.5 68.4 2.4 81.3 1.3 70.5 1.3 
22 65.5 2.5 67.8 2.3 71.6 1.2 69.5 1.2 
23 66.2 2.7 67.5 2.6 72.0 1.2 76.3 1.2 
24 69.4 2.6 66.2 2.4 75.2 1.2 73.3 1.2 
25 65.9 2.6 64.7 2.4 71.7 1.2 69.6 1.2 
26 67.0 2.6 64.7 2.6 68.8 1.2 70.9 1.1 
27 61.3 2.5 63.2 2.5 73.4 1.3 72.9 1.1 
28 59.2 2.4 62.5 2.5 71.9 1.3 76.3 1.1 
29 62.8 2.5 67.1 2.6 77.1 1.3 79.0 1.1 
30 70.5 2.6 58.1 2.5 70.1 1.4 72.1 1.1 
31 55.8 2.4 58.1 2.4 65.5 1.2 65.5 1.1 
32 74.8 2.9 70.4 3.0 79.6 1.2 75.2 1.2 
33 75.1 2.5 77.1 2.6 77.7 1.3 80.0 1.1 
34 70.8 2.7 76.4 2.9 80.9 1.2 83.4 1.1 
35 77.0 2.6 74.0 2.6 84.1 1.3 86.8 1.1 
36 71.6 2.9 76.4 3.1 82.2 1.3 84.7 1.2 
37 74.9 2.5 68.8 2.6 77.8 1.4 72.7 1.1 
38 77.6 2.6 75.8 2.8 84.4 1.3 82.3 1.1 
39 73.4 2.2 75.5 2.4 74.0 1.2 76.5 1.3 
40 70.6 2.4 70.2 2.4 82.7 1.3 75.9 1.2 
41 76.5 2.6 71.2 2.7 79.7 1.2 77.0 1.1 
42 77.3 2.7 71.8 2.8 77.2 1.2 80.8 1.2 
43 67.9 2.6 75.5 2.6 75.3 1.3 79.5 1.2 
44 71.2 2.7 77.4 2.8 82.7 1.3 82.8 1.4 
45 77.5 2.5 74.8 2.6 79.5 1.2 75.5 1.2 
46 75.4 2.5 72.3 2.5 79.7 1.2 79.7 1.1 
47 70.3 2.3 73.7 2.5 84.0 1.1 81.6 1.1 
48 76.7 2.5 74.0 2.5 86.2 1.3 90.5 1.3 
49 76.2 2.4 79.6 2.3 87.4 1.2 83.5 1.4 
