Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 767
1 763
2 759
3 757
4 743
5 751
6 757
7 763
8 756
9 761
10 759
11 713
12 749
13 748
14 754
15 763
16 725
17 729
18 733
19 732
20 720
21 735
22 735
23 715
24 720
25 729
26 728
27 732
28 745
29 721
30 718
31 737
32 687
33 687
34 694
35 681
36 704
37 695
38 694
39 691
40 692
41 695
42 702
43 687
44 694
45 693
46 695
47 703
48 769
49 735
50 743
51 729
52 737
53 735
54 737
55 733
56 743
57 744
58 717
59 742
60 714
61 743
62 735
63 738
64 717
65 721
66 717
67 725
68 722
69 714
70 722
71 722
72 731
73 722
74 719
75 736
76 724
77 722
78 712
79 732
80 760
81 763
82 763
83 765
84 768
85 779
86 764
87 768
88 729
89 768
90 761
91 764
92 764
93 759
94 763
95 759
96 744
97 737
98 743
99 748
100 726
101 667
102 724
103 743
104 749
105 751
106 739
107 748
108 745
109 710
110 743
111 751
112 751
113 733
114 749
115 732
116 748
117 735
118 752
119 757
120 755
121 738
122 745
123 749
124 753
125 744
126 737
127 748
