Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 10 905
1 8 909
2 15 922
3 8 915
4 8 929
5 11 927
6 7 930
7 7 908
8 8 901
9 15 918
10 6 905
11 6 907
12 7 911
13 7 900
14 8 910
15 7 903
16 8 914
17 10 916
18 7 910
19 6 896
20 8 904
21 6 912
22 8 904
23 7 903
24 6 893
25 8 912
26 6 899
27 7 924
28 7 931
29 6 892
30 11 905
31 6 892
32 6 890
33 7 895
34 6 887
35 6 898
36 6 878
37 6 888
38 7 894
39 7 898
40 6 890
41 6 891
42 6 887
43 7 900
44 6 892
45 7 895
46 7 880
47 7 893
48 27 928
49 15 913
50 20 919
51 17 907
52 13 923
53 21 910
54 9 903
55 19 979
56 27 912
57 18 923
58 18 925
59 8 914
60 12 912
61 20 915
62 23 910
63 24 931
64 8 990
65 13 995
66 11 921
67 8 966
68 13 917
69 26 918
70 17 915
71 14 911
72 7 949
73 9 950
74 7 915
75 7 989
76 13 988
77 8 901
78 26 935
79 18 905
80 19 924
81 23 925
82 20 920
83 21 925
84 14 911
85 29 935
86 11 932
87 15 923
88 20 922
89 10 925
90 19 918
91 14 932
92 26 944
93 23 926
94 34 944
95 28 917
96 14 945
97 8 925
98 6 910
99 7 934
100 6 912
101 6 918
102 6 907
103 7 911
104 7 902
105 6 897
106 7 913
107 7 925
108 8 909
109 7 903
110 9 912
111 6 912
112 6 931
113 8 918
114 7 921
115 9 921
116 10 919
117 6 910
118 8 915
119 9 933
120 12 929
121 8 927
122 7 922
123 8 928
124 12 921
125 7 906
126 8 907
127 9 928
