Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 68.4 2.5 67.3 2.5 73.5 1.4 76.0 1.1 
1 70.5 2.4 76.1 2.5 77.5 1.4 80.9 1.1 
2 75.9 2.4 72.1 2.5 80.2 1.2 78.5 1.1 
3 70.3 2.5 71.4 2.4 79.6 1.2 77.2 1.4 
4 70.2 2.7 73.3 2.5 80.8 1.4 78.0 1.2 
5 76.4 2.3 72.1 2.4 74.4 1.2 76.5 1.6 
6 70.0 2.5 72.2 2.3 75.6 1.4 79.9 1.1 
7 72.2 2.7 72.0 2.4 82.0 1.5 78.4 1.1 
8 68.5 2.6 74.8 2.7 76.6 1.4 74.2 1.1 
9 68.8 2.6 72.0 2.4 77.4 1.4 80.1 1.1 
10 73.9 2.5 68.5 2.5 80.9 1.4 81.5 1.2 
11 68.7 2.5 67.2 2.7 72.7 1.1 72.2 1.6 
12 75.7 2.5 75.2 2.8 77.3 1.3 77.6 1.2 
13 74.8 2.5 73.0 2.6 80.3 1.2 78.4 1.1 
14 77.3 2.5 77.4 2.5 83.5 1.2 84.0 1.1 
15 68.7 2.6 68.6 2.5 82.4 1.4 76.9 1.2 
16 74.0 2.0 77.5 2.0 79.2 1.2 80.7 1.0 
17 73.3 2.0 75.4 2.3 85.4 1.1 83.7 1.5 
18 69.6 2.0 74.6 2.2 79.5 1.3 80.7 1.0 
19 76.6 2.0 79.4 2.0 86.0 1.2 87.9 1.0 
20 79.4 2.1 79.5 2.0 82.8 1.2 84.3 1.0 
21 82.0 2.3 75.7 2.1 82.1 1.2 84.2 1.1 
22 69.0 2.0 74.2 2.2 76.8 1.1 83.4 1.3 
23 85.0 2.0 81.1 2.1 77.6 1.2 79.7 1.1 
24 77.9 2.1 73.6 2.0 83.2 1.3 85.0 1.0 
25 67.4 2.2 73.6 2.2 79.0 1.2 80.0 1.0 
26 73.4 2.0 69.5 2.1 81.2 1.3 78.5 1.1 
27 76.7 2.0 76.8 2.1 82.2 1.3 75.4 1.4 
28 74.8 2.2 72.7 2.2 78.7 1.1 80.8 1.5 
29 68.6 2.2 72.4 2.3 83.0 1.4 81.7 1.1 
30 77.1 2.1 79.0 2.0 78.6 1.2 80.9 1.1 
31 72.1 2.1 77.2 2.3 82.9 1.2 78.7 1.4 
32 82.4 3.5 86.7 3.2 94.1 1.4 95.5 1.2 
33 94.1 3.1 91.5 3.3 96.3 1.3 92.6 1.6 
34 91.6 3.0 87.2 3.1 92.5 1.5 96.8 1.1 
35 79.1 2.9 84.2 2.8 93.6 1.4 87.3 1.3 
36 83.8 3.4 85.2 3.2 91.1 1.4 92.4 1.6 
37 83.3 2.9 85.5 2.9 90.0 1.4 91.1 1.3 
38 87.7 2.9 90.6 3.1 89.0 1.4 94.0 1.7 
39 80.0 2.8 82.5 2.7 89.3 1.3 92.7 1.6 
40 89.8 3.0 87.1 3.0 95.7 1.3 93.9 1.3 
41 77.5 3.1 85.8 3.0 88.1 1.4 90.6 1.7 
42 81.9 3.3 85.9 3.0 96.1 1.2 85.3 1.4 
43 81.1 2.8 86.2 3.1 94.0 1.6 90.2 1.2 
44 90.8 3.0 85.4 3.3 91.7 1.4 89.9 1.3 
45 83.7 3.1 83.8 2.8 96.2 1.3 88.5 1.4 
46 85.7 2.7 85.9 2.7 89.7 1.3 91.8 1.2 
47 88.7 3.0 86.5 3.0 98.2 1.6 93.1 1.4 
48 65.3 2.1 61.8 2.3 73.3 1.4 68.8 1.0 
49 68.9 2.5 64.6 2.4 69.6 1.4 65.7 1.2 
50 64.5 2.2 67.8 2.2 72.3 1.1 71.6 1.4 
51 74.4 2.2 68.5 2.5 78.5 1.4 71.0 1.4 
52 67.3 2.3 67.7 2.3 72.2 1.1 75.5 1.0 
53 64.8 2.3 60.4 2.4 70.0 1.2 68.5 1.1 
54 63.4 2.2 62.5 2.3 74.8 1.2 73.3 1.1 
55 66.7 2.3 66.8 2.4 69.8 1.5 67.0 1.5 
56 70.9 2.3 66.3 2.3 68.6 1.2 68.3 1.0 
57 67.2 2.2 68.4 2.5 67.0 1.2 74.1 1.4 
58 61.1 2.5 66.5 2.4 68.7 1.1 70.6 1.2 
59 66.3 2.4 62.3 2.4 75.2 1.2 72.7 1.1 
60 67.8 2.4 69.2 2.2 71.4 1.2 67.7 1.4 
61 68.1 2.4 64.7 2.4 72.6 1.4 69.4 1.1 
62 67.2 2.5 68.1 2.5 69.9 1.3 74.1 1.4 
63 60.5 2.6 63.7 2.7 71.0 1.4 71.7 1.1 
64 92.4 2.0 92.0 2.3 98.4 1.2 99.9 1.1 
65 87.2 2.1 93.9 2.2 95.9 1.4 88.8 1.1 
66 93.0 2.0 96.2 2.1 97.0 1.4 97.7 1.1 
67 98.2 2.1 92.8 2.3 97.5 1.3 93.2 1.4 
68 91.5 2.1 94.2 2.1 95.7 1.3 97.1 1.0 
69 87.1 2.3 91.1 2.2 87.5 1.2 93.8 1.2 
70 93.3 2.0 95.3 2.3 97.9 1.2 98.1 1.1 
71 90.2 2.3 85.8 2.2 95.5 1.2 93.3 1.1 
72 90.1 2.3 96.9 2.1 99.0 1.4 93.5 1.1 
73 91.4 2.1 88.4 2.1 96.3 1.1 94.1 1.1 
74 90.4 2.1 97.9 2.1 96.3 1.2 94.5 1.1 
75 92.9 2.2 98.9 2.1 102.6 1.3 97.5 1.1 
76 90.9 2.3 93.7 2.0 93.5 1.2 97.6 1.2 
77 91.3 2.1 89.0 2.1 91.4 1.4 97.0 1.1 
78 91.7 2.2 94.5 2.2 101.5 1.1 93.0 1.2 
79 84.8 2.3 89.7 2.3 95.2 1.2 93.9 1.1 
80 71.2 4.3 74.0 3.8 79.8 1.3 77.0 1.4 
81 73.3 2.7 69.6 2.6 76.7 1.3 81.7 1.1 
82 73.1 3.3 71.0 3.2 76.9 1.2 82.0 1.4 
83 72.6 2.4 75.5 2.4 77.7 1.3 81.3 1.1 
84 77.5 2.6 74.8 2.8 78.9 1.4 73.7 1.3 
