Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
88 81.4 2.2 83.7 2.2 83.9 1.4 86.8 1.1 
89 76.4 2.2 79.6 1.9 87.8 1.2 85.7 1.1 
90 80.1 2.1 76.0 2.0 92.3 1.1 87.8 1.2 
91 81.7 2.1 79.5 2.2 85.4 1.4 83.3 1.5 
92 84.3 2.1 82.2 1.9 89.8 1.2 91.4 1.1 
93 82.0 2.1 75.5 2.0 85.8 1.3 79.7 1.2 
94 81.6 1.9 80.3 2.1 85.8 1.2 88.0 1.1 
95 82.0 2.1 81.1 2.0 86.8 1.2 82.4 1.4 
96 73.2 2.1 70.3 1.8 73.1 1.1 75.1 1.1 
97 64.9 1.9 67.9 1.9 70.4 1.2 68.5 1.0 
98 73.0 2.1 69.1 2.0 74.2 1.3 66.9 1.2 
99 70.6 2.1 64.2 2.1 69.4 1.2 72.1 1.1 
100 72.0 2.0 67.0 2.0 73.4 1.3 70.9 1.5 
101 68.4 1.9 65.9 1.9 66.5 1.3 68.2 1.1 
102 66.2 1.9 65.4 2.0 74.2 1.4 72.5 1.5 
103 63.3 1.9 63.5 2.0 73.4 1.3 68.8 1.1 
104 71.3 1.9 68.9 1.9 70.7 1.2 69.1 1.1 
105 62.4 2.0 65.0 2.1 70.5 1.2 69.0 1.1 
106 59.7 2.0 67.5 2.0 72.5 1.1 66.0 1.4 
107 64.6 2.1 71.1 2.0 65.7 1.3 71.7 1.2 
108 69.0 2.1 71.8 2.0 71.6 1.1 69.7 1.0 
109 67.8 1.9 64.4 1.9 72.1 1.1 70.0 1.1 
110 63.5 2.1 67.1 2.1 69.1 1.2 69.0 1.1 
111 65.6 2.0 64.7 1.9 68.5 1.1 68.7 1.5 
112 78.3 2.0 85.6 2.0 86.9 1.1 86.9 1.1 
113 84.8 1.9 83.4 2.0 83.1 1.4 87.6 1.0 
114 82.3 2.0 83.3 2.2 90.0 1.2 84.1 1.2 
115 80.6 1.9 81.1 2.0 86.8 1.2 85.3 1.1 
116 81.8 2.1 83.8 2.0 92.7 1.3 89.2 1.1 
117 84.0 2.0 80.7 2.0 85.0 1.1 86.4 1.0 
118 79.3 2.0 79.6 1.9 80.0 1.1 77.5 1.1 
119 81.7 1.9 84.9 1.9 88.9 1.1 84.0 1.2 
120 78.6 2.0 79.9 2.2 90.5 1.4 86.1 1.3 
121 78.2 2.1 80.6 2.1 87.6 1.1 80.7 1.1 
122 84.4 2.0 80.1 2.0 87.4 1.1 78.2 1.4 
123 77.9 1.9 79.4 1.9 82.1 1.3 88.4 1.1 
124 74.8 2.1 84.4 2.0 81.4 1.2 82.9 1.1 
125 85.0 1.9 82.0 1.9 87.5 1.1 85.5 1.0 
126 81.2 2.0 83.2 2.0 85.3 1.1 88.4 1.1 
127 80.9 1.9 83.3 1.9 91.2 1.2 89.0 1.1 
