Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 18 913
1 20 920
2 14 908
3 17 920
4 18 915
5 19 911
6 19 921
7 14 929
8 21 917
9 14 922
10 22 914
11 28 937
12 17 920
13 21 911
14 25 903
15 22 917
16 23 935
17 27 980
18 20 938
19 21 933
20 17 947
21 26 933
22 13 923
23 11 970
24 19 925
25 17 935
26 16 931
27 22 970
28 23 929
29 15 929
30 26 919
31 6 973
32 23 925
33 29 935
34 24 932
35 12 907
36 10 930
37 15 923
38 21 914
39 30 924
40 33 927
41 31 927
42 10 922
43 21 931
44 28 908
45 25 926
46 28 925
47 33 992
48 29 948
49 24 931
50 24 928
51 20 925
52 31 940
53 22 923
54 20 934
55 13 937
56 18 913
57 19 912
58 22 931
59 27 937
60 21 918
61 26 923
62 20 909
63 19 929
64 7 914
65 7 906
66 6 902
67 7 897
68 6 915
69 8 903
70 11 910
71 7 908
72 6 898
73 6 898
74 7 896
75 8 902
76 11 912
77 6 901
78 10 909
79 8 972
80 7 919
81 7 913
82 6 922
83 13 930
84 6 912
85 9 913
86 7 916
87 6 915
88 6 925
89 7 901
90 6 896
91 7 917
92 6 904
93 7 905
94 7 901
95 6 913
96 42 942
97 42 948
98 35 951
99 40 949
100 26 953
101 40 940
102 38 938
103 40 944
104 38 945
105 37 932
106 37 929
107 42 950
108 26 939
109 35 939
110 33 940
111 36 929
112 19 925
113 25 918
114 20 917
115 23 929
116 19 940
117 11 928
118 17 923
119 22 918
120 27 925
121 32 929
122 24 922
123 34 925
124 24 911
125 21 924
126 34 929
127 35 927
