Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 82.6 2.5 86.5 2.4 98.9 1.2 94.2 1.5 
1 91.7 2.1 88.2 2.2 89.8 1.3 93.4 1.5 
2 90.6 2.1 91.8 2.0 96.4 1.1 92.9 1.1 
3 86.6 2.0 87.0 2.2 88.5 1.1 91.7 1.1 
4 86.7 2.2 90.3 2.1 100.2 1.1 92.5 1.1 
5 87.3 2.0 88.5 2.1 97.4 1.2 92.2 1.0 
6 87.9 2.1 88.0 2.4 96.6 1.2 91.6 1.2 
7 89.8 2.0 91.2 2.3 96.7 1.1 101.5 1.3 
8 84.3 2.3 86.0 2.2 92.7 1.2 95.3 1.1 
9 87.0 2.2 81.5 2.4 90.3 1.4 91.8 1.0 
10 88.3 2.3 86.3 2.2 94.3 1.2 96.2 0.9 
11 86.2 2.3 91.7 2.2 98.6 1.2 96.4 1.0 
12 85.9 2.3 88.9 2.2 92.6 1.4 92.4 1.0 
13 81.8 2.3 85.8 2.1 92.4 1.1 94.5 1.1 
14 89.2 2.1 89.7 2.1 97.0 1.2 93.8 1.1 
15 83.9 2.2 87.4 2.3 93.5 1.2 95.2 1.1 
16 70.3 2.2 66.8 2.2 77.7 1.2 79.5 1.0 
17 73.2 2.1 69.9 2.1 82.7 1.1 79.9 1.4 
18 71.3 2.0 75.8 2.1 82.8 1.2 83.3 1.1 
19 70.2 2.2 70.9 2.0 77.5 1.2 81.6 1.3 
20 74.4 2.0 75.5 2.0 77.8 1.3 76.7 1.0 
21 76.6 2.2 75.9 2.1 83.6 1.1 81.6 1.1 
22 74.2 2.0 75.9 1.9 79.5 1.4 82.4 1.1 
23 71.9 2.0 70.3 2.2 79.7 1.2 74.8 1.3 
24 65.1 2.0 72.3 2.0 84.0 1.0 81.0 1.0 
25 72.5 2.2 69.8 2.1 77.1 1.1 80.0 1.0 
26 69.7 2.3 70.0 2.0 78.7 1.2 79.1 1.1 
27 76.8 2.1 75.0 2.0 79.5 1.1 77.8 1.1 
28 70.9 2.1 68.2 2.1 79.5 1.2 73.5 1.2 
29 70.9 2.0 69.5 2.0 76.6 1.3 73.6 1.1 
30 78.1 1.9 76.2 2.2 83.2 1.4 86.3 1.1 
31 68.8 2.2 69.1 2.0 82.7 1.2 79.0 1.3 
32 75.8 2.8 72.5 2.7 78.0 1.3 76.4 1.0 
33 78.5 2.5 72.6 2.5 77.8 1.2 80.0 1.1 
34 74.2 2.4 71.0 2.7 81.2 1.3 74.0 1.3 
35 70.0 2.5 75.4 2.1 81.8 1.3 76.2 1.1 
