Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 795
1 743
2 750
3 752
4 748
5 751
6 760
7 753
8 761
9 751
10 760
11 723
12 759
13 741
14 758
15 749
16 746
17 750
18 756
19 744
20 752
21 741
22 750
23 741
24 751
25 744
26 746
27 733
28 756
29 744
30 744
31 755
32 750
33 744
34 764
35 735
36 736
37 752
38 750
39 759
40 738
41 746
42 735
43 760
44 743
45 747
46 746
47 751
48 812
49 769
50 761
51 758
52 753
53 749
54 741
55 757
56 763
57 761
58 753
59 763
60 732
61 926
62 751
63 763
64 987
65 732
66 733
67 732
68 728
69 736
70 745
71 731
72 736
73 733
74 728
75 738
76 729
77 744
78 729
79 742
80 743
81 744
82 748
83 751
84 738
85 731
86 731
87 736
88 738
89 738
90 748
91 765
92 750
93 728
94 747
95 746
96 767
97 723
98 758
99 760
100 728
101 733
102 716
103 752
104 765
105 746
106 764
107 740
108 764
109 739
110 763
111 762
112 754
113 743
114 744
115 743
116 735
117 737
118 734
119 730
120 744
121 717
122 734
123 757
124 734
125 737
126 757
127 742
