Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  131.6  2.4  -4.6  2.2  35.5  127.9  1.8  -1.6  1.5  18.1  6168  13.8021  6180  12.4725 
 1  128.6  3.6  -2.5  3.1  67.7  138.6  1.9  -0.7  1.2  4.5  2984  13.1719  3027  13.9929 
 2  117.7  4.0  4.2  3.3  92.3  118.4  2.6  -1.2  2.2  35.7  414  13.7439  443  14.1516 
 3  129.0  4.7  -3.2  4.3  141.0  129.3  2.0  -2.8  1.9  26.0  3869  13.6503  3837  13.0304 
 4  123.3  4.0  0.8  4.3  149.4  126.9  1.6  -3.4  1.7  23.6  5537  12.8279  5558  12.5946 
 5  125.0  4.8  1.1  3.3  87.6  123.6  0.9  0.1  0.7  3.0  6145  13.138  6145  12.9969 
 6  120.5  2.4  1.6  2.0  30.9  127.3  0.9  -0.8  0.7  4.0  0 0 0 0
 7  128.2  3.2  -2.2  4.0  124.6  120.3  3.8  -1.2  3.9  70.3  243  12.9555  251  13.6199 
 8  135.7  2.0  -2.5  1.4  14.0  129.9  2.3  -2.8  1.6  17.3  0 0 0 0
 9  122.2  3.2  0.2  2.7  50.0  122.9  1.3  0.1  1.1  9.0  4456  13.7989  4481  13.257 
 10  126.9  2.8  -5.5  3.1  72.8  125.6  2.1  -0.6  2.2  38.8  6293  12.8916  6299  12.8834 
 11  120.2  3.5  3.3  2.8  60.2  125.9  1.3  3.1  1.0  7.7  0 0 0 0
 12  125.3  3.0  2.9  2.0  28.7  123.2  1.7  1.8  1.1  8.7  0 0 0 0
 13  120.6  3.8  3.0  2.4  44.3  125.9  1.5  0.1  1.0  6.1  6181  13.5251  6207  13.7587 
 14  118.3  2.7  0.2  2.3  35.6  120.9  0.9  5.0  0.7  3.6  0 0 0 0
 15  126.8  3.3  -6.2  3.1  72.5  119.6  0.9  4.1  0.9  5.6  893  14.0179  953  13.7881 
 16  118.1  6.0  9.2  7.2  443.4  114.5  2.8  2.2  3.6  103.8  4368  12.9155  4405  13.136 
 17  129.4  2.4  -4.8  3.0  65.7  122.6  2.7  5.4  3.2  81.5  944  14.2876  900  13.7677 
 18  128.1  3.1  -8.2  3.2  81.0  124.6  2.8  0.7  2.9  66.7  299  13.4606  302  13.3073 
 19  124.3  2.9  -1.6  2.7  58.2  125.5  0.9  -0.3  0.8  5.3  0 0 0 0
 20  127.5  3.3  1.1  2.6  54.8  123.6  3.1  -1.8  2.6  47.4  368  14.3561  367  13.1182 
 21  116.5  3.2  -0.0  3.5  100.1  124.7  2.4  10.7  2.4  50.3  3795  14.3678  3753  13.6179 
 22  115.3  4.1  6.1  3.7  116.6  124.5  1.5  2.5  1.3  13.5  0  0  0  0 
 23  118.6  4.7  3.0  3.3  85.8  130.9  1.7  -2.7  1.2  10.3  0 0 0 0
 24  124.7  1.4  0.2  1.8  25.9  134.8  3.7  -5.6  4.7  162.3  6247  13.4266  6234  13.3933 
 25  125.1  2.1  -0.6  2.9  66.8  118.4  1.3  5.3  1.8  26.7  5670  13.04  5623  13.2053 
 26  123.8  2.3  -2.1  2.3  40.9  128.6  2.2  -1.5  2.1  35.3  0  0  0  0 
 27  132.7  3.1  -4.4  2.6  48.5  126.2  6.0  -1.4  5.1  184.5  6211  13.4956  6211  13.3452 
 28  128.1  2.7  -3.6  3.2  80.8  122.2  0.9  1.1  1.1  10.1  1149  13.3322  1121  13.5864 
 29  122.8  2.4  -0.7  1.6  20.1  126.7  4.2  1.4  2.8  57.8  0 0 0 0
 30  126.1  2.4  -2.4  1.7  21.1  121.5  4.8  0.7  3.3  70.1  0 0 0 0
 31  124.8  3.1  -0.4  2.9  66.3  124.4  4.3  -3.0  4.2  130.9  4192  14.0303  4281  13.7618 
 32  125.5  2.4  -0.2  2.1  33.4  122.7  3.2  -2.9  2.9  59.7  0 0 0 0
 33  119.0  1.2  3.3  1.6  21.9  121.1  1.6  2.6  2.1  34.2  0 0 0 0
 34  118.9  3.4  7.2  5.3  231.4  126.1  2.7  1.4  4.0  126.5  283  13.8004  281  12.4376 
 35  126.4  3.1  -4.9  2.9  66.2  123.0  2.7  1.7  2.6  40.8  0 0 0 0
 36  126.6  4.2  -4.7  6.3  185.9  123.1  5.5  2.2  10.2  860.7  849  13.1039  955  12.9468 
 37  123.9  3.4  -2.3  6.1  305.7  119.6  1.5  6.3  2.6  54.4  6029  13.1633  6024  13.2909 
 38  117.1  3.2  2.0  4.8  181.9  122.8  3.1  -4.5  4.6  163.8  774  12.4467  774  12.9854 
 39  122.3  2.7  1.3  3.1  75.9  119.1  2.5  -5.6  3.0  62.3  444  13.1573  402  12.003 
 40  124.3  1.4  1.0  1.8  26.4  120.9  1.0  1.5  1.3  12.8  0 0 0 0
 41  123.5  2.7  -5.5  2.2  33.4  125.9  5.2  -0.6  4.0  112.7  0 0 0 0
 42  121.0  1.5  3.9  2.0  33.3  117.1  4.4  7.9  5.8  292.1  0 0 0 0
 43  118.9  1.9  4.6  2.3  44.2  122.6  1.8  1.9  2.2  38.5  0 0 0 0
 44  125.8  1.9  -3.7  1.9  29.3  116.4  3.3  3.3  3.5  98.8  0 0 0 0
 45  126.1  5.8  -4.0  7.8  472.4  121.5  1.9  -0.8  2.6  52.5  5935  13.6802  5949  13.7915 
 46  118.0  2.5  3.9  3.1  76.5  118.9  3.2  1.9  3.9  124.2  3957  14.0557  3958  13.3248 
 47  127.5  4.5  3.1  6.1  300.3  134.9  3.8  -13.3  5.2  192.6  349  14.1611  349  13.5701 
 48  118.6  2.1  -2.4  3.4  91.3  116.2  1.3  7.7  2.1  36.4  6107  12.4185  6096  13.2949 
 49  124.9  3.6  2.6  4.9  204.6  126.4  2.3  -5.2  3.2  83.5  2337  12.7182  2281  12.8603 
 50  121.3  1.8  3.0  2.6  61.6  116.5  1.2  3.7  1.7  24.6  2186  13.5887  2192  12.7867 
 51  120.8  1.5  0.0  2.3  43.0  118.9  1.0  -1.9  1.7  22.5  5082  12.2187  5076  12.0566 
 52  119.3  2.5  -0.4  3.4  89.9  123.9  2.5  0.2  3.3  90.3  4768  13.5356  4799  12.541 
 53  120.9  0.8  5.5  1.1  10.7  121.4  1.7  -0.5  2.3  44.6  308  13.2662  323  13.7135 
 54  116.1  1.6  3.4  1.8  25.4  121.5  1.5  -0.5  1.7  20.9  6181  13.163  6196  12.6856 
 55  122.8  2.5  1.4  3.3  90.6  120.3  1.7  2.0  2.3  44.4  209  13.3415  215  13.9599 
 56  118.1  3.4  6.7  5.6  268.3  126.0  1.9  -4.4  3.0  75.1  769  13.208  778  12.093 
 57  121.0  1.1  2.0  1.4  14.9  119.9  3.0  -0.5  2.4  12.0  6166  12.7993  6151  12.6334 
 58  121.9  0.3  -1.7  0.5  2.5  125.2  3.7  -0.2  6.1  304.2  5435  12.8199  5520  12.6684 
 59  120.1  2.0  3.7  2.8  67.0  121.6  1.8  -5.3  2.6  52.0  5339  13.2791  5368  12.5726 
 60  121.7  3.2  5.0  5.3  235.8  118.8  6.0  3.9  10.5  939.5  6207  12.7214  6215  12.878 
 61  120.5  2.3  0.4  3.2  84.9  124.6  1.2  -2.7  1.6  20.2  0 0 0 0
 62  120.0  1.2  -2.3  1.6  19.9  120.3  1.3  -1.4  1.7  24.4  424  12.2313  446  13.0249 
 63  125.0  1.2  -1.9  1.3  14.1  119.2  0.5  0.7  0.6  2.5  452  12.9152  412  13.2713 
 64  119.9  1.2  1.0  0.9  4.0  121.1  4.5  8.4  2.8  19.2  0 0 0 0
 65  115.5  2.9  3.3  2.3  26.9  119.2  4.7  1.3  3.8  71.3  1784  12.8846  1720  12.3212 
 66  120.0  1.3  0.9  0.9  4.2  122.8  1.4  4.1  1.0  4.9  0 0 0 0
 67  118.6  2.2  -1.8  1.8  15.5  125.1  4.6  0.2  3.5  55.3  0 0 0 0
