Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 1006
1 729
2 740
3 725
4 730
5 729
6 745
7 742
8 732
9 735
10 710
11 710
12 741
13 735
14 730
15 745
16 745
17 758
18 746
19 757
20 742
21 732
22 747
23 746
24 733
25 756
26 744
27 756
28 743
29 723
30 762
31 748
32 766
33 743
34 751
35 746
36 760
37 747
38 757
39 755
40 755
41 764
42 746
43 755
44 751
45 759
46 752
47 752
48 752
49 735
50 747
51 747
52 755
53 728
54 746
55 750
56 734
57 744
58 746
59 744
60 753
61 757
62 750
63 752
64 953
65 775
66 777
67 777
68 775
69 756
70 780
71 784
72 770
73 779
74 772
75 767
76 778
77 778
78 777
79 780
80 792
81 788
82 784
83 786
84 799
85 783
86 789
87 768
88 773
89 778
90 779
91 783
92 789
93 786
94 792
95 786
96 997
97 760
98 793
99 911
100 784
101 729
102 799
103 794
104 797
105 794
106 775
107 796
108 798
109 792
110 801
111 804
112 992
113 763
114 773
115 748
116 749
117 750
118 755
119 762
120 749
121 751
122 750
123 755
124 742
125 751
126 747
127 750
