Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 86.4 2.6 86.9 2.3 94.0 1.4 96.9 1.2 
1 78.3 2.6 83.0 2.5 92.4 1.2 89.7 1.1 
2 83.7 2.3 82.7 2.5 92.9 1.2 97.1 1.2 
3 84.4 2.4 85.0 2.4 97.2 1.3 93.4 1.1 
4 87.8 2.4 94.0 2.5 92.0 1.4 94.8 1.2 
5 90.7 2.2 85.0 2.5 92.8 1.2 89.5 1.2 
6 87.5 2.3 84.9 2.5 86.9 1.3 93.9 1.3 
7 91.2 2.3 90.6 2.5 94.1 1.2 96.0 1.1 
8 87.0 2.4 86.1 2.6 94.1 1.2 96.4 1.0 
9 90.7 2.3 87.4 2.4 96.8 1.1 90.9 1.4 
10 89.2 2.4 88.4 2.4 90.5 1.4 85.4 1.3 
11 79.0 2.4 78.2 2.7 89.6 1.4 93.3 1.3 
12 90.1 2.6 90.5 2.2 92.8 1.2 89.5 1.1 
13 81.1 2.5 84.6 2.2 90.9 1.4 92.9 1.1 
14 93.0 2.4 85.0 2.4 98.2 1.4 93.2 1.2 
15 87.6 2.4 82.2 2.4 99.7 1.1 96.3 1.2 
16 61.5 2.5 60.6 2.4 65.6 1.4 66.8 1.2 
17 62.8 2.4 63.7 2.5 67.6 1.2 65.6 1.1 
18 65.3 2.4 64.0 2.5 72.3 1.2 67.4 1.2 
19 59.8 2.5 62.4 2.8 65.9 1.3 68.8 1.2 
20 60.7 2.7 60.1 2.5 67.2 1.5 71.8 1.0 
21 62.9 2.6 60.7 2.5 62.4 1.2 67.0 1.1 
22 56.0 2.5 61.1 2.5 70.1 1.2 68.0 1.5 
23 59.0 2.6 59.9 2.5 61.7 1.3 67.8 1.2 
24 55.8 2.5 60.6 2.5 61.7 1.2 63.8 1.2 
25 56.8 2.5 56.5 2.5 65.4 1.2 66.9 1.2 
26 54.2 2.6 57.1 2.5 64.9 1.3 61.5 1.1 
27 59.0 2.6 61.8 2.5 66.9 1.2 64.9 1.1 
28 54.3 2.6 57.5 2.6 60.7 1.2 64.9 1.2 
29 55.2 2.5 58.8 2.6 66.8 1.2 64.2 1.2 
30 50.4 2.5 55.4 2.5 66.9 1.3 63.1 1.4 
31 55.6 2.7 54.1 2.7 58.9 1.3 62.6 1.3 
32 73.7 3.2 78.4 3.1 84.6 1.2 79.8 1.5 
33 74.9 2.9 71.0 3.0 84.5 1.2 80.9 1.2 
34 79.7 2.8 73.5 3.0 80.3 1.2 83.7 1.2 
35 74.5 2.8 78.1 2.9 79.8 1.2 75.9 1.3 
36 80.7 3.0 81.6 3.1 81.2 1.3 85.2 1.5 
37 72.0 2.6 75.6 2.7 83.5 1.5 83.1 1.3 
38 73.4 3.4 76.8 3.4 83.7 1.2 80.8 1.2 
39 76.9 2.6 76.7 2.6 78.8 1.5 82.9 1.3 
40 73.9 2.7 79.1 2.8 83.2 1.3 81.6 1.2 
41 81.0 3.0 75.5 2.7 80.7 1.3 77.7 1.2 
42 72.4 2.8 73.9 3.0 81.5 1.3 83.2 1.2 
43 79.3 2.8 72.5 3.0 77.7 1.4 81.6 1.4 
44 77.2 3.0 74.9 2.9 85.4 1.4 83.5 1.6 
45 77.6 2.7 76.0 2.6 85.6 1.3 79.3 1.3 
46 75.4 2.9 77.3 2.6 79.7 1.2 77.8 1.2 
47 72.3 2.8 74.8 2.7 82.3 1.3 81.8 1.3 
48 81.0 2.2 83.5 2.3 85.1 1.2 87.1 1.1 
49 81.8 2.3 85.3 2.1 89.2 1.3 92.6 1.4 
50 80.2 2.3 80.7 2.3 88.3 1.4 87.5 1.1 
51 77.2 2.4 79.1 2.3 84.7 1.2 81.8 1.2 
52 79.5 2.2 77.1 2.4 89.9 1.3 83.0 1.3 
53 82.1 2.2 76.4 2.3 87.8 1.2 84.9 1.1 
54 77.0 2.1 80.0 2.2 91.7 1.1 89.1 1.1 
55 78.1 2.2 81.9 2.5 87.8 1.2 91.7 1.1 
56 86.4 2.2 79.7 2.3 84.6 1.3 87.7 1.0 
57 76.5 2.3 81.1 2.2 89.7 1.4 83.7 1.3 
58 80.2 2.1 81.8 2.2 86.0 1.2 87.1 1.1 
59 80.7 2.3 84.0 2.2 87.6 1.3 90.5 1.1 
60 80.6 2.3 74.5 2.2 83.3 1.3 88.1 1.1 
61 79.4 2.4 76.3 2.3 84.5 1.2 87.4 1.1 
62 81.3 2.5 77.8 2.3 87.0 1.2 85.1 1.1 
63 77.5 2.5 80.2 2.6 84.7 1.3 79.8 1.2 
64 71.9 1.9 68.7 2.0 75.0 1.2 73.2 1.0 
65 72.2 1.9 70.3 1.9 72.8 1.2 69.0 1.0 
66 73.7 1.9 71.2 1.9 72.9 1.1 78.3 1.2 
67 71.3 2.0 74.4 1.9 71.2 1.2 71.2 1.1 
68 71.9 1.9 71.8 2.0 68.0 1.1 72.9 1.1 
69 74.3 1.9 73.7 2.0 74.4 1.2 72.8 1.0 
70 67.5 1.9 69.8 2.0 70.8 1.3 71.9 0.9 
71 69.6 2.1 67.2 2.0 71.8 1.3 75.0 1.1 
72 73.7 2.1 72.9 2.1 74.0 1.3 72.3 1.3 
73 72.7 2.0 75.8 2.1 67.8 1.1 71.5 1.1 
74 70.0 2.0 68.3 2.0 73.4 1.3 72.3 1.0 
75 69.6 2.0 67.9 2.1 76.6 1.1 79.0 1.0 
76 67.3 2.0 69.0 2.0 71.6 1.1 71.7 1.1 
77 69.8 2.1 70.9 2.0 78.3 1.2 73.6 1.2 
78 68.1 1.9 61.0 2.0 69.6 1.2 69.2 1.1 
79 66.2 1.9 65.5 2.2 67.6 1.3 70.5 1.1 
80 65.0 3.7 65.2 3.8 79.5 1.2 77.1 1.1 
81 69.7 2.2 65.5 2.2 73.0 1.1 73.3 1.1 
82 62.8 2.7 68.9 2.7 71.4 1.2 75.3 1.1 
83 66.4 2.1 65.1 2.1 71.6 1.1 70.0 1.1 
84 70.0 2.3 72.0 2.2 73.1 1.1 75.1 1.0 
85 69.5 2.0 67.1 1.9 71.9 1.1 67.4 1.3 
86 65.0 2.1 68.4 2.3 72.3 1.1 78.4 1.2 
87 60.4 1.8 69.2 1.9 70.5 1.3 72.4 0.9 
88 68.5 1.9 68.1 2.1 75.0 1.2 67.0 1.3 
89 64.4 2.0 69.0 1.9 74.7 1.1 72.0 1.3 
90 64.8 1.9 67.5 1.9 69.7 1.2 73.7 1.4 
91 67.4 1.8 66.7 2.1 76.7 1.0 78.6 1.1 
92 70.8 1.8 68.5 1.9 71.9 1.2 67.4 1.3 
93 63.9 2.0 66.3 1.9 66.7 1.3 68.1 1.0 
94 62.2 1.9 66.1 2.0 73.5 1.4 69.0 1.0 
95 69.1 1.9 67.6 1.9 71.2 1.2 75.2 1.1 
96 70.4 2.2 69.3 2.0 76.5 1.1 78.9 1.1 
97 73.3 2.0 74.6 2.0 68.8 1.1 71.6 1.0 
98 74.4 1.9 73.2 2.2 73.9 1.2 75.3 1.2 
99 71.8 2.0 68.9 2.2 79.2 1.2 76.4 1.2 
100 72.1 2.0 70.6 2.2 73.4 1.4 72.5 1.1 
101 69.6 2.0 69.1 2.2 73.8 1.2 75.9 1.1 
102 77.2 2.1 74.5 2.0 76.1 1.1 73.8 1.1 
103 72.1 2.0 67.7 2.1 76.2 1.1 73.8 1.1 
104 73.3 2.0 72.3 2.2 78.5 1.1 76.4 1.0 
105 69.0 2.2 69.3 1.9 72.8 1.1 76.4 1.1 
106 67.7 2.2 68.8 1.9 75.7 1.1 72.3 1.1 
107 71.8 1.9 71.2 2.2 73.7 1.2 74.2 1.4 
108 69.3 2.1 75.9 1.9 80.0 1.1 77.0 1.1 
109 69.0 2.0 73.6 2.0 72.8 1.2 72.1 1.5 
110 70.7 2.2 70.0 2.0 70.5 1.4 72.0 1.1 
111 70.8 2.0 74.5 2.0 72.7 1.2 74.9 1.1 
112 66.4 2.1 64.7 2.0 70.0 1.2 69.6 1.1 
113 68.7 2.0 71.9 2.0 75.5 1.1 72.4 1.0 
114 66.5 2.1 67.6 2.1 66.4 1.2 67.8 1.0 
115 67.4 2.0 65.0 2.1 69.2 1.2 71.5 1.1 
116 71.0 2.1 64.9 2.1 68.1 1.3 65.7 1.1 
117 65.9 2.0 66.8 1.9 70.3 1.3 68.2 1.0 
118 64.5 2.0 70.4 2.0 70.7 1.2 71.4 1.1 
119 66.6 2.1 65.1 1.9 73.0 1.3 69.9 1.1 
120 65.2 2.1 59.7 2.2 73.0 1.1 74.9 1.1 
121 62.8 2.1 65.4 2.0 71.9 1.1 69.6 1.0 
122 70.8 2.1 70.2 2.0 70.5 1.2 68.7 1.1 
123 61.1 2.1 63.6 2.0 69.9 1.2 71.8 1.0 
124 71.2 2.0 67.9 2.2 69.1 1.3 68.0 1.0 
125 62.2 2.0 59.9 2.0 68.8 1.1 68.3 1.0 
126 58.3 2.2 62.6 2.1 62.7 1.3 67.5 1.2 
127 60.4 2.2 66.3 2.1 72.8 1.1 72.7 1.0 
