Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
88 68.3 2.1 67.0 2.3 75.8 1.1 73.2 1.0 
89 72.2 2.1 67.3 2.1 76.5 1.1 76.5 1.5 
90 63.5 2.0 67.4 2.0 72.8 1.2 78.5 1.2 
91 65.9 2.1 69.9 2.1 79.0 1.1 77.3 1.1 
92 69.5 2.0 66.5 2.2 72.9 1.3 69.7 1.1 
93 67.0 2.0 65.8 2.0 68.9 1.4 66.9 1.4 
94 71.2 1.9 69.9 1.9 75.0 1.2 71.6 1.1 
95 66.7 2.0 71.1 2.2 70.9 1.3 76.3 1.1 
96 81.9 2.2 85.0 1.9 87.3 1.1 85.3 1.0 
97 81.0 2.0 79.4 2.0 86.2 1.1 89.3 1.2 
98 90.4 2.1 87.3 1.9 85.8 1.2 87.8 0.9 
99 82.1 2.0 84.2 1.9 83.3 1.2 90.2 1.4 
100 90.9 1.9 85.3 1.9 91.8 1.1 89.5 1.1 
101 86.6 2.0 88.5 2.0 87.3 1.3 90.4 1.1 
102 83.6 2.1 81.7 2.0 83.5 1.3 91.2 1.1 
103 88.4 2.0 88.5 1.9 91.7 1.1 89.8 1.1 
104 80.7 2.1 82.9 2.1 91.5 1.1 91.5 1.0 
105 83.8 1.9 84.3 2.1 82.4 1.1 84.1 1.1 
106 80.2 2.1 85.3 2.0 88.9 1.2 82.5 1.3 
107 89.8 2.2 91.3 2.0 86.2 1.3 80.0 1.1 
108 85.4 1.9 85.4 2.0 85.9 1.3 87.2 1.1 
109 84.4 2.0 88.3 2.2 91.2 1.1 86.9 1.4 
110 80.1 1.9 81.8 2.0 91.1 1.1 89.3 1.1 
111 81.5 2.0 82.6 1.9 96.8 1.2 89.1 1.3 
112 75.8 2.0 72.9 2.0 77.6 1.1 80.3 1.0 
113 66.1 1.9 80.2 1.9 74.0 1.4 77.4 1.4 
114 75.0 2.1 77.2 2.0 80.8 1.1 82.9 1.0 
115 75.0 1.8 75.3 1.9 84.2 1.1 77.5 1.2 
116 81.0 2.1 79.5 1.9 81.4 1.2 85.0 1.1 
117 80.2 1.8 80.4 1.8 80.3 1.0 78.1 1.2 
118 80.8 1.8 83.8 1.8 79.9 1.1 79.9 1.0 
119 80.0 1.9 79.1 1.8 79.5 1.1 77.2 1.1 
120 77.1 1.9 78.9 2.0 77.6 1.1 79.0 1.1 
121 75.3 2.0 76.3 1.8 81.2 1.1 83.6 1.0 
122 77.1 1.9 80.6 2.0 82.1 1.4 80.2 1.2 
123 72.5 2.0 74.6 1.9 82.5 1.1 81.5 1.1 
124 75.7 2.0 79.3 1.9 80.8 1.1 83.6 1.0 
125 76.4 2.0 78.4 2.0 79.1 1.3 83.2 1.1 
126 80.0 1.9 74.1 2.0 88.4 1.2 80.9 1.2 
127 77.6 1.9 76.0 2.1 77.2 1.1 81.7 1.3 
