Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 729
1 746
2 748
3 743
4 747
5 725
6 749
7 755
8 740
9 747
10 751
11 679
12 732
13 750
14 756
15 746
16 776
17 768
18 779
19 775
20 764
21 769
22 774
23 740
24 754
25 773
26 768
27 760
28 763
29 767
30 759
31 771
32 763
33 761
34 772
35 767
36 777
37 762
38 765
39 765
40 762
41 763
42 765
43 767
44 771
45 762
46 765
47 766
48 754
49 746
50 751
51 742
52 752
53 747
54 751
55 765
56 753
57 749
58 759
59 762
60 742
61 753
62 754
63 758
64 802
65 796
66 780
67 796
68 785
69 784
70 793
71 793
72 784
73 781
74 781
75 801
76 787
77 782
78 779
79 799
80 712
81 719
82 712
83 731
84 712
85 699
86 696
87 722
88 709
89 718
90 712
91 726
92 706
93 672
94 716
95 710
96 773
97 699
98 774
99 777
100 775
101 707
102 779
103 756
104 780
105 773
106 785
107 776
108 773
109 756
110 771
111 782
112 733
113 736
114 743
115 733
116 731
117 917
118 736
119 721
120 736
121 729
122 721
123 743
124 733
125 730
126 737
127 746
