Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 34 923
1 36 939
2 25 927
3 29 943
4 17 923
5 13 928
6 34 928
7 36 982
8 21 919
9 35 921
10 29 923
11 35 935
12 23 914
13 29 916
14 31 939
15 33 914
16 33 990
17 31 921
18 19 933
19 32 935
20 29 917
21 25 969
22 35 929
23 9 920
24 35 929
25 29 917
26 25 926
27 11 911
28 25 965
29 32 916
30 9 931
31 9 908
32 39 946
33 38 960
34 34 957
35 35 943
36 28 938
37 42 956
38 41 967
39 40 949
40 30 932
41 38 963
42 40 943
43 34 944
44 35 969
45 35 955
46 43 948
47 57 957
48 19 989
49 47 944
50 48 943
51 45 943
52 31 950
53 42 946
54 35 953
55 41 958
56 42 949
57 46 950
58 46 943
59 19 937
60 51 947
61 45 948
62 51 942
63 52 943
64 28 929
65 22 914
66 21 921
67 22 933
68 23 922
69 23 921
70 18 925
71 15 919
72 32 939
73 24 932
74 28 934
75 24 917
76 31 923
77 28 937
78 33 930
79 35 944
80 53 974
81 39 960
82 38 957
83 42 967
84 44 952
85 51 957
86 51 960
87 45 961
88 50 962
89 54 969
90 47 959
91 38 957
92 38 972
93 43 961
94 37 941
95 55 965
96 29 943
97 27 929
98 22 931
99 31 937
100 17 951
101 25 932
102 33 934
103 28 930
104 26 921
105 19 932
106 24 921
107 24 923
108 27 928
109 27 931
110 25 951
111 38 938
112 45 962
113 47 958
114 45 948
115 39 948
116 47 999
117 49 945
118 54 951
119 6 956
120 53 954
121 46 953
122 48 948
123 38 964
124 40 952
125 49 962
126 54 954
127 54 953
