Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 799
1 804
2 804
3 815
4 791
5 790
6 800
7 812
8 809
9 811
10 789
11 803
12 806
13 798
14 804
15 810
16 774
17 767
18 776
19 768
20 770
21 774
22 759
23 774
24 775
25 771
26 781
27 769
28 763
29 754
30 762
31 780
32 732
33 766
34 766
35 760
36 763
37 767
38 765
39 773
40 762
41 739
42 756
43 758
44 759
45 744
46 771
47 766
48 792
49 784
50 795
51 787
52 795
53 794
54 790
55 787
56 787
57 788
58 792
59 797
60 790
61 791
62 784
63 789
64 752
65 766
66 855
67 754
68 764
69 763
70 761
71 763
72 776
73 757
74 742
75 759
76 763
77 763
78 762
79 769
80 732
81 735
82 737
83 732
84 723
85 735
86 727
87 733
88 722
89 731
90 728
91 736
92 741
93 655
94 741
95 745
96 786
97 796
98 804
99 794
100 792
101 785
102 735
103 804
104 804
105 783
106 800
107 790
108 799
109 790
110 812
111 809
112 1021
113 1014
114 796
115 1006
116 792
117 794
118 945
119 792
120 793
121 783
122 785
123 796
124 785
125 795
126 800
127 793
