Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 76.0 2.3 72.8 2.4 79.9 1.3 85.2 1.2 
1 79.5 2.2 78.3 2.5 80.9 1.2 85.1 1.1 
2 70.5 2.3 77.5 2.3 78.5 1.2 84.0 1.1 
3 75.0 2.3 74.6 2.4 79.6 1.3 85.3 1.1 
4 77.3 2.3 79.0 2.3 77.6 1.2 86.7 1.3 
5 76.2 2.2 78.0 2.2 78.9 1.2 81.1 1.1 
6 78.4 2.5 76.1 2.3 81.0 1.4 84.1 1.1 
7 77.6 2.3 77.7 2.2 84.5 1.2 84.3 1.2 
8 73.4 2.6 75.3 2.6 85.7 1.1 80.2 1.2 
9 77.3 2.4 75.8 2.5 83.8 1.4 86.0 1.2 
10 78.9 2.3 75.0 2.5 91.8 1.3 87.5 1.4 
11 74.5 2.4 78.2 2.2 85.4 1.1 81.8 1.1 
12 74.4 2.3 72.8 2.4 82.0 1.4 79.1 1.3 
13 73.9 2.4 70.0 2.4 80.8 1.2 75.2 1.3 
14 75.7 2.2 75.1 2.3 80.5 1.5 81.3 1.5 
15 73.5 2.3 77.0 2.2 92.0 1.3 85.8 1.2 
16 79.5 2.0 77.0 1.9 84.4 1.5 87.0 1.2 
17 76.6 2.2 85.3 2.1 84.6 1.3 88.1 1.2 
18 80.0 2.1 78.4 1.9 86.8 1.2 87.9 1.1 
19 83.1 2.0 80.6 2.1 85.6 1.2 88.8 1.0 
20 83.0 2.1 78.6 2.2 84.1 1.2 81.6 1.1 
21 81.6 2.1 79.0 2.0 86.0 1.1 88.5 1.0 
22 73.7 2.2 74.3 2.0 84.9 1.3 89.4 1.3 
23 72.6 2.2 74.2 2.3 78.7 1.3 86.7 1.2 
24 73.3 2.1 75.0 1.9 83.0 1.3 83.8 1.1 
25 86.7 2.0 78.8 2.0 84.6 1.2 82.8 1.1 
26 74.1 2.1 71.4 2.2 87.4 1.2 88.2 1.0 
27 79.0 2.0 78.9 2.2 89.0 1.1 92.0 1.1 
28 74.9 2.2 72.0 2.0 88.1 1.1 82.6 1.3 
29 73.6 2.2 72.1 2.2 82.1 1.2 84.1 1.2 
30 72.3 2.1 75.6 2.0 86.5 1.2 80.3 1.3 
31 67.7 2.0 73.8 2.0 79.4 1.3 83.5 1.4 
32 88.1 3.1 83.4 3.1 98.2 1.2 100.0 1.1 
33 87.2 2.5 86.5 2.5 91.6 1.4 94.6 1.5 
34 84.2 2.9 89.4 2.7 90.6 1.3 92.2 1.1 
35 88.8 2.4 94.9 2.4 95.3 1.3 93.4 1.1 
