Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 6 999
1 6 999
2 7 999
3 5 999
4 7 999
5 9 999
6 14 999
7 10 999
8 6 999
9 6 999
10 7 999
11 6 999
12 9 998
13 8 999
14 5 999
15 7 999
16 8 999
17 7 999
18 5 999
19 6 999
20 5 998
21 5 998
22 7 999
23 7 999
24 5 999
25 6 999
26 5 999
27 5 999
28 5 999
29 11 999
30 7 999
31 6 999
32 5 999
33 6 999
34 5 998
35 5 999
36 7 998
37 6 999
38 5 995
39 5 999
40 5 998
41 6 998
42 6 997
43 5 997
44 5 997
45 15 999
46 7 994
47 5 999
48 5 999
49 6 995
50 7 999
51 14 997
52 8 999
53 7 998
54 10 996
55 8 998
56 6 995
57 7 999
58 10 998
59 6 997
60 9 993
61 10 991
62 13 991
63 5 998
64 44 948
65 50 948
66 52 939
67 53 952
68 53 952
69 34 931
70 65 957
71 45 987
72 56 938
73 56 948
74 55 944
75 61 961
76 50 931
77 61 948
78 55 950
79 51 942
80 31 953
81 40 953
82 38 948
83 40 958
84 24 941
85 28 937
86 39 947
87 35 987
88 26 920
89 29 946
90 34 953
91 25 942
92 28 958
93 41 957
94 48 951
95 38 957
96 43 960
97 49 955
98 58 970
99 44 958
100 47 958
101 52 943
102 59 956
103 52 950
104 41 967
105 57 969
106 52 955
107 52 952
108 48 942
109 60 955
110 56 953
111 35 959
112 28 944
113 22 933
114 36 934
115 35 928
116 30 941
117 36 940
118 29 918
119 34 933
120 37 945
121 38 926
122 42 931
123 39 933
124 31 914
125 36 934
126 39 928
127 39 936
