Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  129.5  3.2  -7.9  3.0  64.4  126.3  0.9  -1.9  0.8  5.1  6103  14.2106  6087  13.2132 
 1  129.3  3.8  -9.7  3.3  77.5  141.3  6.0  -7.0  3.9  45.7  2855  13.5822  2761  14.298 
 2  118.9  1.5  5.2  1.2  12.8  120.7  1.9  -2.2  1.6  19.4  517  13.6859  517  14.8702 
 3  125.9  2.8  -2.5  2.5  47.4  120.7  1.8  0.0  1.6  20.2  4062  13.5543  4038  13.7157 
 4  121.3  2.4  2.8  2.5  52.0  121.9  2.0  -4.7  2.2  37.5  6056  13.1643  6074  12.979 
 5  115.7  4.1  2.4  2.8  64.1  121.4  1.8  -4.4  1.3  11.8  6114  13.0827  6105  13.0838 
 6  114.7  3.3  1.6  2.6  55.8  121.0  1.9  -1.8  1.5  17.1  0 0 0 0
 7  125.5  3.1  -5.5  3.8  115.4  118.2  2.3  0.3  2.3  24.5  248  13.9846  247  13.0711 
 8  124.1  2.9  -0.4  2.0  28.6  126.1  1.2  -3.1  0.9  5.3  0 0 0 0
 9  126.4  2.6  -7.3  2.2  34.4  123.1  1.7  3.6  1.4  15.2  4319  14.0626  4338  14.2729 
 10  126.8  2.7  -5.7  2.9  64.3  123.9  2.2  -0.7  2.4  42.5  6216  13.1607  6224  13.2103 
 11  117.3  3.4  1.6  2.6  54.9  118.6  3.5  2.7  2.6  50.7  0 0 0 0
 12  122.2  4.4  0.7  2.9  59.8  122.8  3.1  -1.4  2.0  29.2  0 0 0 0
 13  121.8  3.3  1.9  2.1  32.0  125.9  1.2  -0.7  0.8  3.8  6120  13.5953  6117  13.8693 
 14  126.0  4.4  -10.0  3.6  91.1  123.1  5.1  -1.2  4.0  115.2  0 0 0 0
 15  122.3  2.2  -2.4  2.1  32.6  119.5  3.1  -0.7  2.9  64.1  764  14.6302  799  15.0854 
 16  125.2  4.0  4.2  4.8  199.4  112.8  5.0  2.0  6.5  325.9  4338  13.608  4326  13.4238 
 17  125.2  3.1  -4.1  3.9  111.9  128.6  4.1  1.0  4.9  189.0  1062  13.4266  1026  14.0407 
 18  122.7  4.6  -3.1  4.9  181.5  121.5  1.8  1.4  1.8  26.6  334  12.4268  340  13.5342 
 19  126.0  1.2  -4.3  1.1  9.3  124.7  0.9  -2.2  0.8  5.3  0 0 0 0
 20  123.0  5.7  -2.1  4.5  160.2  119.4  4.1  0.1  3.4  82.8  478  13.1391  494  13.1817 
 21  118.2  2.8  1.7  3.1  77.5  129.2  1.9  7.5  1.8  29.6  4013  13.8396  3998  13.8858 
 22  115.7  2.4  4.3  2.2  40.8  122.1  1.1  2.8  0.9  6.9  0  0  0  0 
 23  116.9  4.7  4.8  3.3  86.3  125.8  1.7  0.2  1.2  10.6  0 0 0 0
 24  125.2  4.2  0.8  5.4  226.1  124.3  4.1  -1.9  5.2  198.7  6150  13.7419  6175  13.2511 
 25  123.0  1.6  2.0  2.2  38.6  116.8  1.9  5.6  2.6  55.9  5714  13.4522  5710  13.4613 
 26  122.8  2.2  -2.9  2.2  37.0  128.2  3.4  -4.8  3.3  84.4  0  0  0  0 
 27  126.1  3.9  -2.6  3.3  77.3  122.2  5.0  1.1  4.3  129.5  6138  13.4899  6124  13.6265 
 28  125.5  4.4  -0.1  5.3  221.1  121.7  4.0  2.7  4.8  182.9  1232  13.9163  1280  13.6294 
 29  131.4  4.2  -5.0  2.9  63.6  127.4  4.8  2.4  3.2  74.8  0 0 0 0
 30  126.2  1.0  -5.3  0.7  3.9  120.3  3.5  0.6  2.4  36.8  0 0 0 0
