Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 64.9 2.3 59.2 2.4 67.2 1.3 67.3 1.2 
1 62.4 2.4 67.9 2.2 66.0 1.3 68.2 1.1 
2 63.9 2.3 62.3 2.2 70.7 1.3 69.0 1.0 
3 64.2 2.3 67.6 2.3 62.7 1.3 64.5 1.1 
4 61.3 2.4 65.5 2.3 66.8 1.4 68.4 1.1 
5 57.8 2.3 62.7 2.3 68.2 1.2 67.5 1.1 
6 62.0 2.2 64.3 2.1 66.7 1.4 69.6 1.3 
7 57.7 2.2 61.1 2.3 72.1 1.2 66.2 1.5 
8 61.6 2.6 63.3 2.4 75.3 1.2 73.9 1.1 
9 58.1 2.5 61.3 2.5 64.9 1.2 67.0 1.1 
10 60.8 2.4 66.0 2.4 66.0 1.3 70.1 1.2 
11 59.4 2.5 62.9 2.5 66.7 1.4 69.4 1.5 
12 61.5 2.4 59.0 2.4 64.4 1.2 67.8 1.1 
13 61.2 2.4 57.1 2.2 69.8 1.3 68.3 1.1 
14 58.4 2.5 62.2 2.2 69.3 1.3 62.7 1.4 
15 56.6 2.4 59.0 2.5 67.5 1.3 65.2 1.3 
16 66.3 2.7 67.7 2.6 76.2 1.4 78.8 1.2 
17 70.3 2.5 67.1 2.6 68.8 1.2 71.2 1.2 
18 66.2 2.5 66.1 2.5 77.9 1.3 79.7 1.2 
19 58.7 2.8 65.8 2.5 79.0 1.3 74.3 1.2 
20 60.9 2.8 61.9 2.5 71.9 1.3 77.3 1.3 
21 65.8 2.6 63.8 2.7 77.6 1.3 71.5 1.2 
22 69.2 2.6 63.3 2.6 66.1 1.4 68.2 1.2 
23 58.5 2.6 62.4 2.7 72.8 1.3 68.3 1.2 
24 66.4 2.5 65.2 2.5 73.4 1.3 76.8 1.3 
25 64.4 2.5 62.5 2.7 74.7 1.4 80.7 1.3 
26 66.4 2.5 64.4 2.5 71.3 1.3 69.8 1.2 
27 65.9 2.7 67.5 2.7 81.1 1.3 74.7 1.4 
28 67.6 2.4 67.8 2.5 69.1 1.2 68.8 1.2 
29 65.6 2.6 63.2 2.6 71.6 1.3 68.5 1.2 
30 55.8 2.5 55.7 2.6 73.8 1.4 70.2 1.4 
31 62.9 2.8 58.2 2.5 74.5 1.3 77.3 1.4 
32 80.4 2.7 76.0 2.9 92.5 1.2 85.7 1.2 
33 79.3 2.5 81.6 2.6 83.6 1.2 91.3 1.1 
34 84.0 2.7 83.0 2.6 92.2 1.2 88.8 1.1 
35 78.4 2.4 75.6 2.5 83.5 1.4 87.8 1.1 
36 83.2 2.9 86.0 2.9 82.1 1.3 87.8 1.0 
37 75.4 2.4 79.8 2.3 85.3 1.2 87.6 1.1 
38 79.7 2.5 76.9 2.4 91.5 1.2 88.7 1.0 
39 80.9 2.2 77.9 2.4 85.2 1.3 82.2 1.1 
40 77.2 2.3 79.7 2.4 87.4 1.1 85.6 1.1 
41 75.5 2.4 74.5 2.7 82.2 1.4 84.3 1.4 
42 84.3 2.5 78.9 2.6 90.7 1.4 95.9 1.2 
43 82.5 2.3 79.7 2.3 88.1 1.1 91.3 1.1 
44 82.5 2.8 81.1 2.6 87.6 1.4 85.5 1.1 
45 70.4 2.4 77.7 2.3 85.4 1.2 84.9 1.0 
46 78.8 2.4 74.5 2.2 83.4 1.3 87.5 1.0 
47 79.6 2.5 74.7 2.2 84.2 1.3 80.6 1.1 
48 78.5 2.3 73.6 2.3 84.0 1.2 81.5 1.1 
49 75.9 2.5 75.8 2.3 79.2 1.2 82.6 1.2 
50 72.3 2.3 73.2 2.2 78.1 1.4 74.1 1.3 
51 73.3 2.5 71.0 2.4 82.3 1.4 74.2 1.3 
52 75.5 2.3 70.1 2.4 73.3 1.3 80.2 1.1 
53 77.2 2.4 73.3 2.3 77.0 1.2 79.8 1.1 
54 76.1 2.5 76.2 2.2 75.7 1.3 79.7 1.0 
