Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 89.1 2.1 91.5 2.4 93.3 1.2 96.2 1.0 
1 86.8 2.2 89.2 2.2 93.9 1.4 95.3 1.1 
2 83.1 2.1 90.7 2.1 99.9 1.0 97.6 1.1 
3 89.0 2.3 88.4 2.1 99.3 1.1 97.3 1.1 
4 98.6 2.3 103.9 2.4 96.1 1.3 93.5 1.1 
5 85.0 2.1 92.7 2.1 94.4 1.2 97.6 1.5 
6 95.2 2.2 92.5 2.3 94.6 1.5 98.1 1.3 
7 89.9 2.3 92.6 2.3 98.2 1.2 96.6 1.0 
8 83.0 2.4 87.6 2.5 92.6 1.2 96.1 1.1 
9 93.0 2.1 90.5 2.2 100.5 1.1 102.6 1.0 
10 90.5 2.3 86.7 2.5 92.4 1.1 95.3 1.1 
11 87.4 2.2 87.7 2.4 96.0 1.1 93.4 1.1 
12 86.0 2.3 84.4 2.4 93.5 1.2 96.6 1.3 
13 95.0 2.1 94.4 2.3 96.1 1.2 93.5 1.2 
14 93.5 2.1 93.7 2.1 93.3 1.2 97.3 1.5 
15 89.3 2.3 91.0 2.2 97.8 1.2 99.6 1.0 
16 81.6 2.2 76.2 2.2 89.5 1.3 91.3 1.1 
17 77.6 2.4 82.5 2.4 88.2 1.2 90.4 1.3 
18 87.5 2.3 89.9 2.4 91.0 1.2 89.4 1.3 
19 78.1 2.5 78.5 2.3 86.0 1.3 87.4 1.1 
20 79.4 2.5 82.4 2.3 91.4 1.2 88.8 1.2 
21 80.4 2.6 78.7 2.4 87.9 1.3 91.1 1.2 
22 91.0 2.5 82.4 2.4 87.8 1.2 88.0 1.5 
23 84.5 2.4 81.6 2.4 90.0 1.3 91.5 1.2 
24 81.0 2.3 83.7 2.5 86.0 1.3 88.6 1.5 
25 77.8 2.5 79.8 2.3 88.2 1.2 90.5 1.2 
26 75.1 2.3 75.9 2.2 88.6 1.3 90.4 1.2 
27 79.5 2.4 83.3 2.4 87.7 1.3 90.6 1.1 
28 78.3 2.5 80.9 2.5 85.4 1.3 88.7 1.6 
29 81.0 2.5 72.3 2.4 85.8 1.4 84.5 1.1 
30 75.7 2.4 72.3 2.3 88.4 1.3 79.0 1.3 
31 71.8 2.4 75.0 2.2 85.4 1.3 91.6 1.2 
32 82.4 2.8 76.9 3.0 90.9 1.2 88.7 1.2 
33 82.9 2.7 89.9 2.5 92.2 1.1 89.3 1.2 
34 91.3 2.7 87.6 2.6 85.6 1.2 87.6 1.4 
35 80.4 2.2 80.3 2.5 89.5 1.4 95.1 1.3 
36 89.8 2.9 87.7 2.7 86.4 1.4 89.0 1.6 
37 72.4 2.3 80.8 2.5 85.4 1.3 90.5 1.3 
38 84.0 2.6 83.1 2.6 87.4 1.2 92.6 1.2 
39 78.4 2.2 81.0 2.4 81.8 1.2 84.7 1.5 
40 79.9 2.6 81.9 2.4 87.5 1.1 85.2 1.0 
41 81.5 2.5 76.5 2.7 87.2 1.1 87.3 1.1 
42 77.3 2.8 78.0 2.6 85.1 1.2 89.1 1.5 
43 84.4 2.5 88.9 2.5 83.8 1.4 87.8 1.0 
44 75.8 2.6 81.1 2.6 92.3 1.1 87.4 1.2 
45 80.1 2.6 76.3 2.4 89.0 1.4 95.5 1.2 
46 80.4 2.5 75.1 2.3 87.2 1.3 90.1 1.2 
47 74.8 2.2 72.4 2.2 82.4 1.5 87.2 1.2 
48 61.4 2.5 60.1 2.5 67.7 1.1 66.1 1.1 
49 61.0 2.4 64.6 2.5 71.0 1.2 69.7 1.1 
50 62.1 2.6 62.7 2.5 67.5 1.4 68.0 1.5 
51 60.3 2.6 65.4 2.6 75.2 1.2 71.2 1.4 
52 65.1 2.7 67.5 2.5 68.0 1.2 72.5 1.2 
53 62.1 2.8 67.3 2.6 67.1 1.4 70.1 1.3 
54 64.6 2.5 63.2 2.7 67.4 1.2 65.4 1.2 
55 60.5 2.9 57.1 2.7 69.0 1.2 71.7 1.1 
56 62.7 2.5 63.9 2.6 73.8 1.4 69.8 1.2 
57 66.7 2.5 62.4 2.5 69.1 1.2 71.9 1.1 
58 65.7 2.4 61.0 2.5 71.0 1.2 71.0 1.2 
59 57.3 2.7 59.7 2.7 71.8 1.2 68.7 1.1 
60 63.9 2.5 61.5 2.6 66.2 1.2 68.2 1.6 
61 58.7 2.9 64.1 2.5 66.3 1.2 64.3 1.2 
62 61.9 2.8 61.7 2.7 66.5 1.4 69.2 1.4 
63 59.3 2.8 58.5 2.7 70.0 1.4 60.1 1.2 
64 74.2 1.9 70.2 2.1 78.7 1.1 77.0 1.0 
65 71.5 1.9 69.7 1.9 78.3 1.2 76.7 1.0 
66 67.2 2.1 72.9 2.0 71.7 1.1 69.7 1.1 
67 68.1 2.0 70.7 2.0 71.9 1.1 69.1 1.1 
68 67.3 2.0 72.8 2.1 74.6 1.2 76.1 1.4 
69 69.5 2.0 70.8 1.9 70.8 1.2 68.6 1.1 
70 72.7 2.1 73.6 2.0 72.9 1.1 77.8 1.3 
71 67.4 2.1 67.9 2.1 78.7 1.2 76.2 1.1 
72 67.6 2.1 71.1 1.9 76.3 1.1 76.5 1.4 
73 71.0 2.0 69.1 2.1 76.2 1.1 71.9 1.1 
74 67.3 2.1 67.5 2.0 75.7 1.1 71.9 1.1 
75 77.2 2.2 74.2 2.1 71.1 1.3 75.8 1.0 
76 73.1 1.9 74.9 2.0 79.3 1.1 76.3 1.0 
77 74.1 2.0 69.4 2.2 70.6 1.4 73.0 1.4 
78 71.1 2.1 65.9 2.0 74.4 1.2 72.0 1.2 
79 70.7 2.0 67.2 2.0 74.0 1.2 72.2 1.0 
80 68.2 3.8 67.9 3.9 71.7 1.5 76.2 1.1 
81 69.8 2.7 66.7 2.6 74.2 1.2 75.9 1.4 
82 71.5 2.9 63.2 3.0 73.8 1.3 75.6 1.1 
83 68.2 2.4 69.3 2.2 68.5 1.1 71.5 1.1 
84 70.2 2.7 68.4 2.7 75.0 1.3 72.5 1.2 
85 66.9 2.5 69.0 2.2 73.8 1.4 72.0 1.1 
86 66.7 2.5 63.9 2.6 71.6 1.2 68.1 1.3 
87 64.8 2.3 70.2 2.1 71.5 1.4 72.4 1.4 
88 68.0 2.4 60.8 2.3 78.4 1.3 72.5 1.3 
89 71.2 2.4 65.8 2.4 74.4 1.3 72.6 1.1 
90 69.4 2.2 65.9 2.2 77.8 1.4 69.0 1.3 
91 69.2 2.2 60.3 2.3 72.1 1.2 66.2 1.4 
92 68.4 2.2 70.5 2.3 73.9 1.4 69.4 1.3 
93 68.6 2.1 67.0 2.1 73.2 1.4 72.4 1.1 
94 65.3 2.2 67.2 2.4 75.0 1.3 75.5 1.1 
95 63.2 2.3 65.7 2.4 74.8 1.2 72.0 1.5 
96 81.8 2.3 81.8 2.6 82.5 1.4 80.1 1.5 
97 78.7 2.4 79.4 2.7 80.8 1.5 76.5 1.1 
98 80.4 2.4 78.0 2.6 80.9 1.3 83.3 1.1 
99 80.1 2.4 79.3 2.5 80.7 1.3 83.2 1.2 
100 85.5 2.4 79.9 2.4 87.3 1.2 81.1 1.3 
101 79.1 2.6 75.5 2.4 82.0 1.3 83.5 1.2 
102 74.6 2.6 76.6 2.5 76.5 1.3 81.2 1.4 
103 74.6 2.6 75.5 2.6 80.4 1.3 77.1 1.2 
104 76.3 2.5 73.1 2.6 84.8 1.2 78.5 1.4 
105 74.3 2.6 77.8 2.6 85.0 1.2 87.3 1.1 
106 80.7 2.4 79.4 2.4 84.2 1.2 81.1 1.2 
107 76.9 2.5 73.7 2.7 82.0 1.3 80.4 1.1 
108 76.1 2.4 74.9 2.8 80.2 1.2 77.4 1.2 
109 77.1 2.4 80.5 2.4 77.5 1.3 79.0 1.2 
110 70.1 2.6 75.8 2.4 79.1 1.3 77.3 1.2 
111 80.0 2.6 77.2 2.5 77.5 1.4 76.2 1.1 
112 71.7 2.0 82.9 2.1 78.0 1.4 76.8 1.1 
113 79.5 1.9 70.7 2.0 84.2 1.2 81.7 1.0 
114 82.6 2.0 76.3 2.0 80.3 1.3 76.6 1.1 
115 79.0 2.1 75.6 2.2 79.1 1.2 77.7 1.1 
116 79.9 1.9 76.5 2.0 80.5 1.2 84.8 1.2 
117 78.2 2.0 75.8 2.1 83.5 1.2 79.9 1.2 
118 74.7 2.0 80.9 1.8 80.6 1.2 85.7 1.3 
119 76.7 2.0 75.7 1.9 80.5 1.4 77.7 1.1 
120 83.2 1.9 80.8 1.8 82.3 1.4 80.5 1.1 
121 74.9 2.0 73.1 1.9 83.1 1.4 84.1 1.0 
122 77.0 1.9 73.8 1.9 81.5 1.2 83.2 1.1 
123 75.8 1.9 73.7 2.1 81.9 1.4 81.3 1.5 
124 71.8 2.0 67.5 2.0 84.8 1.1 86.4 1.1 
125 79.3 1.9 76.7 2.0 84.4 1.2 77.9 1.4 
126 75.4 1.9 70.8 2.1 76.4 1.2 76.1 1.1 
127 72.2 2.0 69.3 1.9 83.0 1.2 79.9 1.3 
