Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 760
1 763
2 770
3 784
4 777
5 763
6 766
7 771
8 770
9 768
10 769
11 743
12 777
13 766
14 770
15 770
16 696
17 692
18 695
19 700
20 695
21 691
22 692
23 687
24 683
25 696
26 687
27 687
28 691
29 688
30 690
31 702
32 722
33 744
34 737
35 741
36 732
37 737
38 743
39 741
40 736
41 731
42 743
43 728
44 737
45 741
46 754
47 740
48 745
49 738
50 748
51 744
52 743
53 743
54 741
55 745
56 946
57 742
58 737
59 749
60 738
61 739
62 734
63 752
64 794
65 767
66 769
67 761
68 758
69 738
70 754
71 761
72 767
73 769
74 754
75 769
76 771
77 766
78 723
79 774
80 736
81 744
82 752
83 740
84 741
85 735
86 731
87 743
88 733
89 740
90 734
91 738
92 741
93 708
94 737
95 740
96 878
97 714
98 735
99 975
100 742
101 730
102 696
103 733
104 745
105 741
106 743
107 738
108 747
109 735
110 716
111 736
112 1010
113 981
114 922
115 999
116 745
117 929
118 746
119 751
120 754
121 760
122 761
123 767
124 759
125 753
126 763
127 755
