Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 0  128.8  2.5  -1.6  2.5  23.5  127.5  2.3  8.6  2.2  19.7  6071  15.2049  6065  14.5389 
 1  134.1  6.4  -4.9  5.8  133.6  153.2  6.3  -13.1  4.5  26.6  3527  14.1633  3587  14.9185 
 2  118.2  3.2  9.4  2.8  35.9  124.9  3.1  1.4  2.8  32.0  779  14.068  833  13.8912 
 3  132.5  5.0  2.3  4.8  95.9  129.3  1.8  4.4  1.7  12.1  4450  14.9294  4397  14.4086 
 4  122.2  1.6  12.0  1.8  14.7  123.8  1.9  4.7  2.2  19.7  3345  13.8191  3492  13.6118 
 5  120.5  1.3  13.7  0.9  3.9  132.0  3.5  4.9  2.7  27.5  4735  14.5818  4748  14.4707 
 6  124.6  1.9  14.7  1.6  11.1  129.1  1.1  5.9  1.0  3.7  0 0 0 0
 7  140.4  5.3  -3.7  7.0  204.5  129.9  3.5  -0.8  3.9  30.7  362  13.0296  325  13.8071 
 8  127.3  2.8  17.7  2.0  17.0  131.1  1.3  15.0  1.0  3.7  0 0 0 0
 9  133.2  2.6  1.7  2.3  19.9  130.6  1.6  9.3  1.4  8.4  5001  14.9999  5004  15.3238 
 10  126.6  1.5  -3.3  1.8  13.0  128.7  1.4  -2.0  1.6  11.0  6146  14.7741  6154  14.9572 
 11  122.3  2.6  12.3  2.2  20.4  127.1  3.2  7.4  2.6  27.1  0 0 0 0
 12  121.8  3.6  4.4  2.5  26.3  125.2  4.5  4.1  3.1  38.5  0 0 0 0
 13  124.2  3.1  15.9  2.1  18.3  129.2  2.7  10.0  1.9  12.8  6084  15.2548  6084  14.6825 
 14  125.5  5.1  16.5  4.5  75.4  129.0  6.3  10.8  5.3  107.9  0 0 0 0
 15  119.8  2.5  3.6  2.4  24.7  123.4  1.0  11.9  1.0  4.4  1267  15.4235  1246  14.9678 
 16  114.4  5.3  -3.3  6.9  213.5  106.5  3.3  -1.9  4.6  90.6  4920  13.0528  4929  12.4876 
 17  117.1  6.9  -5.4  9.3  335.8  119.7  5.4  -6.2  6.9  197.6  1472  12.4395  1431  12.5742 
 18  119.7  3.4  -10.9  3.9  60.4  113.2  2.0  -1.7  2.2  20.7  562  12.1361  585  11.7685 
 19  112.5  2.1  -1.3  2.1  19.0  118.4  1.4  -4.3  1.4  8.1  0 0 0 0
 20  121.2  4.3  -6.9  3.6  57.1  107.9  4.6  -0.7  4.1  63.9  757  12.2161  799  13.1174 
 21  108.5  2.6  -0.7  3.1  40.4  126.4  1.0  -4.2  1.1  5.3  4588  13.8799  4594  12.3795 
 22  115.1  2.8  -4.4  2.7  32.3  119.4  2.5  -6.9  2.3  22.3  345  11.6577  360  12.521 
 23  109.2  4.9  -3.9  3.8  60.0  117.8  3.0  -15.5  2.3  19.9  0 0 0 0
 24  125.8  7.8  -11.8  10.7  449.2  116.8  3.0  -2.3  4.0  61.4  6090  13.5156  6106  13.5043 
 25  117.9  1.8  -0.1  2.7  31.1  111.6  1.7  -1.3  2.6  28.2  5880  13.6067  5881  13.5579 
 26  118.4  1.3  -17.7  1.4  8.2  119.9  4.0  -13.7  4.2  72.1  314  12.197  316  12.6158 
 27  119.5  4.3  -14.8  4.0  59.1  113.7  2.6  -11.7  2.3  21.5  6082  13.8018  6085  13.7342 
 28  118.1  3.0  -6.5  3.9  61.9  113.6  1.8  -6.4  2.3  23.2  1586  12.2465  1566  12.8884 
 29  115.1  2.9  -5.1  2.2  19.5  112.9  6.7  -0.4  4.8  91.3  0 0 0 0
 30  109.8  1.0  -3.8  0.8  2.5  116.2  9.6  83.3  7.2  179.5  0 0 0 0
 31  106.4  8.3  -1.2  8.3  281.8  114.2  5.9  -8.1  6.2  155.4  5041  13.3832  5032  13.4397 
 32  124.4  2.7  -6.7  2.6  26.8  120.9  5.0  -6.0  4.8  89.8  0 0 0 0
 33  110.1  1.7  8.6  2.4  25.9  119.2  1.7  -1.3  2.3  23.6  0 0 0 0
 34  121.6  4.0  -8.6  6.6  191.0  130.5  5.7  -15.9  9.7  179.3  545  12.677  547  11.4091 
 35  124.7  4.1  -8.0  4.1  66.2  117.7  4.1  -0.7  4.3  51.7  0 0 0 0
 36  112.6  2.4  1.9  4.0  33.8  119.4  4.3  1.9  8.5  313.4  1648  13.1933  1651  11.9189 
 37  124.5  2.6  -12.2  4.9  107.6  120.5  2.2  -3.7  4.1  72.2  6028  14.6362  6033  14.5793 
 38  115.4  5.2  -8.6  8.4  290.8  122.2  4.2  -17.0  6.8  187.6  1382  12.6594  1400  12.2143 
 39  126.1  2.5  -10.3  3.0  37.2  123.4  2.0  -15.2  2.5  23.5  926  13.5356  913  11.749 
 40  121.3  2.0  -10.4  2.7  29.5  119.2  0.8  -9.1  1.1  4.9  0 0 0 0
