Fine time information for HG/LG threshold at 520 DACu
Channel_nb fine_time_min fine_time_max 
0 45 942
1 42 957
2 33 936
3 44 947
4 36 935
5 43 935
6 49 950
7 54 957
8 40 945
9 47 944
10 59 954
11 51 943
12 49 952
13 49 943
14 53 946
15 55 942
16 6 979
17 11 938
18 8 918
19 7 927
20 6 922
21 7 913
22 7 921
23 6 914
24 6 914
25 7 925
26 7 926
27 7 915
28 6 912
29 6 909
30 9 908
31 9 910
32 5 949
33 6 989
34 6 992
35 6 902
36 7 989
37 6 901
38 6 908
39 6 992
40 6 968
41 7 976
42 6 991
43 9 906
44 6 879
45 8 897
46 6 885
47 9 895
48 33 950
49 28 960
50 34 956
51 36 955
52 25 950
53 34 949
54 37 952
55 26 960
56 35 941
57 37 944
58 34 964
59 31 963
60 33 939
61 37 945
62 35 948
63 35 962
64 9 965
65 8 926
66 27 936
67 33 995
68 9 921
69 31 932
70 17 931
71 28 989
72 19 995
73 33 998
74 14 925
75 28 933
76 34 938
77 22 947
78 20 966
79 38 933
80 6 988
81 25 927
82 29 988
83 19 983
84 20 977
85 15 981
86 23 915
87 15 970
88 15 985
89 29 921
90 15 987
91 13 996
92 26 942
93 20 939
94 29 974
95 27 987
96 8 990
97 9 987
98 7 993
99 7 969
100 12 957
101 11 969
102 10 969
103 12 938
104 11 923
105 7 926
106 6 989
107 9 986
108 14 924
109 8 993
110 23 991
111 21 969
112 6 994
113 27 987
114 29 949
115 30 998
116 20 948
117 36 996
118 23 935
119 25 995
120 31 997
121 27 992
122 39 987
123 27 997
124 15 999
125 33 996
126 41 989
127 45 987
