Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 75.3 2.5 77.7 2.8 83.2 1.6 86.8 1.1 
1 81.2 2.7 82.0 2.6 86.6 1.2 84.6 1.1 
2 81.1 2.5 82.5 2.5 86.6 1.2 84.7 1.1 
3 78.1 2.6 77.6 2.5 78.2 1.3 80.1 1.3 
4 81.0 2.5 82.0 2.5 89.9 1.5 86.3 1.5 
5 79.2 2.5 83.1 2.4 81.1 1.3 84.8 1.3 
6 79.0 2.6 89.1 2.6 85.3 1.2 87.2 1.1 
7 85.2 2.8 85.8 2.5 87.8 1.2 91.0 1.2 
8 78.7 2.8 77.9 2.9 85.2 1.2 88.7 1.2 
9 79.7 2.5 82.2 2.5 86.8 1.2 85.1 1.1 
10 82.4 2.6 78.2 2.7 84.6 1.2 82.5 1.5 
11 76.9 2.6 79.7 2.6 84.2 1.2 80.2 1.2 
12 78.5 2.6 76.4 2.8 84.8 1.2 87.4 1.1 
13 74.7 2.6 78.8 2.5 87.1 1.2 84.4 1.2 
14 80.3 2.5 82.2 2.6 85.9 1.3 84.6 1.1 
15 71.4 2.7 79.7 2.7 81.2 1.2 82.9 1.2 
16 61.6 2.4 63.1 2.7 62.4 1.3 70.6 1.3 
17 69.8 2.6 65.7 2.6 67.2 1.5 68.9 1.5 
18 62.0 2.4 63.1 2.7 67.2 1.2 64.7 1.1 
19 61.4 2.6 61.1 2.7 69.9 1.4 68.6 1.1 
20 67.3 2.5 63.7 2.6 73.9 1.4 67.5 1.3 
21 57.9 2.8 57.7 2.6 66.8 1.3 64.3 1.1 
22 64.2 2.5 69.8 2.7 68.7 1.1 69.2 1.5 
23 60.4 2.7 59.4 2.5 76.5 1.3 73.6 1.1 
24 61.5 2.6 59.6 2.8 68.5 1.2 66.0 1.1 
25 56.6 2.7 61.4 2.5 72.7 1.3 69.9 1.2 
26 61.0 2.4 63.4 2.5 71.2 1.2 69.7 1.1 
27 62.7 2.7 60.6 2.5 70.3 1.4 71.7 1.1 
