Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 771
1 770
2 773
3 781
4 765
5 765
6 777
7 777
8 766
9 780
10 772
11 776
12 772
13 776
14 779
15 780
16 715
17 719
18 728
19 711
20 714
21 721
22 721
23 706
24 713
25 726
26 724
27 706
28 720
29 721
30 716
31 710
32 793
33 791
34 808
35 801
36 798
37 810
38 798
39 786
40 788
41 801
42 787
43 807
44 792
45 799
46 811
47 802
48 734
49 720
50 721
51 737
52 728
53 730
54 727
55 728
56 728
57 734
58 725
59 731
60 696
61 732
62 726
63 728
64 755
65 946
66 751
67 753
68 767
69 750
70 731
71 756
72 754
73 751
74 764
75 752
76 745
77 751
78 740
79 759
80 781
81 783
82 779
83 771
84 776
85 779
86 773
87 779
88 769
89 793
90 770
91 770
92 783
93 753
94 769
95 783
96 879
97 745
98 1013
99 767
100 746
101 714
102 737
103 755
104 764
105 752
106 755
107 760
108 749
109 759
110 763
111 757
112 1019
113 970
114 937
115 895
116 761
117 777
118 877
119 788
120 764
121 760
122 769
123 764
124 780
125 775
126 769
127 776
