Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
88 75.9 2.1 77.3 2.1 69.8 1.2 72.2 1.0 
89 73.7 2.0 73.8 2.0 77.8 1.2 77.2 1.1 
90 74.6 2.0 73.3 2.2 84.7 1.2 74.8 1.3 
91 72.7 2.0 67.2 2.2 78.9 1.2 76.3 1.4 
92 68.1 2.2 72.6 2.1 74.0 1.2 75.3 1.1 
93 71.8 2.0 66.7 2.1 76.8 1.3 76.9 1.1 
94 67.2 2.1 70.5 1.9 73.6 1.2 75.7 1.1 
95 75.0 2.1 70.9 2.0 76.9 1.3 73.3 1.1 
96 68.4 2.1 71.0 2.0 74.9 1.2 73.4 1.1 
97 65.8 1.9 71.6 2.0 76.8 1.4 73.4 1.1 
98 74.9 2.0 72.8 2.1 75.7 1.2 70.3 1.5 
99 77.4 2.2 76.2 1.9 74.7 1.2 72.2 1.2 
100 74.5 1.9 73.1 2.1 78.3 1.2 76.9 1.1 
101 76.9 1.9 74.4 2.1 77.0 1.3 76.4 1.0 
102 71.8 2.2 74.7 2.0 74.5 1.2 72.1 1.1 
103 69.9 1.9 72.2 1.9 74.2 1.2 76.3 1.4 
104 77.3 2.0 69.3 2.0 76.2 1.2 79.4 1.1 
105 76.7 2.2 73.1 2.0 68.4 1.1 74.5 1.3 
106 72.4 2.0 74.5 1.9 78.3 1.4 83.2 1.2 
107 68.3 1.9 69.7 2.1 77.6 1.4 69.1 1.2 
108 74.6 2.0 77.0 2.1 73.9 1.2 75.9 1.0 
109 72.7 1.9 73.7 2.2 75.2 1.2 72.9 1.1 
110 72.8 2.0 68.4 2.2 73.9 1.2 76.1 1.1 
111 78.3 2.0 74.6 2.0 78.3 1.2 76.1 1.1 
112 79.3 2.4 81.8 2.4 88.5 1.1 85.2 1.1 
113 82.2 2.3 84.3 2.2 86.4 1.1 84.5 1.3 
114 88.3 2.4 84.3 2.2 89.2 1.4 84.8 1.2 
115 80.4 2.3 81.0 2.5 92.2 1.1 91.6 1.1 
116 89.8 2.2 85.1 2.3 90.8 1.3 88.8 1.1 
117 85.7 2.2 85.4 2.2 85.6 1.2 87.6 1.1 
118 89.2 2.4 84.7 2.1 87.5 1.2 84.5 1.2 
119 86.9 2.2 81.5 2.2 83.3 1.3 83.4 1.2 
120 85.7 2.3 83.5 2.3 88.2 1.2 91.5 1.1 
121 79.3 2.2 74.6 2.2 92.5 1.1 89.5 1.1 
122 83.8 2.3 82.7 2.4 85.9 1.2 87.7 1.1 
123 78.8 2.3 79.2 2.4 84.1 1.2 88.8 1.2 
124 82.5 2.3 81.2 2.4 81.6 1.3 87.5 1.2 
125 75.3 2.2 79.8 2.3 78.3 1.4 84.3 1.3 
126 80.2 2.3 82.2 2.5 87.0 1.2 84.9 1.1 
127 80.9 2.4 80.2 2.3 86.3 1.4 81.2 1.1 
