Maximum charge in HG 
Channel_nb;  Charge_max_HG 
0 799
1 797
2 787
3 784
4 777
5 789
6 784
7 792
8 791
9 787
10 788
11 778
12 789
13 783
14 789
15 794
16 749
17 749
18 754
19 763
20 754
21 750
22 756
23 742
24 749
25 746
26 742
27 750
28 762
29 741
30 745
31 749
32 743
33 744
34 745
35 731
36 737
37 755
38 734
39 747
40 745
41 744
42 739
43 743
44 731
45 737
46 738
47 744
48 777
49 777
50 779
51 765
52 772
53 779
54 767
55 780
56 777
57 774
58 776
59 770
60 737
61 778
62 782
63 792
64 759
65 759
66 768
67 768
68 754
69 739
70 754
71 761
72 752
73 751
74 759
75 765
76 760
77 750
78 768
79 761
80 751
81 750
82 757
83 752
84 743
85 752
86 737
87 763
88 733
89 753
90 748
91 761
92 755
93 730
94 740
95 751
96 760
97 736
98 775
99 785
100 760
101 745
102 781
103 772
104 778
105 761
106 777
107 780
108 770
109 760
110 779
111 782
112 748
113 732
114 740
115 744
116 748
117 747
118 759
119 751
120 754
121 743
122 738
123 744
124 744
125 749
126 744
127 740
