Pedestal charge parameters
Channel Mean_HG_ping Sigma_HG_ping Mean_HG_pong Sigma_HG_pong Mean_LG_ping Sigma_LG_ping Mean_LG_pong Sigma_LG_pong
0 85.4 2.3 79.5 2.3 86.1 1.2 88.2 1.2 
1 85.2 2.4 81.3 2.5 88.0 1.1 90.5 1.1 
2 80.1 2.3 76.6 2.2 91.8 1.2 87.1 1.3 
3 84.2 2.1 81.3 2.2 84.1 1.4 86.5 1.1 
4 82.5 2.5 81.8 2.3 90.5 1.4 91.2 1.2 
5 78.9 2.3 84.0 2.2 87.8 1.1 85.5 1.1 
6 84.9 2.3 86.0 2.1 92.1 1.1 87.0 1.3 
7 79.1 2.2 81.3 2.2 87.2 1.4 90.1 1.5 
8 79.1 2.4 80.2 2.3 85.7 1.2 87.5 1.1 
9 82.9 2.1 84.9 2.1 85.7 1.2 87.6 1.0 
10 82.8 2.3 79.0 2.5 85.3 1.2 87.5 1.0 
11 81.2 2.5 78.0 2.5 84.1 1.3 91.4 1.2 
12 82.2 2.2 80.8 2.2 91.0 1.2 87.4 1.4 
13 82.1 2.4 85.7 2.1 91.8 1.2 87.5 1.3 
14 85.9 2.4 86.4 2.1 88.8 1.2 90.9 1.1 
15 76.5 2.5 80.2 2.3 87.1 1.1 85.5 1.1 
16 75.2 1.9 72.6 2.0 80.8 1.1 85.2 1.2 
17 71.2 2.2 71.3 2.0 84.3 1.1 80.1 1.0 
18 76.7 1.9 75.7 2.0 84.5 1.2 81.1 1.1 
19 73.5 2.0 77.7 2.0 78.1 1.2 80.2 1.0 
20 82.5 2.2 74.5 2.2 81.8 1.2 83.4 1.1 
21 71.9 2.3 76.1 2.1 86.5 1.2 85.0 1.0 
22 75.3 2.1 76.4 1.9 81.7 1.2 83.7 1.0 
23 75.3 2.2 80.2 2.1 84.6 1.3 81.7 1.1 
24 79.6 2.1 73.5 2.0 82.9 1.2 80.6 1.0 
25 72.9 2.0 75.4 1.9 85.6 1.3 80.9 1.0 
26 74.5 1.9 75.5 1.9 85.1 1.1 87.1 1.0 
27 70.5 2.0 69.3 2.1 77.1 1.1 82.4 1.4 
28 79.3 1.9 76.1 2.1 84.5 1.2 87.3 1.0 
29 74.2 2.2 73.1 2.0 83.7 1.3 84.3 1.4 
30 69.7 2.0 73.5 2.1 81.7 1.2 83.2 1.1 
31 69.6 2.0 71.0 1.9 80.8 1.3 79.7 1.4 
32 75.0 3.0 68.8 3.1 73.5 1.3 75.3 1.2 
33 77.1 2.8 74.9 2.7 76.4 1.2 76.4 1.1 
34 68.9 2.6 75.4 2.5 73.0 1.2 75.4 1.1 
35 77.2 2.4 68.9 2.5 81.9 1.4 79.4 1.3 
36 69.5 2.9 64.1 2.9 77.0 1.4 74.8 1.3 
37 72.5 2.4 66.9 2.4 80.0 1.1 76.6 1.1 
38 70.5 2.8 71.1 2.9 87.4 1.2 83.1 1.5 
39 73.0 2.3 69.3 2.4 76.2 1.2 73.6 1.1 
40 71.4 2.4 71.5 2.6 81.2 1.3 75.0 1.3 
41 70.5 2.5 67.5 2.7 72.2 1.1 72.3 1.5 
42 70.2 2.9 70.4 2.5 81.2 1.2 83.1 1.1 
43 70.1 2.5 65.6 2.5 76.1 1.2 74.0 1.1 
44 66.6 2.9 69.0 2.7 79.8 1.1 77.6 1.1 
45 72.9 2.4 68.4 2.5 78.1 1.2 80.0 1.1 
46 70.8 2.5 71.8 2.5 77.0 1.4 79.0 1.1 
47 68.9 2.5 69.8 2.3 74.9 1.3 77.4 1.6 
48 74.5 2.0 77.8 2.1 82.5 1.4 87.5 1.0 
49 75.3 2.1 77.2 2.1 85.2 1.1 89.0 1.4 
50 76.1 1.9 75.6 2.1 82.8 1.4 87.9 1.0 
51 75.6 1.9 76.5 2.3 86.9 1.3 81.4 1.3 
